,topic,set,ref,title,size,lastUpdated,downloadCount,voteCount,usabilityRating
2,Categorical-EDA,datasets,pranavuikey/black-friday-sales-eda,Black Friday Sales EDA,5MB,2022-09-05 10:22:37,1825,39,1.0
4,Categorical-EDA,datasets,titassaha/top-rated-tv-shows,Top Rated TV Shows,391KB,2022-10-18 17:38:12,2469,42,1.0
6,Categorical-EDA,datasets,rishikeshkonapure/black-friday-sales-eda,Black Friday Sales EDA,5MB,2022-10-29 06:29:47,928,31,1.0
8,Categorical-EDA,datasets,candicezhao28/edinburgh-airbnb-data,Edinburgh Airbnb Data,27MB,2022-06-16 13:04:04,108,8,0.8235294
10,Categorical-EDA,datasets,dhoogla/cic-evasive-pdfmal2022,CIC-Evasive-PDFMal2022,636KB,2022-08-11 20:54:21,36,5,1.0
12,Categorical-EDA,datasets,urstrulyvikas/lending-club-loan-data-analysis,Lending Club Loan Data Analysis,213KB,2021-05-24 03:38:11,1199,26,0.7058824
14,Categorical-EDA,datasets,arashnic/earthquake-magnitude-damage-and-impact,"""Earthquake Magnitude Damage and Impact""",71MB,2020-11-07 09:22:18,1031,29,0.9705882
16,Categorical-EDA,datasets,carlolepelaars/toy-dataset,Toy Dataset,1MB,2018-12-10 21:15:44,11470,158,1.0
18,Categorical-EDA,datasets,raphaelmarconato/pro-uni-scholarship-2017,Pro Uni - Scolarship 2017 (EDA and Classification),4MB,2022-08-17 01:15:43,387,23,0.7647059
20,Categorical-EDA,datasets,aslanahmedov/predict-term-deposit,Predict Term Deposit,575KB,2021-11-29 11:36:06,959,25,1.0
22,Categorical-EDA,datasets,anishpai/ames-housing-dataset-missing,Ames Housing Dataset Engineered,192KB,2020-09-30 14:58:26,149,6,0.9117647
24,Categorical-EDA,datasets,milindtakate/movie-ratings,Movie_Ratings,251KB,2021-02-27 11:29:26,77,3,0.6764706
26,Categorical-EDA,datasets,rahulgolder/marijuana-brand-registry-data,Marijuana Brand Registry Data,2MB,2022-07-30 08:19:45,13,1,0.9117647
28,Categorical-EDA,datasets,mohinurabdurahimova/exploratory-data-analysis-eda-use-case,Exploratory Data Analysis  | EDA - use case ,49KB,2022-02-11 02:47:15,11,10,0.5294118
30,Categorical-EDA,datasets,joelzcharia/contraceptive-prevalence-survey,Contraceptive Prevalence Survey,65KB,2020-05-16 00:54:35,227,1,0.9705882
32,Categorical-EDA,datasets,raphaelmarconato/detran-accidents-2020,Car Accident 2020 - (EDA and Classification),363KB,2022-08-21 13:13:59,71,7,0.5294118
34,Categorical-EDA,datasets,jianhanma/melbourne-restaurant-food-delivery-data,Melbourne Restaurant Food Delivery data,648KB,2020-09-28 11:37:45,603,14,0.4117647
36,Categorical-EDA,datasets,ytgangster/online-sales-in-usa,Online Sales in USA,13MB,2022-07-18 17:09:40,2233,33,0.7058824
38,Categorical-EDA,datasets,mdwaquarazam/ucidatasetlist,UCI-dataset,20KB,2022-08-17 06:35:25,351,15,0.8235294
40,Categorical-EDA,datasets,pailavinayamruth/predict-the-estimated-price-of-the-hardware,Predict the Estimated price of the hardware,3KB,2021-05-17 16:15:15,63,1,0.5294118
