,topic,set,ref,title,size,lastUpdated,downloadCount,voteCount,usabilityRating
2,Correlation,datasets,pattnaiksatyajit/event-correlation,Event Correlation,1MB,2021-02-01 10:32:50,100,14,0.7647059
4,Correlation,datasets,levyedgar44/income-and-happiness-correction,Income and Happiness Correlation,5KB,2020-09-22 14:08:13,2039,25,0.7058824
6,Correlation,datasets,nickbaynham/correlation,correlation,128KB,2020-04-21 18:48:55,126,4,0.7058824
8,Correlation,datasets,athosdamiani/guess-the-correlation,Guess The Correlation,191MB,2018-03-30 04:47:37,196,10,0.7058824
10,Correlation,datasets,mruanova/piratesvsglobalwarmingcorrelationcausation,pirates-vs-global-warming-correlation-causation,304B,2020-12-23 17:53:31,153,11,1.0
12,Correlation,datasets,erolmasimov/price-prediction-multiple-linear-regression,Price Prediction -Multiple Linear Regression,6KB,2022-08-03 20:54:12,999,29,0.7647059
14,Correlation,datasets,jieyingwu/covid19-us-countylevel-summaries,COVID-19 US County-level Summaries,3MB,2020-04-01 19:15:05,1580,65,0.9705882
16,Correlation,datasets,jakeshbohaju/brain-tumor,Brain Tumor,14MB,2020-07-26 01:52:35,8345,212,0.9411765
18,Correlation,datasets,dev0914sharma/dataset,Movie Recommendation System,874KB,2021-05-09 08:21:06,1022,15,0.7058824
20,Correlation,datasets,zusmani/gufhtugu-publications-dataset-challenge,Gufhtugu Publications Dataset Challenge,954KB,2021-01-29 14:11:37,1596,330,1.0
22,Correlation,datasets,dhanasekarjaisankar/correlation-between-posture-personality-trait,Correlation between Posture & Personality Trait,2KB,2022-12-13 16:21:48,428,22,1.0
24,Correlation,datasets,zusmani/pakistans-largest-ecommerce-dataset,Pakistan's Largest E-Commerce Dataset ,14MB,2021-01-19 11:42:57,5108,236,0.9705882
28,Correlation,datasets,datafiniti/hotel-reviews,Hotel Reviews,13MB,2019-06-24 15:00:49,17779,182,0.85294116
30,Correlation,datasets,zusmani/pakistandroneattacks,Pakistan Drone Attacks,117KB,2017-12-01 15:04:48,2687,138,0.9705882
32,Correlation,datasets,nowke9/ipldata,Indian Premier League 2008-2019,1MB,2019-05-14 17:19:59,28293,380,0.88235295
34,Correlation,datasets,selfishgene/historical-hourly-weather-data,Historical Hourly Weather Data 2012-2017,12MB,2017-12-28 01:39:38,35799,477,0.7058824
36,Correlation,datasets,shashwatwork/dataco-smart-supply-chain-for-big-data-analysis,DataCo SMART SUPPLY CHAIN FOR BIG DATA ANALYSIS,26MB,2019-12-05 06:54:29,11815,178,0.7647059
38,Correlation,datasets,ruchi798/analyzing-screen-time,Analyzing Screen Time,2KB,2022-09-22 23:58:02,1115,34,0.88235295
40,Correlation,datasets,mrpantherson/board-game-data,Board Game Data,1MB,2018-06-08 13:45:03,4613,125,0.7647059
