,topic,set,ref,title,size,lastUpdated,downloadCount,voteCount,usabilityRating
2,Correspondence-analysis,datasets,louislippens/the-state-of-hiring-discrimination,The state of hiring discrimination,80KB,2022-08-31 09:54:54,88,3,0.47058824
4,Correspondence-analysis,datasets,prashant111/glass-identification-dataset,Glass Identification Dataset,9KB,2020-03-16 05:56:26,905,21,0.5294118
6,Correspondence-analysis,datasets,hisunnytang/halo-sims,QuasarNet,3GB,2021-03-24 09:10:58,32,3,0.47058824
8,Correspondence-analysis,datasets,quasarnet/quasarnet,QuasarNet,3GB,2022-04-29 03:35:30,17,2,0.47058824
10,Correspondence-analysis,datasets,louise2001/goethe,Goethe,457MB,2021-04-29 08:44:56,46,17,1.0
12,Correspondence-analysis,datasets,imrlab/information-organizations-websites-global-report,Information Organizations and Websites Performance,3MB,2020-09-17 12:28:24,90,7,0.75
14,Correspondence-analysis,datasets,tonyberber/multidimensional-spotify-data,Multi-Dimensional Spotify Data,9MB,2022-12-11 04:00:47,2,1,0.5882353
16,Correspondence-analysis,datasets,wolfram77/graphs-snap-cit,Citation Networks (SNAP),91MB,2021-12-16 01:47:15,9,1,0.84375
18,Correspondence-analysis,datasets,mgray39/australian-2019-house-of-reps-dataset,Australia Election 2019 with Demographics,4MB,2022-04-28 08:47:25,34,1,0.9411765
20,Correspondence-analysis,datasets,tajakuz/gincodataframededuptraindevtest,Text Genre Identification Corpus GINCO ,756KB,2022-01-03 13:24:12,14,2,0.8235294
22,Correspondence-analysis,datasets,thedevastator/nli-dataset-for-sentence-understanding,General Language Understanding Evaluation (GLUE),84MB,2022-11-20 14:13:26,11,1,0.9411765
24,Correspondence-analysis,datasets,thedevastator/unraveling-global-climate-change-through-tempera,Historical Land and Ocean Temperatures,15MB,2022-12-05 10:02:56,23,1,0.9411765
