,topic,set,ref,title,size,lastUpdated,downloadCount,voteCount,usabilityRating
2,,datasets,balraj98/deepglobe-road-extraction-dataset,DeepGlobe Road Extraction Dataset,4GB,2020-11-10 13:41:38,3372,72,0.9411765
4,,datasets,infamouscoder/mental-health-social-media,Depression: Twitter Dataset + Feature Extraction,1MB,2022-08-06 14:26:42,1686,46,1.0
6,,datasets,maxjon/complete-tweet-sentiment-extraction-data,Complete Tweet Sentiment Extraction Data,3MB,2020-04-23 07:25:47,1224,79,0.29411766
8,,datasets,robikscube/textocr-text-extraction-from-images-dataset,TextOCR - Text Extraction from Images Dataset,7GB,2022-07-08 20:27:51,818,37,1.0
10,,datasets,daishinkan002/men-women-shoes-reviews,Men_Women_Shoes_Reviews,262KB,2021-08-16 20:41:52,1121,31,0.9705882
12,,datasets,crowww/a-large-scale-fish-dataset,A Large Scale Fish Dataset,3GB,2021-04-28 17:03:01,15573,868,0.9375
14,,datasets,rahulsah06/data-extraction-from-receipt,Data Extraction from receipt (OpenCv),2MB,2019-11-26 06:26:24,369,8,0.625
16,,datasets,PromptCloudHQ/amazon-reviews-unlocked-mobile-phones,Amazon Reviews: Unlocked Mobile Phones,33MB,2017-01-11 10:22:30,12571,165,1.0
18,,datasets,alvarob96/spanish-stocks-historical-data,Spanish Stocks Historical Data from 2000 to 2019,1MB,2019-06-07 16:08:00,2724,72,0.9411765
20,,datasets,muratkokludataset/raisin-dataset,Raisin Dataset,112KB,2022-04-03 00:23:16,1881,1457,0.9375
22,,datasets,snehaanbhawal/resume-dataset,Resume Dataset,62MB,2021-08-08 10:52:47,3169,50,1.0
24,,datasets,bharatnatrayn/movies-dataset-for-feature-extracion-prediction,"""MOVIES DATASET FOR FEATURE EXTRACION ","PREDICTION""",1MB,2021-08-04 07:48:06,2699,46
26,,datasets,himanshupoddar/zomato-bangalore-restaurants,Zomato Bangalore Restaurants,89MB,2019-03-31 09:48:43,48102,1183,1.0
28,,datasets,birdy654/eeg-brainwave-dataset-feeling-emotions,EEG Brainwave Dataset: Feeling Emotions ,12MB,2018-12-19 11:12:48,8205,170,0.64705884
30,,datasets,kaushiksuresh147/bitcoin-tweets,Bitcoin Tweets,656MB,2022-11-22 20:25:12,6306,120,1.0
32,,datasets,olgabelitskaya/data-extraction-from-photos,Data Extraction from Photos,175MB,2022-07-07 17:26:18,12,8,0.625
34,,datasets,kmader/qbi-image-segmentation,QBI Image Segmentation,20MB,2017-03-15 18:01:26,343,12,0.875
36,,datasets,mykeysid10/covid19-dataset-for-year-2020,Israel's Covid-19 Dataset for Year 2020 & 2021,8MB,2022-04-01 15:58:38,539,35,0.7058824
38,,datasets,bazuka/census2001,"""Govt. of India Census2001 District-Wise""",146KB,2017-01-17 20:02:54,4686,93,0.85294116
40,,datasets,rajkumarl/ruddit-jigsaw-dataset,ruddit jigsaw dataset,7MB,2022-12-08 12:02:22,1231,82,0.88235295
