,topic,set,ref,title,size,lastUpdated,downloadCount,voteCount,usabilityRating
2,Data-types,datasets,deepu1109/star-dataset,Star dataset to predict star types,3KB,2019-10-21 19:47:09,7942,199,1.0
4,Data-types,datasets,yamaerenay/mbtitypes-full,MBTI-TYPES Data,146KB,2021-01-31 21:33:31,532,20,1.0
6,Data-types,datasets,zeyadkhalid/mbti-personality-types-500-dataset,MBTI Personality Types 500 Dataset,123MB,2021-12-30 19:29:31,1345,36,0.88235295
8,Data-types,datasets,bahadoreizadkhah/face-mask-types-dataset,Face Mask Types Dataset,115MB,2022-07-05 00:04:04,177,26,0.75
10,Data-types,datasets,raddar/amex-data-integer-dtypes-parquet-format,AMEX data - integer dtypes - parquet format,4GB,2022-06-03 10:31:28,11939,690,0.4375
12,Data-types,datasets,vishalsubbiah/pokemon-images-and-types,Pokemon Image Dataset,2MB,2018-12-17 01:01:39,20985,437,0.9411765
14,Data-types,datasets,magdamonteiro/smart-cities-index-datasets,Smart Cities Index Datasets,3KB,2021-08-10 18:02:11,1250,34,1.0
16,Data-types,datasets,AnalyzeBoston/crimes-in-boston,Crimes in Boston,10MB,2018-09-04 17:56:03,40243,674,0.8235294
18,Data-types,datasets,abcsds/pokemon,Pokemon with stats,15KB,2016-08-29 06:01:43,96365,2303,0.88235295
20,Data-types,datasets,arashnic/fitbit,FitBit Fitness Tracker Data,24MB,2020-12-16 15:20:03,63989,1446,1.0
22,Data-types,datasets,harrywang/wine-dataset-for-clustering,Wine Dataset for Clustering,4KB,2020-04-29 00:50:33,10339,89,1.0
24,Data-types,datasets,ghopkins/nba-injuries-2010-2018,NBA Injuries from 2010-2020,226KB,2020-10-13 19:34:26,3797,94,1.0
26,Data-types,datasets,asarvazyan/covid19-daily-case-hospitalization-spain-dataset,COVID-19 Daily Case in Spain Dataset,5MB,2022-12-20 04:29:04,310,58,1.0
28,Data-types,datasets,thedownhill/art-images-drawings-painting-sculpture-engraving,Art Images: Drawing/Painting/Sculptures/Engravings,583MB,2018-05-25 18:00:50,7024,261,0.75
30,Data-types,datasets,jehanbhathena/weather-dataset,Weather Image Recognition,587MB,2021-11-26 09:49:09,3016,91,0.875
32,Data-types,datasets,trolukovich/nutritional-values-for-common-foods-and-products,Nutritional values for common foods and products,1MB,2019-06-18 08:22:51,4278,81,0.9411765
34,Data-types,datasets,janzasadny/rulers-elections-and-irregular-governance,Government types of the world - REIGN dataset,5MB,2021-06-21 16:35:52,78,6,1.0
36,Data-types,datasets,mkechinov/ecommerce-behavior-data-from-multi-category-store,eCommerce behavior data from multi category store,4GB,2019-12-09 20:43:39,19939,471,1.0
38,Data-types,datasets,surajjha101/stores-area-and-sales-data,Supermarket store branches sales analysis,10KB,2022-04-29 11:10:16,27174,601,1.0
40,Data-types,datasets,matheusfreitag/gas-prices-in-brazil,Gas Prices in Brazil,3MB,2022-03-11 18:03:57,15126,374,1.0
