,topic,set,ref,title,size,lastUpdated,downloadCount,voteCount,usabilityRating
2,Github,datasets,github/github-repos,GitHub Repos,0B,2019-03-20 23:20:50,0,369,0.64705884
4,Github,datasets,davidshinn/github-issues,GitHub Issues,980MB,2018-01-17 21:26:05,2826,89,0.875
6,Github,datasets,simiotic/github-code-snippets,GitHub Code Snippets,7GB,2021-03-03 11:34:39,724,107,1.0
8,Github,datasets,anmolkumar/github-bugs-prediction,GitHub Bugs Prediction,98MB,2020-10-11 15:25:24,809,34,1.0
10,Github,datasets,isaacwen/github-programming-languages-data,GitHub Programming Languages Data,40KB,2022-01-02 03:58:56,1804,40,1.0
12,Github,datasets,dhruvildave/github-commit-messages-dataset,GitHub Commit Messages Dataset,903MB,2021-04-21 11:56:07,403,35,1.0
14,Github,datasets,fireballbyedimyrnmom/us-counties-covid-19-dataset,US counties COVID 19 dataset,28MB,2022-12-17 22:22:34,20090,438,1.0
16,Github,datasets,vatsalparsaniya/github-repositories-analysis,GitHub Repositories 2020,157KB,2020-04-24 20:21:04,464,20,0.7058824
18,Github,datasets,parulpandey/most-starred-github-repositories,Most starred Github Repositories,200KB,2021-07-14 10:38:55,179,31,0.9705882
20,Github,datasets,arunasivapragasam/github-topics,Github Topics,2KB,2022-02-20 15:05:40,268,33,0.9411765
22,Github,datasets,rozemberczki/musae-github-social-network,MUSAE GitHub Social Network,3MB,2019-10-08 23:41:32,595,17,1.0
24,Github,datasets,anshulmehtakaggl/github-organizations-social-network-analysis,Github Organizations - Social Network Analysis,77KB,2022-07-19 14:58:27,425,45,1.0
26,Github,datasets,joonasyoon/github-topics,Github Topics and Repositories 2022,5MB,2022-04-09 03:44:59,347,29,1.0
28,Github,datasets,priteshshrivastava/sample-github-code,Sample Github Code,126MB,2020-05-07 12:48:27,231,8,0.7058824
30,Github,datasets,chasewillden/topstarredopensourceprojects,Top 980 Starred Open Source Projects on GitHub,63KB,2017-06-24 22:23:42,853,35,0.8235294
32,Github,datasets,harneetkalsy/github-top-topics,Github top topics,2KB,2022-04-29 15:10:35,33,13,0.8235294
34,Github,datasets,jackdaoud/marketing-data,Marketing Analytics,643KB,2022-03-06 23:34:23,24706,412,0.9411765
36,Github,datasets,jishnukoliyadan/github-topics-star-count,GitHub Topics Star Count,412KB,2022-11-28 16:30:28,46,14,1.0
38,Github,datasets,kashnitsky/mlcourse,mlcourse.ai,51MB,2018-12-09 16:45:09,35656,1518,0.88235295
40,Github,datasets,simiotic/github-code-snippets-development-sample,GitHub Code Snippets - Development sample,471MB,2021-03-07 19:07:10,198,8,1.0
