,topic,set,ref,title,size,lastUpdated,downloadCount,voteCount,usabilityRating
2,Kaggle-Notebook,datasets,jtrotman/kaggle-notebook-user-rankings,Kaggle Notebook User Rankings,65KB,2021-08-17 11:42:20,59,19,1.0
4,Kaggle-Notebook,datasets,vivovinco/kaggle-notebooks-ranking,Kaggle Notebooks Ranking,44KB,2022-01-21 07:57:23,65,24,1.0
6,Kaggle-Notebook,datasets,kashnitsky/mlcourse,mlcourse.ai,51MB,2018-12-09 16:45:09,35656,1518,0.88235295
8,Kaggle-Notebook,datasets,headsortails/notebooks-of-the-week-hidden-gems,Notebooks of the Week - Hidden Gems,4MB,2022-04-05 12:58:55,227,172,1.0
10,Kaggle-Notebook,datasets,daisukelab/dc2020task2,DCASE 2020 Task 2 Unofficial Copy,8GB,2020-03-21 02:50:26,595,12,0.875
12,Kaggle-Notebook,datasets,xhlulu/huggingface-bert,Huggingface BERT,24GB,2022-12-16 21:21:12,1059,111,1.0
14,Kaggle-Notebook,datasets,abhishek/tez-lib,tez_lib,106KB,2022-12-20 18:29:39,1079,68,0.8125
16,Kaggle-Notebook,datasets,andradaolteanu/kaggle-data-science-survey-20172021,Kaggle Data Science Survey 2017-2021,18MB,2021-11-26 18:39:04,297,32,0.9411765
18,Kaggle-Notebook,datasets,robikscube/helmet-assignment-helpers,NFL Helmet Assignment Helper Code,13KB,2021-09-22 14:29:22,440,46,0.875
20,Kaggle-Notebook,datasets,cdeotte/rapids,RAPIDS,9GB,2021-06-29 00:53:18,1219,396,0.75
22,Kaggle-Notebook,datasets,carlmcbrideellis/house-prices-advanced-regression-solution-file,House Prices: Advanced Regression 'solution' file,6KB,2020-09-11 15:40:17,591,32,1.0
24,Kaggle-Notebook,datasets,maxvandijck/openmmlab-essential-repositories,OpenMMLab Essential Repositories,3GB,2022-07-02 05:21:12,527,26,0.875
26,Kaggle-Notebook,datasets,canggih/upvoted-kaggle-kernels,Upvoted Kaggle Kernels,115KB,2018-02-26 16:52:28,215,28,1.0
28,Kaggle-Notebook,datasets,azminetoushikwasi/cr7-cristiano-ronaldo-all-club-goals-stats,Cristiano Ronaldo | All Club Goals,12KB,2022-12-17 16:22:00,1196,77,1.0
30,Kaggle-Notebook,datasets,noahgift/social-power-nba,Social Power NBA,1MB,2017-08-01 02:39:55,9848,184,0.85294116
32,Kaggle-Notebook,datasets,andrewmvd/covid19-ct-scans,COVID-19 CT scans,1GB,2020-04-23 12:29:33,18869,518,1.0
34,Kaggle-Notebook,datasets,katerpillar/meteonet,MeteoNet North-West France,14GB,2021-04-06 13:56:40,1686,98,0.875
36,Kaggle-Notebook,datasets,yasirabdaali/kaggle-user-rankings-dataset,Kaggle user rankings dataset,319KB,2022-08-14 07:39:47,324,10,1.0
38,Kaggle-Notebook,datasets,daavoo/3d-mnist,3D MNIST,153MB,2019-10-18 22:09:59,10684,201,0.75
40,Kaggle-Notebook,datasets,alexteboul/heart-disease-health-indicators-dataset,Heart Disease Health Indicators Dataset,3MB,2022-03-10 05:37:21,9488,141,0.9411765
