,topic,set,ref,title,size,lastUpdated,downloadCount,voteCount,usabilityRating
2,Machine-learning-algorithms,datasets,shashwatwork/phishing-dataset-for-machine-learning,Phishing Dataset for Machine Learning,234KB,2021-05-28 14:47:37,3506,48,0.9411765
4,Machine-learning-algorithms,datasets,camnugent/california-housing-prices,California Housing Prices,400KB,2017-11-24 03:14:59,83156,813,0.85294116
6,Machine-learning-algorithms,datasets,rohanrao/nifty50-stock-market-data,NIFTY-50 Stock Market Data (2000 - 2021),18MB,2021-05-01 09:23:17,36105,645,1.0
8,Machine-learning-algorithms,datasets,kashnitsky/mlcourse,mlcourse.ai,51MB,2018-12-09 16:45:09,35656,1518,0.88235295
10,Machine-learning-algorithms,datasets,praveengovi/coronahack-chest-xraydataset,CoronaHack -Chest X-Ray-Dataset,1GB,2020-03-20 01:26:40,16992,509,0.9411765
12,Machine-learning-algorithms,datasets,saurabhshahane/wild-blueberry-yield-prediction,Wild Blueberry Yield Prediction,353KB,2021-02-26 17:24:39,1046,29,1.0
14,Machine-learning-algorithms,datasets,rikdifos/credit-card-approval-prediction,Credit Card Approval Prediction,5MB,2020-03-24 10:04:48,41625,583,1.0
16,Machine-learning-algorithms,datasets,kwadwoofosu/predict-test-scores-of-students,Predict Test Scores of students,21KB,2021-05-11 15:02:19,7892,147,1.0
18,Machine-learning-algorithms,datasets,HRAnalyticRepository/employee-attrition-data,Employee Attrition,501KB,2017-04-26 18:39:14,13624,208,0.8235294
20,Machine-learning-algorithms,datasets,muratkokludataset/rice-image-dataset,Rice Image Dataset,219MB,2022-04-03 02:12:00,6122,1641,0.875
22,Machine-learning-algorithms,datasets,heeraldedhia/bike-buyers,Bike Buyers 1000,22KB,2020-09-22 06:06:25,5341,63,1.0
24,Machine-learning-algorithms,datasets,uciml/red-wine-quality-cortez-et-al-2009,Red Wine Quality,26KB,2017-11-27 23:41:08,161758,2294,0.88235295
26,Machine-learning-algorithms,datasets,yasserh/wine-quality-dataset,Wine Quality Dataset,21KB,2022-01-15 19:15:11,20753,469,1.0
28,Machine-learning-algorithms,datasets,yasserh/breast-cancer-dataset,Breast Cancer Dataset,49KB,2021-12-29 19:07:20,14894,175,1.0
30,Machine-learning-algorithms,datasets,adnanzaidi/urdu-news-headlines,Urdu / Hindi News Headlines,64KB,2019-08-06 15:03:48,445,71,1.0
32,Machine-learning-algorithms,datasets,basu369victor/prediction-of-asteroid-diameter,Open Asteroid Dataset,161MB,2019-12-12 18:48:52,2351,112,1.0
34,Machine-learning-algorithms,datasets,ozlerhakan/spam-or-not-spam-dataset,Spam or Not Spam Dataset,1MB,2018-12-14 18:32:01,6001,50,0.88235295
36,Machine-learning-algorithms,datasets,tencars/392-crypto-currency-pairs-at-minute-resolution,400+ crypto currency pairs at 1-minute resolution,2GB,2022-12-21 16:10:10,15646,526,0.8235294
38,Machine-learning-algorithms,datasets,jpacse/datasets-for-churn-telecom,telecom churn (cell2cell),4MB,2018-12-14 16:22:18,5711,87,0.64705884
40,Machine-learning-algorithms,datasets,avnishnish/mnist-original,MNIST Original,11MB,2018-08-12 04:42:53,8181,81,0.75
