,topic,set,ref,title,size,lastUpdated,downloadCount,voteCount,usabilityRating
2,,datasets,kaggle/kaggle-survey-2018,2018 Kaggle Machine Learning & Data Science Survey,4MB,2018-11-03 22:35:07,18653,1020,0.85294116
4,,datasets,kaggle/kaggle-survey-2017,2017 Kaggle Machine Learning & Data Science Survey,4MB,2017-10-27 22:03:03,26852,861,0.8235294
6,,datasets,kaushil268/disease-prediction-using-machine-learning,Disease Prediction Using Machine Learning ,30KB,2020-05-15 03:58:44,11995,138,0.8235294
8,,datasets,alopez247/pokemon,Pokémon for Data Mining and Machine Learning,715KB,2017-03-05 15:01:26,12988,268,0.85294116
10,,datasets,shashwatwork/phishing-dataset-for-machine-learning,Phishing Dataset for Machine Learning,234KB,2021-05-28 14:47:37,3506,48,0.9411765
12,,datasets,henrysue/online-shoppers-intention,Online Shoppers Intention UCI Machine Learning,252KB,2020-01-15 20:19:02,3026,54,1.0
14,,datasets,kashnitsky/mlcourse,mlcourse.ai,51MB,2018-12-09 16:45:09,35654,1518,0.88235295
16,,datasets,cristeaioan/ffml-dataset,Food For Machine Learning,64MB,2020-04-24 09:10:45,1338,34,0.8125
18,,datasets,rikdifos/credit-card-approval-prediction,Credit Card Approval Prediction,5MB,2020-03-24 10:04:48,41624,583,1.0
20,,datasets,shashwatwork/android-malware-dataset-for-machine-learning,Android Malware Dataset for Machine Learning ,417KB,2021-03-13 15:44:29,2558,34,0.9411765
22,,datasets,saxenapriyansh/coursera-machine-learning-andrew-ng,Coursera - Machine Learning - Andrew_Ng,4KB,2018-12-25 12:27:33,794,20,0.875
24,,datasets,brsdincer/vehicle-detection-image-set,Vehicle Detection Image Set,119MB,2021-05-09 17:54:02,4332,97,0.875
26,,datasets,ryleymcconkey/ml-turbulence-dataset,Turbulence modelling using machine learning,9GB,2022-03-04 20:50:12,1697,37,0.7647059
28,,datasets,ammaraahmad/top-10-machine-learning-datasets,Top 10 Machine Learning datasets,883KB,2021-10-16 06:51:59,2841,39,0.88235295
30,,datasets,shuofxz/titanic-machine-learning-from-disaster,Titanic: Machine Learning from Disaster,33KB,2017-10-15 10:05:34,4621,67,0.29411766
32,,datasets,vikrishnan/boston-house-prices,Boston House Prices,13KB,2017-08-03 17:06:12,78052,480,0.8235294
34,,datasets,outofskills/driving-behavior,Driving Behavior,196KB,2022-06-05 09:40:48,2184,70,1.0
36,,datasets,rahulsah06/machine-learning-for-diabetes-with-python,Machine Learning for Diabetes with Python,9KB,2019-09-20 08:04:12,1626,27,0.5882353
38,,datasets,oossiiris/hackerearth-machine-learning-exhibit-art,HackerEarth Machine Learning  : Exhibit A(rt),512KB,2021-02-06 07:36:56,393,16,0.7058824
40,,datasets,uciml/zoo-animal-classification,Zoo Animal Classification,2KB,2016-12-24 18:05:10,32614,369,0.8235294
