,topic,set,ref,title,size,lastUpdated,downloadCount,voteCount,usabilityRating
2,,datasets,camnugent/california-housing-prices,California Housing Prices,400KB,2017-11-24 03:14:59,83148,813,0.85294116
4,,datasets,marcomolina/water-consumption-in-a-median-size-city,Water Consumption in a Median Size City,9MB,2016-09-15 07:04:37,3796,67,0.7058824
6,,datasets,zillow/median-listing-price-1-bedroom,Median Listing Price (1 Bedroom),22KB,2016-11-07 02:54:56,1078,28,0.7058824
8,,datasets,goldenoakresearch/us-household-income-stats-geo-locations,US Household Income Statistics,2MB,2018-04-16 18:20:57,12520,229,0.8235294
10,,datasets,ruchi798/malnutrition-across-the-globe,Malnutrition across the globe,79KB,2020-05-25 09:51:45,5254,188,1.0
12,,datasets,fedesoriano/california-housing-prices-data-extra-features,California Housing Prices Data (5 new features!),952KB,2021-07-03 15:21:53,2439,49,1.0
14,,datasets,zillow/rent-index,"""Zillow Rent Index2010-Present""",3MB,2017-03-03 21:00:13,5643,122,0.7352941
16,,datasets,mpwolke/cusersmarildownloadsearningcsv,Earnings of females and males employees.,1KB,2019-09-05 19:36:18,2720,139,1.0
18,,datasets,tunguz/drug-use-by-age,Drug Use By Age,1KB,2021-04-23 19:39:54,3608,70,1.0
20,,datasets,heptapod/titanic,Titanic,11KB,2017-05-16 08:14:22,48650,909,0.7058824
22,,datasets,zillow/zecon,Zillow Economics Data,511MB,2018-01-24 23:53:58,19062,602,0.7058824
24,,datasets,goldenoakresearch/acs-gross-rent-us-statistics,US Gross Rent ACS Statistics,2MB,2017-08-23 15:05:49,1397,53,0.8235294
26,,datasets,census/estimate-of-median-household-income-group-series,Estimate of Median Household Income Group Series,21KB,2019-12-07 00:28:54,343,7,0.7058824
28,,datasets,jonavery/incomes-by-career-and-gender,U.S. Incomes by Occupation and Gender,12KB,2016-09-22 23:51:52,9238,163,0.85294116
30,,datasets,gpreda/coronavirus-2019ncov,COVID19 Daily Updates,20MB,2021-02-13 07:55:53,9592,98,1.0
32,,datasets,census/real-median-income-data-collection,Real Median Income Data Collection,62KB,2019-12-06 09:08:32,164,4,0.64705884
34,,datasets,arslanali4343/real-estate-dataset,Real Estate DataSet,12KB,2020-09-28 21:25:33,17136,331,1.0
36,,datasets,htagholdings/property-sales,House Property Sales Time Series,162KB,2019-08-12 10:07:10,9708,98,1.0
38,,datasets,jamesleslie/titanic-cleaned-data,Titanic: cleaned data,36KB,2018-11-21 11:50:18,5646,61,0.7647059
40,,datasets,nightranger77/covid19-demographic-predictors,COVID-19 Predictors,8KB,2020-05-20 12:49:35,2278,64,0.7058824
