,topic,set,ref,title,size,lastUpdated,downloadCount,voteCount,usabilityRating
2,Metadata,datasets,alamson/safebooru,Safebooru - Anime Image Metadata,333MB,2020-07-24 20:49:07,2755,107,1.0
4,Metadata,datasets,rohanrao/covid19-forecasting-metadata,Covid19 Forecasting Metadata,118KB,2020-05-11 21:42:06,1160,33,1.0
6,Metadata,datasets,tmdb/tmdb-movie-metadata,TMDB 5000 Movie Dataset,9MB,2017-09-28 01:09:12,241305,3225,0.8235294
8,Metadata,datasets,samuelcortinhas/rsna-2022-spine-fracture-detection-metadata,RSNA 2022 Spine Fracture Detection - Metadata,119MB,2022-09-29 13:41:53,892,61,1.0
10,Metadata,datasets,karrrimba/movie-metadatacsv,Movie metadata ,554KB,2018-01-09 04:45:32,4346,25,0.5294118
12,Metadata,datasets,rounakbanik/the-movies-dataset,The Movies Dataset,228MB,2017-11-10 02:40:38,257076,3066,0.8235294
14,Metadata,datasets,Cornell-University/arxiv,arXiv Dataset,1GB,2022-12-18 00:51:05,20241,987,0.875
16,Metadata,datasets,suicaokhoailang/metadata,metadata,2MB,2018-12-25 08:56:33,2468,12,0.29411766
18,Metadata,datasets,mrisdal/fake-news,Getting Real about Fake News,19MB,2016-11-25 22:29:09,24061,519,0.7941176
20,Metadata,datasets,dschettler8845/hpa-train-data-with-additional-metadata,HPA - Train Data With Additional Metadata ,860MB,2021-03-01 14:21:24,114,19,1.0
22,Metadata,datasets,azathoth42/myanimelist,MyAnimeList Dataset,2GB,2018-06-29 21:35:08,13738,423,0.85294116
24,Metadata,datasets,dschettler8845/hpa-sample-submission-with-extra-metadata,HPA - Sample Submission With Extra Metadata,25MB,2021-02-28 21:18:41,99,13,1.0
26,Metadata,datasets,andradaolteanu/kaggle-analytics-competitions-metadata,Kaggle Analytics Competitions - Metadata,180KB,2022-11-01 15:29:57,38,35,1.0
28,Metadata,datasets,kukuroo3/dataset-of-kaggle-dataset-include-medalvotecount,Metadata of Kaggle dataset _Include MedalVoteCount,11MB,2021-12-20 05:26:39,81,56,0.7647059
30,Metadata,datasets,zaharch/train-set-metadata-for-dfdc,Train set metadata for DFDC,11MB,2020-01-04 00:22:10,860,42,0.5
32,Metadata,datasets,Cornell-University/movie-dialog-corpus,Movie Dialog Corpus,9MB,2017-07-11 21:41:03,6002,141,0.8235294
34,Metadata,datasets,antaresnyc/metagenomics,Metagenomics,80MB,2020-12-15 04:40:27,2558,97,1.0
36,Metadata,datasets,treich/country-metadata,Country metadata,4KB,2020-05-26 06:10:37,113,7,0.9411765
38,Metadata,datasets,gpreda/kaggle-youtube-video-metadata,Kaggle YouTube Video Metadata,55KB,2020-08-15 08:25:37,127,13,1.0
40,Metadata,datasets,saurabhshahane/music-dataset-1950-to-2019,Music Dataset : 1950 to 2019,10MB,2022-01-31 17:51:31,1694,64,0.9411765
