,topic,set,ref,title,size,lastUpdated,downloadCount,voteCount,usabilityRating
2,Missing-values,datasets,jamesleslie/titanic-cleaned-data,Titanic: cleaned data,36KB,2018-11-21 11:50:18,5646,61,0.7647059
4,Missing-values,datasets,uciml/breast-cancer-wisconsin-data,Breast Cancer Wisconsin (Diagnostic) Data Set,49KB,2016-09-25 10:49:04,253876,2926,0.85294116
6,Missing-values,datasets,heptapod/titanic,Titanic,11KB,2017-05-16 08:14:22,48650,909,0.7058824
8,Missing-values,datasets,uciml/electric-power-consumption-data-set,Household Electric Power Consumption,19MB,2016-08-23 17:02:15,22240,285,0.75
10,Missing-values,datasets,arslanali4343/real-estate-dataset,Real Estate DataSet,12KB,2020-09-28 21:25:33,17137,331,1.0
12,Missing-values,datasets,ahsen1330/us-police-shootings,US Police Shootings,126KB,2020-07-30 04:23:34,12636,361,0.9705882
14,Missing-values,datasets,uciml/autompg-dataset,Auto-mpg dataset,6KB,2017-07-02 05:25:54,32469,247,0.85294116
16,Missing-values,datasets,xodeum/handling-of-missing-values-in-python,Handling of missing values in python,3KB,2022-07-03 06:38:13,94,19,0.8125
18,Missing-values,datasets,sardorabdirayimov/spaceship-titanic-no-missing-values,Spaceship Titanic | No missing values ,278KB,2022-03-12 18:20:06,51,7,0.64705884
20,Missing-values,datasets,devsubhash/flipkart-mobiles-dataset,Flipkart Mobiles Dataset,54KB,2022-03-20 10:46:28,2443,52,1.0
22,Missing-values,datasets,samuelcortinhas/credit-card-approval-clean-data,Credit Card Approvals (Clean Data),19KB,2022-04-25 15:52:35,3595,72,1.0
24,Missing-values,datasets,altavish/boston-housing-dataset,Boston housing dataset,12KB,2017-10-27 12:17:34,16614,101,0.5882353
26,Missing-values,datasets,akshayksingh/kidney-disease-dataset,Kidney Disease Dataset,10KB,2019-08-04 17:07:05,3301,31,0.5882353
28,Missing-values,datasets,emmanueldjegou/sales-dataset-enlarged,Sales Dataset v2 for Marketing Analytics,1KB,2022-06-26 20:14:54,154,16,0.8235294
30,Missing-values,datasets,yingwurenjian/chicago-divvy-bicycle-sharing-data,Chicago Divvy Bicycle Sharing Data,629MB,2018-02-26 19:21:31,5879,128,0.7352941
32,Missing-values,datasets,kumarajarshi/life-expectancy-who,Life Expectancy (WHO),119KB,2018-02-10 16:55:10,80619,913,0.8235294
34,Missing-values,datasets,emmanueldjegou/campaign-dataset,Facebook Campaign Dataset for Marketing Analytics,664B,2022-06-26 19:29:00,128,14,0.8235294
36,Missing-values,datasets,uciml/restaurant-data-with-consumer-ratings,Restaurant Data with Consumer Ratings,39KB,2017-09-27 20:46:37,15230,177,0.7352941
38,Missing-values,datasets,pranavuikey/black-friday-sales-eda,Black Friday Sales EDA,5MB,2022-09-05 10:22:37,1825,39,1.0
40,Missing-values,datasets,marcomolina/water-consumption-in-a-median-size-city,Water Consumption in a Median Size City,9MB,2016-09-15 07:04:37,3796,67,0.7058824
