,topic,set,ref,title,size,lastUpdated,downloadCount,voteCount,usabilityRating
2,Multiple-Linear-Regression,datasets,hellbuoy/car-price-prediction,Car Price Prediction Multiple Linear Regression,18KB,2019-10-15 16:45:27,38866,420,0.7058824
4,Multiple-Linear-Regression,datasets,karthickveerakumar/startup-logistic-regression,Startup - Multiple Linear Regression,1KB,2018-01-29 11:42:03,6598,51,0.47058824
6,Multiple-Linear-Regression,datasets,erolmasimov/price-prediction-multiple-linear-regression,Price Prediction -Multiple Linear Regression,6KB,2022-08-03 20:54:12,999,29,0.7647059
8,Multiple-Linear-Regression,datasets,aungpyaeap/fish-market,Fish market,2KB,2019-06-13 10:20:33,45912,428,1.0
10,Multiple-Linear-Regression,datasets,fayejavad/marketing-linear-multiple-regression,Marketing Linear Multiple Regression ,2KB,2020-04-24 19:41:25,1771,20,0.29411766
12,Multiple-Linear-Regression,datasets,bulentsiyah/multiplelinearregressiondataset,multiple-linear-regression(for simple exercises),319B,2018-08-05 19:45:21,662,46,0.29411766
14,Multiple-Linear-Regression,datasets,kumarajarshi/life-expectancy-who,Life Expectancy (WHO),119KB,2018-02-10 16:55:10,80619,913,0.8235294
16,Multiple-Linear-Regression,datasets,noordeen/insurance-premium-prediction,Insurance Premium Prediction,13KB,2019-06-16 03:28:07,9088,99,0.5882353
18,Multiple-Linear-Regression,datasets,root64shivansh/profit-in-startup-of-a-company,Profit in Startup of a Company,2KB,2019-12-27 10:37:21,1420,16,0.64705884
20,Multiple-Linear-Regression,datasets,uditkhanna112/startups-in-usamultiple-linear-regression,Startups in USA(Multiple Linear Regression),8KB,2019-04-10 01:23:04,645,10,0.3529412
22,Multiple-Linear-Regression,datasets,jamesbasker/height-weight-single-variable-data-101-series-10,Height_Weight_single_variable_data_101_series_1.0,455B,2017-06-17 18:43:03,1064,18,0.8235294
24,Multiple-Linear-Regression,datasets,podsyp/regression-with-categorical-data,Regression with categorical data,15MB,2020-04-05 19:44:32,542,10,0.9411765
26,Multiple-Linear-Regression,datasets,shubhamsharma777/multiplelinearregression,Multiple-linear-regression,413KB,2021-04-03 08:26:54,161,3,0.23529412
28,Multiple-Linear-Regression,datasets,augustus0498/life-expectancy-who,Life Expectancy (WHO),118KB,2019-05-02 08:54:12,4207,44,0.7058824
30,Multiple-Linear-Regression,datasets,prajitdatta/data-stories-of-us-airlines,"""Data Stories of US Airlines 1987-2008""",1MB,2017-03-11 19:12:00,1430,30,0.8235294
32,Multiple-Linear-Regression,datasets,mansigaikwad/nestle-india-historical-stock-price-data,Nestle India -Historical Stock Price Data ,123KB,2022-04-25 17:21:35,340,13,0.7058824
34,Multiple-Linear-Regression,datasets,vaibhavhkanand/multiple-linear-regression-dataset,Multiple Linear Regression Dataset,47KB,2020-04-14 23:53:14,213,2,0.1764706
36,Multiple-Linear-Regression,datasets,hadibakhsh/linear-regression-multiple-variable-ml,Linear Regression Multiple Variable ML,260B,2022-07-23 15:10:28,11,4,0.1764706
38,Multiple-Linear-Regression,datasets,sagarvyas22/multiple-linear-regression-startups,Multiple Linear Regression - Startups,1KB,2021-01-09 05:08:25,90,2,0.23529412
40,Multiple-Linear-Regression,datasets,manasichhibber/concrete,Concrete Strength Prediction,11KB,2021-05-07 08:38:05,312,4,0.3529412
