,topic,set,ref,title,size,lastUpdated,downloadCount,voteCount,usabilityRating
2,Numerical-data,datasets,colearninglounge/employee-attrition,Employee Attrition,52KB,2020-08-26 03:38:50,3719,52,0.8235294
4,Numerical-data,datasets,lepchenkov/usedcarscatalog,Used-cars-catalog,824KB,2019-12-02 12:02:05,7942,119,1.0
6,Numerical-data,datasets,dshah1612/covid19-numerical-claims-open-research-dataset,COVID-19 Numerical Claims Open Research Dataset,29MB,2022-07-31 08:32:48,742,33,0.9411765
8,Numerical-data,datasets,colearninglounge/chronic-kidney-disease,Chronic Kidney Disease,10KB,2020-08-26 03:33:35,3308,42,0.8235294
10,Numerical-data,datasets,daalgi/fem-simulations,FEM simulations,183KB,2017-10-09 07:22:53,545,20,0.8235294
12,Numerical-data,datasets,azminetoushikwasi/aqi-air-quality-index-scheduled-daily-update,AQI - Air Quality Index,43KB,2022-09-22 16:17:52,1114,40,1.0
14,Numerical-data,datasets,mlg-ulb/creditcardfraud,Credit Card Fraud Detection,66MB,2018-03-23 01:17:27,474368,9676,0.85294116
16,Numerical-data,datasets,subhashinimariappan/numerical-dataset,Numerical  Dataset.,9MB,2020-05-18 08:37:58,594,11,0.1764706
18,Numerical-data,datasets,fedesoriano/hepatitis-c-dataset,Hepatitis C Prediction Dataset,15KB,2020-12-21 16:50:55,8266,128,1.0
20,Numerical-data,datasets,uciml/internet-advertisements-data-set,Internet Advertisements Data Set,149KB,2017-09-01 15:14:02,3407,58,0.85294116
22,Numerical-data,datasets,ramamet4/nse-stocks-database,NSE India stocks (Indices),8MB,2017-05-11 18:21:22,4733,89,0.8235294
24,Numerical-data,datasets,teertha/personal-loan-modeling,Personal Loan Modeling ,61KB,2020-03-10 13:20:35,4346,41,0.9411765
26,Numerical-data,datasets,hudsonstuck/stockx-data-contest,StockX Sneaker Data Contest,711KB,2020-07-18 04:25:37,2539,49,0.8235294
28,Numerical-data,datasets,neelkamal692/delhi-house-price-prediction,Delhi House Price Prediction,25KB,2019-12-22 08:11:25,2568,39,0.64705884
30,Numerical-data,datasets,ahmadjalalmasood123/deaths-by-risk-factor-dataset,Deaths By Risk Factor Dataset,372KB,2022-10-25 17:55:49,945,31,0.9411765
32,Numerical-data,datasets,leighplt/embeddings-glove-crawl-torch-cached,"""Embeddings: GloVe Crawl etc. | torch cached """,15GB,2019-12-01 13:26:49,94,14,1.0
34,Numerical-data,datasets,ananthu017/question-classification,Question Type Classification,137KB,2018-10-06 14:14:14,1321,23,1.0
36,Numerical-data,datasets,pranavuikey/black-friday-sales-eda,Black Friday Sales EDA,5MB,2022-09-05 10:22:37,1825,39,1.0
38,Numerical-data,datasets,altruistdelhite04/gold-price-data,Gold Price Data,42KB,2019-03-22 07:02:08,8205,50,0.3529412
40,Numerical-data,datasets,wcukierski/2016-march-ml-mania,2016 March ML Mania Predictions,28MB,2017-11-15 22:36:48,1963,61,0.64705884
