,topic,set,ref,title,size,lastUpdated,downloadCount,voteCount,usabilityRating
2,Plotly,datasets,andradaolteanu/country-mapping-iso-continent-region,"""Country Mapping - ISO Continent Region""",5KB,2019-12-15 15:07:34,7952,76,0.88235295
4,Plotly,datasets,sogun3/uspollution,U.S. Pollution Data,26MB,2016-11-04 17:32:56,22546,437,0.7058824
6,Plotly,datasets,umeshkumar017/who-covid19-data-tabe,WHO(World Health Org.) COVID-19 data ,16KB,2021-08-31 13:11:34,1080,28,1.0
8,Plotly,datasets,andreshg/countries-iso-codes-continent-flags-url,Countries ISO Codes | Continent | Flags URL,8KB,2021-04-01 12:44:30,614,25,0.9705882
10,Plotly,datasets,sureshmecad/plotly-dashboard-healthcare,Plotly Dashboard Healthcare,2MB,2022-01-04 11:11:06,29,5,0.8235294
12,Plotly,datasets,juanumusic/countries-iso-codes,Countries ISO Codes,4KB,2017-08-09 19:46:59,2425,28,0.64705884
14,Plotly,datasets,artgor/plotly-country-code-mapping,Plotly_country_code_mapping,3KB,2018-11-03 08:45:25,91,6,0.1764706
16,Plotly,datasets,shep312/plotlycountrycodes,Plotly country codes,3KB,2018-04-18 16:25:46,267,3,0.1764706
18,Plotly,datasets,zed9941/top-500-indian-cities,Top 500 Indian Cities,35KB,2016-12-21 10:11:07,8247,119,0.8235294
20,Plotly,datasets,hemil26/canada-weather,Canada Weather,4KB,2022-02-21 12:55:34,440,45,1.0
22,Plotly,datasets,priyanka841/2019-world-happiness-report-csv-file,World Happiness Report 2019,4KB,2020-04-15 16:19:58,529,9,0.5882353
24,Plotly,datasets,kaushiksuresh147/data-visualization-cheat-cheats-and-resources,Data Visualization Cheat sheets and Resources,127MB,2022-05-31 11:31:11,2188,191,0.875
26,Plotly,datasets,eliasdabbas/european-football-soccer-clubs-tweets,European Football (Soccer) Clubs Tweets,49MB,2019-07-19 13:47:36,422,15,0.9411765
28,Plotly,datasets,eliasdabbas/coffee-and-cafe-search-results-on-google,Coffee and Cafe Search Results on Google,2MB,2019-07-09 16:04:18,394,5,0.9411765
30,Plotly,datasets,kingabzpro/pakistan-engineers-data,Pakistan Engineer's Data,502KB,2021-07-25 19:03:02,68,8,1.0
32,Plotly,datasets,matschiner/plotly_countries,plotly countries,3KB,2019-01-03 15:48:53,79,1,0.29411766
34,Plotly,datasets,syedjaferk/individuals-using-the-internet-of-population,Individuals using the Internet (% of population),85KB,2021-11-06 15:56:10,312,10,0.9411765
36,Plotly,datasets,nabanitaroy/earthday2022tweets,#EarthDay 2022 Tweets,9MB,2022-08-31 22:32:22,371,14,1.0
38,Plotly,datasets,lydia70/malaria-in-africa,Malaria in Africa,27KB,2020-12-30 13:40:12,1596,29,1.0
40,Plotly,datasets,martynovandrey/tps-mar-22-special-values,tps_mar_22_special_values,2KB,2022-03-13 04:11:50,56,11,0.47058824
