,topic,set,ref,title,size,lastUpdated,downloadCount,voteCount,usabilityRating
2,R-data-visualization,datasets,kaggle/world-development-indicators,World Development Indicators,369MB,2017-05-01 17:50:44,63248,1613,0.7647059
4,R-data-visualization,datasets,rhuebner/human-resources-data-set,Human Resources Data Set,17KB,2020-10-19 13:50:53,60112,832,0.8235294
6,R-data-visualization,datasets,kaushiksuresh147/data-visualization-cheat-cheats-and-resources,Data Visualization Cheat sheets and Resources,127MB,2022-05-31 11:31:11,2188,191,0.875
8,R-data-visualization,datasets,ilknuricke/neurohackinginrimages,"""Structural MRI Datasets (T1 T2 FLAIR etc.)""",189MB,2019-11-21 00:59:08,4691,111,0.625
10,R-data-visualization,datasets,piterfm/2022-ukraine-russian-war,2022 Russia Ukraine War,10KB,2022-12-20 13:39:28,19964,869,1.0
12,R-data-visualization,datasets,tawsifurrahman/tuberculosis-tb-chest-xray-dataset,Tuberculosis (TB) Chest X-ray Database,663MB,2021-06-14 09:58:38,6776,127,0.9375
14,R-data-visualization,datasets,aslanahmedov/market-basket-analysis,Market Basket Analysis,23MB,2021-12-09 00:27:56,3684,62,1.0
16,R-data-visualization,datasets,rgupta09/world-cup-2018-tweets,FIFA World Cup 2018 Tweets,44MB,2018-08-15 05:30:46,4619,97,0.64705884
18,R-data-visualization,datasets,josehenriqueroveda/fertilizers-by-product-fao,Fertilizers by Product FAO,1MB,2020-06-16 13:01:07,1455,43,1.0
20,R-data-visualization,datasets,jolhe006/timeseries,R multivariate data visualization,59KB,2017-07-12 22:38:10,194,5,0.29411766
22,R-data-visualization,datasets,hugoncosta/price-of-flats-in-moscow,Price of flats in Moscow,20KB,2018-10-30 14:19:52,1567,22,0.6764706
24,R-data-visualization,datasets,ngshiheng/michelin-guide-restaurants-2021,Michelin Guide Restaurants,529KB,2022-12-15 03:18:19,1505,36,1.0
26,R-data-visualization,datasets,gpreda/research-development-personnel-in-europe,Research & Development Personnel in Europe,791KB,2021-12-05 14:57:52,27,9,1.0
28,R-data-visualization,datasets,jessemostipak/volcano-eruptions,Volcano Eruptions,666KB,2020-05-11 16:50:57,1892,32,0.88235295
30,R-data-visualization,datasets,bpali26/popular-websites-across-the-globe,Popular websites across the globe,624KB,2017-05-27 11:18:54,2773,50,0.8235294
32,R-data-visualization,datasets,gpreda/research-development-expenditure-in-europe,Research & Development Expenditure in Europe,16KB,2021-10-31 13:29:10,84,10,1.0
34,R-data-visualization,datasets,olgabelitskaya/r-recipes,R Recipes,26KB,2020-12-28 02:42:22,5,3,0.6875
36,R-data-visualization,datasets,maalona/hospital-triage-and-patient-history-data,Hospital Triage and Patient History Data,96MB,2019-06-03 22:04:52,2136,38,0.625
38,R-data-visualization,datasets,sanjeet41/iris-data-set-for-beginners,IRIS data set for Beginners,1KB,2018-07-11 09:39:34,494,5,0.7058824
40,R-data-visualization,datasets,hemil26/world-happiness-report-2022,World Happiness Report 2022,5KB,2022-03-20 05:33:17,1040,50,1.0
