,topic,set,ref,title,size,lastUpdated,downloadCount,voteCount,usabilityRating
2,Rest-API,datasets,dansbecker/nba-shot-logs,NBA shot logs,3MB,2016-08-18 05:16:10,14556,341,0.5882353
4,Rest-API,datasets,jorijnsmit/binance-full-history,Binance Full History,26GB,2022-11-17 23:44:24,10722,299,0.875
6,Rest-API,datasets,kenjee/ken-jee-youtube-data,Ken Jee YouTube Data,6MB,2022-01-22 20:38:53,2052,162,1.0
8,Rest-API,datasets,freecodecamp/all-posts-public-main-chatroom,"""freeCodeCamp Gitter Chat 2015-2017""",597MB,2019-10-21 10:35:21,1968,76,0.7647059
10,Rest-API,datasets,maxreis/bitcoin-trades-at-binance-exchange,Bitcoin trades at Binance Exchange,6MB,2021-03-22 00:49:33,47,5,1.0
12,Rest-API,datasets,Madgrades/uw-madison-courses,UW Madison Courses and Grades 2006-2017,90MB,2018-05-15 18:58:25,3700,74,0.85294116
14,Rest-API,datasets,andreuvallhernndez/myanimelist-jikan,MyAnimelist Jikan Database,42MB,2022-07-23 19:21:47,108,12,1.0
16,Rest-API,datasets,rohanrao/rspacex-data,r/SpaceX Data (2006 - 2021),15KB,2021-04-06 16:07:21,351,15,0.88235295
18,Rest-API,datasets,stkbailey/nashville-meetup,Nashville Meetup Network,11MB,2018-02-09 18:10:21,2000,41,0.7058824
20,Rest-API,datasets,fivethirtyeight/fivethirtyeight-candy-power-ranking-dataset,FiveThirtyEight Candy Power Ranking Dataset,3KB,2019-04-26 15:01:22,539,10,0.8235294
22,Rest-API,datasets,danielgrijalvas/steven-wilson-analysis,Steven Wilson detector,166KB,2017-11-26 21:46:49,373,36,0.9705882
24,Rest-API,datasets,cristiangarrido/sp-500-daily-crash-1987-vs-crash-2020,"""Crash 1929 1987 2008 vs. 2020 """,12KB,2020-06-16 10:09:49,310,7,1.0
26,Rest-API,datasets,younver/spotify-top-200-dataset,spotify top 200 dataset,9MB,2022-10-29 19:36:07,785,29,1.0
28,Rest-API,datasets,souyama/steam-reviews,Steam Store Apps Reviews,11GB,2022-08-17 03:42:25,111,17,0.8125
30,Rest-API,datasets,bartomiejczyewski/spotify-top-200-weekly-global-20172021,Spotify Top 200 Charts Global (2017-2021)+API data,3MB,2021-04-20 19:16:50,687,12,0.9411765
32,Rest-API,datasets,souhardyachakraborty/all-250-country-data,All 250 Country Data ,8KB,2020-10-30 10:26:41,274,6,0.5882353
34,Rest-API,datasets,mmmarchetti/tweets-dataset,Tweets Dataset,3MB,2020-02-06 22:04:47,611,12,0.9411765
36,Rest-API,datasets,rugbyrne/peloton,Peloton,10MB,2022-12-19 20:28:33,34,3,0.88235295
38,Rest-API,datasets,linkanjarad/smiles-representations-of-cancer-related-drugs,SMILES Representations of Cancer related drugs,1MB,2022-10-19 07:03:32,24,8,0.8235294
40,Rest-API,datasets,gqfiddler/scotus-opinions,SCOTUS Opinions,233MB,2020-08-23 06:04:29,1029,71,0.9411765
