,topic,set,ref,title,size,lastUpdated,downloadCount,voteCount,usabilityRating
2,Tableau,datasets,ariyoomotade/netflix-data-cleaning-analysis-and-visualization,"""Netflix Data: Cleaning Analysis and Visualization""",270KB,2022-08-26 09:25:43,9869,190,1.0
4,Tableau,datasets,nadianizam/tableau-pic,tableau pic,391KB,2021-03-11 03:13:43,32,27,0.75
6,Tableau,datasets,arindam235/startup-investments-crunchbase,StartUp Investments (Crunchbase),3MB,2020-02-17 21:54:42,9342,299,0.88235295
8,Tableau,datasets,nadianizam/tableau-pic1,tableau_pic1,45KB,2021-03-12 09:42:45,16,23,0.75
10,Tableau,datasets,rhuebner/human-resources-data-set,Human Resources Data Set,17KB,2020-10-19 13:50:53,60112,832,0.8235294
12,Tableau,datasets,ruchi798/malnutrition-across-the-globe,Malnutrition across the globe,79KB,2020-05-25 09:51:45,5255,188,1.0
14,Tableau,datasets,luiscorter/netflix-original-films-imdb-scores,Netflix Original Films & IMDB Scores ,12KB,2021-06-03 23:24:57,12599,176,1.0
16,Tableau,datasets,vivek468/superstore-dataset-final,Superstore Dataset,550KB,2022-02-17 11:33:07,21951,303,1.0
18,Tableau,datasets,mfaisalqureshi/fdi-tableau-files,FDI Tableau Files,327KB,2021-06-05 08:58:24,49,15,0.1875
20,Tableau,datasets,eliasturk/world-happiness-based-on-cpi-20152020,Happiness and Corruption 2015-2020,29KB,2022-10-11 22:35:03,2902,57,1.0
22,Tableau,datasets,sudalairajkumar/covid19-in-usa,COVID-19 in USA,10MB,2020-12-07 06:23:33,24396,295,0.9705882
24,Tableau,datasets,ivanchvez/causes-of-death-our-world-in-data,Causes of Death - Our World In Data,1MB,2022-03-29 18:35:21,2941,44,0.9705882
26,Tableau,datasets,jackdaoud/esports-earnings-for-players-teams-by-game,eSports Earnings,42KB,2020-12-17 08:52:23,3146,53,1.0
28,Tableau,datasets,rashikrahmanpritom/data-science-job-posting-on-glassdoor,Data Science Job Posting on Glassdoor,2MB,2021-03-09 09:02:45,2835,66,0.8235294
30,Tableau,datasets,samarsaeedkhan/scores,Student's Scores,2KB,2022-07-17 17:32:24,1286,28,0.8235294
