,topic,set,ref,title,size,lastUpdated,downloadCount,voteCount,usabilityRating
2,Txt-dataset,datasets,christianlillelund/donald-trumps-rallies,Donald Trump Rally Speeches,720KB,2020-09-26 10:25:08,3931,131,1.0
4,Txt-dataset,datasets,sudalairajkumar/daily-temperature-of-major-cities,Daily Temperature of Major Cities ,13MB,2020-06-05 07:34:48,22207,369,1.0
6,Txt-dataset,datasets,valentynsichkar/traffic-signs-dataset-in-yolo-format,Traffic Signs Dataset in YOLO format,250MB,2020-04-03 22:25:16,8143,83,0.9375
8,Txt-dataset,datasets,hassan06/nslkdd,NSL-KDD,14MB,2019-04-25 06:13:16,12863,126,0.625
10,Txt-dataset,datasets,dasmehdixtr/drone-dataset-uav,Drone Dataset (UAV) ,716MB,2019-10-01 15:52:51,5050,168,0.9375
12,Txt-dataset,datasets,issaisasank/guns-object-detection,Guns Object Detection,5MB,2019-02-01 15:51:17,4421,73,0.875
14,Txt-dataset,datasets,savanagrawal/detect-person-on-motorbike-or-scooter,Detect Person on motorbike or scooter using YoloV3,352MB,2020-03-16 20:18:35,1539,21,0.9375
16,Txt-dataset,datasets,fuzzyfroghunter/dickens,The Works of Charles Dickens,9MB,2017-10-14 16:39:49,1680,27,0.7058824
18,Txt-dataset,datasets,ysthehurricane/impact-of-covid19-on-unemployment-rate-in-india,Impact of COVID19 on unemployment rate in India,113KB,2021-09-17 03:07:23,975,48,1.0
20,Txt-dataset,datasets,bittlingmayer/spelling,Spelling Corrector,2MB,2017-05-24 20:40:04,2855,55,0.75
22,Txt-dataset,datasets,juicobowley/drake-lyrics,Drake Lyrics,764KB,2020-11-27 01:00:52,1469,62,1.0
24,Txt-dataset,datasets,smaranjitghose/sea-turtle-face-detection,Sea Turtle Face Detection,1GB,2021-03-06 01:56:08,285,13,0.8235294
26,Txt-dataset,datasets,olgabelitskaya/classification-of-handwritten-letters,Classification of Handwritten Letters,337MB,2021-05-17 19:18:48,6328,204,0.7058824
28,Txt-dataset,datasets,guansuo/iris-datasettxt-format,iris dataset(txt format),1KB,2022-09-18 06:21:17,10,7,0.3125
30,Txt-dataset,datasets,phiitm/marvel-cinematic-universe-dialogue-dataset,Marvel Cinematic Universe Dialogue Dataset,474KB,2020-05-30 08:46:10,610,31,1.0
32,Txt-dataset,datasets,netflix-inc/netflix-prize-data,Netflix Prize data,683MB,2019-11-13 18:39:37,70881,1183,0.7647059
34,Txt-dataset,datasets,karakaggle/kaggle-cat-vs-dog-dataset,Kaggle: Cat VS Dog Dataset,787MB,2020-05-01 18:40:09,2745,46,0.625
36,Txt-dataset,datasets,divyansh22/friends-tv-show-script,Friends TV Show Script,2MB,2020-07-13 06:13:57,1254,37,1.0
38,Txt-dataset,datasets,whoosis/barcode-detection-annotated-dataset,Barcode Detection Annotated Dataset,1GB,2020-12-21 20:51:49,779,22,0.9375
40,Txt-dataset,datasets,eswarchandt/phishing-website-detector,Phishing website Detector,197KB,2020-02-28 11:50:20,2610,40,0.8235294
