,topic,set,ref,title,size,lastUpdated,downloadCount,voteCount,usabilityRating
2,'charmap' codec can't encode character '\U0001f4a5' in position 49: character maps to <undefined>,datasets,ariyoomotade/netflix-data-cleaning-analysis-and-visualization,"""Netflix Data: CleaningAnalysis and Visualization""",270KB,2022-08-26 09:25:43,9868,190,1.0
4,'charmap' codec can't encode character '\U0001f4a5' in position 49: character maps to <undefined>,datasets,vbmokin/nlp-with-disaster-tweets-cleaning-data,NLP with Disaster Tweets - cleaning data,1MB,2021-09-11 19:24:20,1246,49,0.9117647
6,'charmap' codec can't encode character '\U0001f4a5' in position 49: character maps to <undefined>,datasets,ilayaraja07/data-cleaning-feature-imputation,Data Cleaning - Feature Imputation,113KB,2022-08-13 10:41:54,228,10,0.64705884
8,'charmap' codec can't encode character '\U0001f4a5' in position 49: character maps to <undefined>,datasets,arianazmoudeh/airbnbopendata,Airbnb Open Data,10MB,2022-08-01 15:58:10,12901,172,1.0
10,'charmap' codec can't encode character '\U0001f4a5' in position 49: character maps to <undefined>,datasets,anikannal/solar-power-generation-data,Solar Power Generation Data,2MB,2020-08-18 15:52:03,28567,806,1.0
12,'charmap' codec can't encode character '\U0001f4a5' in position 49: character maps to <undefined>,datasets,nipunarora8/age-gender-and-ethnicity-face-data-csv,"""AGEGENDER AND ETHNICITY (FACE DATA) CSV""",63MB,2020-09-02 13:46:38,13478,260,1.0
14,'charmap' codec can't encode character '\U0001f4a5' in position 49: character maps to <undefined>,datasets,jackogozaly/data-science-and-stem-salaries,Data Science and STEM Salaries,2MB,2021-10-10 19:10:56,6723,104,1.0
16,'charmap' codec can't encode character '\U0001f4a5' in position 49: character maps to <undefined>,datasets,anth7310/mental-health-in-the-tech-industry,Mental Health in the Tech Industry,2MB,2020-09-27 11:17:23,11195,268,0.9411765
18,'charmap' codec can't encode character '\U0001f4a5' in position 49: character maps to <undefined>,datasets,jorgebuenoperez/datacleaningglassesnoglasses,data-cleaning-glasses-no-glasses,465MB,2021-01-31 21:00:39,749,7,0.4375
20,'charmap' codec can't encode character '\U0001f4a5' in position 49: character maps to <undefined>,datasets,yagunnersya/fifa-21-messy-raw-dataset-for-cleaning-exploring,"""FIFA 21 messyraw dataset for cleaning/ exploring""",5MB,2020-10-22 08:24:49,687,19,0.7941176
22,'charmap' codec can't encode character '\U0001f4a5' in position 49: character maps to <undefined>,datasets,borapajo/food-choices,Food choices,5MB,2017-04-23 14:04:43,35273,442,0.85294116
24,'charmap' codec can't encode character '\U0001f4a5' in position 49: character maps to <undefined>,datasets,heeraldedhia/bike-buyers,Bike Buyers 1000,22KB,2020-09-22 06:06:25,5340,63,1.0
26,'charmap' codec can't encode character '\U0001f4a5' in position 49: character maps to <undefined>,datasets,nikhilbhathi/data-scientist-salary-us-glassdoor,Data scientist salary,1023KB,2021-12-29 15:28:13,10585,174,1.0
28,'charmap' codec can't encode character '\U0001f4a5' in position 49: character maps to <undefined>,datasets,pranavuikey/zomato-eda,Zomato_EDA,89MB,2022-09-02 08:34:48,902,29,1.0
30,'charmap' codec can't encode character '\U0001f4a5' in position 49: character maps to <undefined>,datasets,rishikeshkonapure/hr-analytics-prediction,HR Analytics,50KB,2022-09-15 12:42:21,1998,46,1.0
32,'charmap' codec can't encode character '\U0001f4a5' in position 49: character maps to <undefined>,datasets,camnugent/california-housing-prices,California Housing Prices,400KB,2017-11-24 03:14:59,83148,813,0.85294116
34,'charmap' codec can't encode character '\U0001f4a5' in position 49: character maps to <undefined>,datasets,mukuldeshantri/ecommerce-fashion-dataset,E-commerce Dataset with 30K Products,546KB,2022-07-08 12:28:18,3927,84,1.0
36,'charmap' codec can't encode character '\U0001f4a5' in position 49: character maps to <undefined>,datasets,rishikeshkonapure/zomato,Zomato,89MB,2022-10-29 06:56:33,1734,49,1.0
38,'charmap' codec can't encode character '\U0001f4a5' in position 49: character maps to <undefined>,datasets,infamouscoder/mental-health-social-media,Depression: Twitter Dataset + Feature Extraction,1MB,2022-08-06 14:26:42,1686,46,1.0
