,topic,set,ref,title,size,lastUpdated,downloadCount,voteCount,usabilityRating
2,,datasets,fizzbuzz/cleaned-toxic-comments,Cleaned Toxic Comments,44MB,2018-03-12 05:12:31,3030,82,0.8235294
4,,datasets,nipunarora8/age-gender-and-ethnicity-face-data-csv,"""AGEGENDER AND ETHNICITY (FACE DATA) CSV""",63MB,2020-09-02 13:46:38,13478,260,1.0
6,,datasets,akshaysehgal/titanic-data-for-data-preprocessing,Titanic data for Data Preprocessing,7KB,2021-10-28 20:20:46,340,4,0.85294116
8,,datasets,deepankurk/up-crime-data-year-2019,U.P. Crime Data - Year 2019 ,260KB,2021-05-27 08:49:26,1370,55,1.0
10,,datasets,harrimansaragih/dummy-advertising-and-sales-data,Dummy Marketing and Sales Data,93KB,2021-03-12 00:09:03,5980,87,1.0
12,,datasets,muratkokludataset/raisin-dataset,Raisin Dataset,112KB,2022-04-03 00:23:16,1881,1457,0.9375
14,,datasets,camnugent/california-housing-prices,California Housing Prices,400KB,2017-11-24 03:14:59,83148,813,0.85294116
16,,datasets,ruchi798/source-based-news-classification,Source based Fake News Classification,3MB,2020-08-29 10:20:07,3969,145,1.0
18,,datasets,ratthachat/rna-data-preprocessing-toolkits,RNA data preprocessing toolkits,79MB,2022-01-18 04:06:58,30,9,0.5625
20,,datasets,ilhamfp31/indonesian-abusive-and-hate-speech-twitter-text,Indonesian Abusive and Hate Speech Twitter Text,814KB,2020-04-15 14:27:08,2772,54,0.9705882
22,,datasets,zarajamshaid/language-identification-datasst,Language Identification dataset,6MB,2018-12-19 18:12:23,2654,40,1.0
24,,datasets,xhlulu/cpc-codes,Cooperative Patent Classification Codes Meaning,5MB,2022-03-22 03:04:36,5062,220,1.0
26,,datasets,shivamb/fashion-clothing-products-catalog,Fashion Clothing Products Dataset,615KB,2021-12-03 18:18:54,2564,49,1.0
28,,datasets,rashikrahmanpritom/groceries-dataset-for-market-basket-analysismba,Groceries dataset for Market Basket Analysis(MBA),455KB,2021-04-03 04:01:37,3924,53,1.0
30,,datasets,aryashah2k/credit-card-customer-data,Credit Card Customer Data,6KB,2021-05-15 08:59:46,3394,38,1.0
32,,datasets,szymonjanowski/internet-articles-data-with-users-engagement,Internet news data with readers engagement,3MB,2020-11-21 17:09:57,5049,342,0.9411765
34,,datasets,dgluesen/sales-and-workload-data-from-retail-industry,Sales and workload in retail industry,444KB,2019-12-11 19:49:02,1833,16,0.88235295
36,,datasets,sunnykusawa/tshirts,T-Shirts Dataset,358MB,2022-07-15 06:33:36,597,33,0.875
38,,datasets,niangmohamed/ieeedatapreprocessing,ieee-data-preprocessing,102MB,2020-03-19 04:39:22,34,2,0.47058824
40,,datasets,jiashenliu/515k-hotel-reviews-data-in-europe,515K Hotel Reviews Data in Europe,45MB,2017-08-21 21:19:17,28060,523,0.8235294
