,topic,set,ref,title,author,lastRunTime,totalVotes
2,Bayesian-analysis,kernels,therealcyberlord/coronavirus-covid-19-visualization-prediction,Coronavirus (COVID-19) Visualization & Prediction,Xingyu Bian,2022-10-23 23:17:02,2079
4,Bayesian-analysis,kernels,prashant111/a-guide-on-xgboost-hyperparameters-tuning,A Guide on XGBoost hyperparameters tuning,Prashant Banerjee,2020-07-15 14:21:23,795
6,Bayesian-analysis,kernels,vbmokin/data-science-for-tabular-data-advanced-techniques,Data Science for tabular data: Advanced Techniques,Vitalii Mokin,2021-09-05 16:15:48,1160
8,Bayesian-analysis,kernels,pavansanagapati/automated-hyperparameter-tuning,Automated Hyperparameter Tuning,Pavan Sanagapati,2020-08-17 11:23:07,245
10,Bayesian-analysis,kernels,vivianbenben/multilevel-bayesian-analysis-on-house-price,Multilevel Bayesian Analysis on House Price,Vivian,2017-11-12 01:13:39,9
12,Bayesian-analysis,kernels,,[Private Notebook],,2010-04-01 00:00:00,0
14,Bayesian-analysis,kernels,avehtari/bayesian-logistic-regression-with-rstanarm,Bayesian Logistic Regression with rstanarm ,Aki Vehtari,2018-05-27 09:31:39,88
16,Bayesian-analysis,kernels,fabiendaniel/elo-world,Elo world,FabienDaniel,2018-12-13 17:08:06,574
18,Bayesian-analysis,kernels,gpayen/building-a-prediction-model,Building a prediction model,Guillaume Payen,2016-02-03 10:26:54,92
20,Bayesian-analysis,kernels,somang1418/tuning-hyperparameters-under-10-minutes-lgbm,Tuning Hyperparameters Under 10 Minutes (LGBM),Somang (So) Han,2019-03-02 05:54:36,142
22,Bayesian-analysis,kernels,aqsasadaf/colorful-analysis-with-bayesian-optimization,Colorful Analysis With Bayesian optimization,aqsa sadaf,2021-06-28 09:23:17,5
24,Bayesian-analysis,kernels,willkoehrsen/model-tuning-results-random-vs-bayesian-opt,Model Tuning Results: Random vs Bayesian Opt,Will Koehrsen,2018-07-21 02:09:55,120
26,Bayesian-analysis,kernels,itoeiji/strength-analysis-using-bayesian-models,Player's Strength Analysis using Bayesian,Gin04kg,2018-05-19 16:59:45,4
28,Bayesian-analysis,kernels,willkoehrsen/start-here-a-gentle-introduction,Start Here: A Gentle Introduction,Will Koehrsen,2018-08-25 02:00:07,3388
30,Bayesian-analysis,kernels,shtrausslearning/bayesian-regression-house-price-prediction,Bayesian Regression | House Price Prediction,Andrey Shtrauss,2022-07-16 14:03:59,164
32,Bayesian-analysis,kernels,allunia/e-commerce-sales-forecast,E-Commerce Sales Forecast ,Laura Fink,2020-04-01 19:01:30,233
34,Bayesian-analysis,kernels,arindamgot/eda-prophet-mlp-neural-network-forecasting,EDA+Prophet+ MLP Neural Network Forecasting,Arindam,2018-09-22 09:32:35,396
36,Bayesian-analysis,kernels,yannisp/sf-crime-analysis-prediction,SF-Crime Analysis & Prediction,Yannis Pappas,2019-01-11 10:49:02,87
