,topic,set,ref,title,author,lastRunTime,totalVotes
2,,kernels,peterchang77/exploratory-data-analysis,Exploratory Data Analysis,Peter,2018-08-27 14:52:22,304
4,,kernels,kashnitsky/topic-1-exploratory-data-analysis-with-pandas,Topic 1. Exploratory Data Analysis with Pandas,Yury Kashnitsky,2021-05-07 08:35:46,873
6,,kernels,anokas/exploratory-data-analysis-4,Exploratory Data Analysis,anokas,2017-04-07 17:22:48,303
8,,kernels,ekami66/detailed-exploratory-data-analysis-with-python,Detailed exploratory data analysis with python,Tuatini GODARD,2017-01-20 02:06:37,646
10,,kernels,ihelon/hubmap-exploratory-data-analysis,HuBMAP - Exploratory Data Analysis,Yaroslav Isaienkov,2020-11-30 22:55:15,311
12,,kernels,notaapple/detailed-exploratory-data-analysis-using-r,Detailed Exploratory Data Analysis using R ,AiO,2017-01-07 22:25:15,330
14,,kernels,ihelon/cassava-leaf-disease-exploratory-data-analysis,Cassava Leaf Disease - Exploratory Data Analysis,Yaroslav Isaienkov,2020-11-28 21:48:41,391
16,,kernels,randylaosat/simple-exploratory-data-analysis-passnyc,Simple Exploratory Data Analysis - PASSNYC,randy lao,2018-07-14 13:50:08,231
18,,kernels,jbfarrar/exploratory-data-analysis-and-example-generation,Exploratory Data Analysis and Example Generation,Brian Farrar,2017-09-30 15:15:49,221
20,,kernels,lalitharajesh/iris-dataset-exploratory-data-analysis,Iris Dataset - Exploratory Data Analysis,Lalitha Rajesh,2018-01-26 11:39:38,89
22,,kernels,vamsikrishna/exploratory-data-analysis-of-ipl-data,Exploratory data analysis of IPL data,Vamsi Krishna,2020-12-23 13:07:50,130
24,,kernels,anokas/exploratory-data-analysis,Exploratory Data Analysis,anokas,2016-06-10 12:34:59,83
26,,kernels,ihelon/molecular-translation-exploratory-data-analysis,Molecular Translation - Exploratory Data Analysis,Yaroslav Isaienkov,2021-03-08 21:55:48,181
28,,kernels,ihelon/catheter-position-exploratory-data-analysis,Catheter Position - Exploratory Data Analysis,Yaroslav Isaienkov,2020-12-24 21:27:15,189
30,,kernels,gulsahdemiryurek/video-game-sales-exploratory-data-analysis,Video Game Sales Exploratory Data Analysis,Gulsah Demiryurek,2019-04-27 23:37:21,163
32,,kernels,gokulkarthik/haberman-s-survival-exploratory-data-analysis,Haberman's Survival: Exploratory Data Analysis ,Gokul,2018-03-09 02:31:33,138
34,,kernels,bhaveshthaker/data-preparation-exploratory-analysis-and-modeling,Data Preparation Exploratory Analysis and Modeling,Bhaveshkumar Thaker,2018-06-26 10:05:24,165
36,,kernels,ddigges/exploratory-data-analysis-india-s-story,Exploratory Data Analysis + India's story,Deborah Digges,2018-04-07 18:58:58,141
38,,kernels,ihelon/indoor-location-exploratory-data-analysis,Indoor Location - Exploratory Data Analysis,Yaroslav Isaienkov,2021-01-31 19:02:01,179
40,,kernels,zoupet/exploratory-data-analysis,Exploratory Data Analysis,Julien Heiduk,2018-05-11 12:34:03,62
