,topic,set,ref,title,author,lastRunTime,totalVotes
2,'charmap' codec can't encode character '\U0001fa7a' in position 107: character maps to <undefined>,kernels,dansbecker/your-first-machine-learning-model,Your First Machine Learning Model,DanB,2021-11-09 00:01:04,2915
4,'charmap' codec can't encode character '\U0001fa7a' in position 107: character maps to <undefined>,kernels,kanncaa1/machine-learning-tutorial-for-beginners,Machine Learning Tutorial for Beginners,DATAI,2018-07-24 14:43:45,2342
6,'charmap' codec can't encode character '\U0001fa7a' in position 107: character maps to <undefined>,kernels,dansbecker/exercise-build-your-first-machine-learning-model,Exercise: Build Your First Machine Learning Model,DanB,2018-09-27 21:55:58,361
8,'charmap' codec can't encode character '\U0001fa7a' in position 107: character maps to <undefined>,kernels,,[Private Notebook],,2010-04-01 00:00:00,0
10,'charmap' codec can't encode character '\U0001fa7a' in position 107: character maps to <undefined>,kernels,dansbecker/exercise-machine-learning-competitions,Exercise: Machine Learning Competitions,DanB,2021-11-09 00:00:21,70
12,'charmap' codec can't encode character '\U0001fa7a' in position 107: character maps to <undefined>,kernels,yogeshtak/exercise-your-first-machine-learning-model,Exercise: Your First Machine Learning Model,Yogesh Tak,2020-01-03 14:51:27,2841
14,'charmap' codec can't encode character '\U0001fa7a' in position 107: character maps to <undefined>,kernels,cdabakoglu/heart-disease-classifications-machine-learning,Heart Disease - Classifications (Machine Learning),Caner Dabakoglu,2019-08-07 06:20:35,806
16,'charmap' codec can't encode character '\U0001fa7a' in position 107: character maps to <undefined>,kernels,alexisbcook/machine-learning-competitions,Machine Learning Competitions,Alexis Cook,2021-11-09 00:02:46,240
18,'charmap' codec can't encode character '\U0001fa7a' in position 107: character maps to <undefined>,kernels,dansbecker/learn-machine-learning,Learn Machine Learning,DanB,2018-04-04 12:21:16,379
20,'charmap' codec can't encode character '\U0001fa7a' in position 107: character maps to <undefined>,kernels,jchen2186/machine-learning-with-iris-dataset,Machine Learning with Iris Dataset,Jane,2017-08-07 18:02:48,266
22,'charmap' codec can't encode character '\U0001fa7a' in position 107: character maps to <undefined>,kernels,gargmanish/basic-machine-learning-with-cancer,Basic Machine Learning with Cancer,Manish Kumar,2017-05-30 15:30:18,352
24,'charmap' codec can't encode character '\U0001fa7a' in position 107: character maps to <undefined>,kernels,kairosart/machine-learning-for-mental-health-1,Machine Learning for Mental Health,kairos,2018-06-26 12:58:37,156
26,'charmap' codec can't encode character '\U0001fa7a' in position 107: character maps to <undefined>,kernels,ranjeetjain3/visualization-machine-learning-deep-learning,Visualization -> Machine learning -> Deep learning,Ranjeet Jain,2019-11-29 15:40:08,148
28,'charmap' codec can't encode character '\U0001fa7a' in position 107: character maps to <undefined>,kernels,rtatman/bigquery-machine-learning-tutorial,BigQuery Machine Learning Tutorial,Rachael Tatman,2019-09-12 22:19:05,116
