,topic,set,ref,title,author,lastRunTime,totalVotes
2,'charmap' codec can't encode character '\u015f' in position 83: character maps to <undefined>,kernels,hely333/eda-regression,EDA + Regression,Dandelion,2018-10-10 21:09:10,524
4,'charmap' codec can't encode character '\u015f' in position 83: character maps to <undefined>,kernels,serigne/stacked-regressions-top-4-on-leaderboard,Stacked Regressions : Top 4% on LeaderBoard,Serigne ,2017-12-16 11:57:12,6776
6,'charmap' codec can't encode character '\u015f' in position 83: character maps to <undefined>,kernels,sudhirnl7/linear-regression-tutorial,Linear Regression Tutorial,Sudhir Kumar,2020-04-04 14:56:45,357
8,'charmap' codec can't encode character '\u015f' in position 83: character maps to <undefined>,kernels,artgor/quick-and-dirty-regression,Quick and dirty regression,Andrew Lukyanenko,2019-11-21 15:10:59,627
10,'charmap' codec can't encode character '\u015f' in position 83: character maps to <undefined>,kernels,braquino/convert-to-regression,Convert to Regression,Bruno Aquino,2019-12-15 23:39:16,326
12,'charmap' codec can't encode character '\u015f' in position 83: character maps to <undefined>,kernels,rtatman/datasets-for-regression-analysis,Datasets for regression analysis,Rachael Tatman,2017-12-01 21:54:36,511
14,'charmap' codec can't encode character '\u015f' in position 83: character maps to <undefined>,kernels,mnassrib/titanic-logistic-regression-with-python,Titanic: logistic regression with python,Baligh Mnassri,2020-01-07 13:15:37,539
16,'charmap' codec can't encode character '\u015f' in position 83: character maps to <undefined>,kernels,goyalshalini93/car-price-prediction-linear-regression-rfe,Car Price Prediction (Linear Regression - RFE),Shalini Goyal,2019-04-26 09:01:04,601
18,'charmap' codec can't encode character '\u015f' in position 83: character maps to <undefined>,kernels,rtatman/regression-challenge-day-1,Regression Challenge: Day 1,Rachael Tatman,2018-01-18 18:12:38,196
20,'charmap' codec can't encode character '\u015f' in position 83: character maps to <undefined>,kernels,faressayah/practical-introduction-to-10-regression-algorithm,Practical Introduction to 10 Regression Algorithm,Fares Sayah,2022-01-20 13:43:02,707
22,'charmap' codec can't encode character '\u015f' in position 83: character maps to <undefined>,kernels,divan0/multiple-linear-regression,Multiple Linear Regression,Diva Dugar,2018-08-01 14:19:36,145
