,topic,set,ref,title,author,lastRunTime,totalVotes
2,data-manipulation,kernels,purvanshsingh/pandas-basic-data-manipulation,Pandas Basic Data Manipulation,Purvansh Singh,2021-01-19 04:04:40,26
4,data-manipulation,kernels,emanueleimmesi/food-project-data-manipulation-and-visualization,Food Project - Data Manipulation and Visualization,Emanuele Immesi,2022-06-28 14:07:24,21
6,data-manipulation,kernels,aman2000jaiswal/data-manipulation-with-dask-dataframe,Data manipulation with Dask Dataframe,aman2000jaiswal,2020-12-11 15:50:09,11
8,data-manipulation,kernels,rohitamalnerkar/prediction-of-sepsis-using-data-manipulation,Prediction of Sepsis using Data Manipulation,Rohit Amalnerkar,2020-09-24 15:04:47,12
10,data-manipulation,kernels,daguangya/r-beginner-data-manipulation-dplyr-flightdelays,R Beginner: Data Manipulation: dplyr: FlightDelays,BlueTempo,2021-01-25 01:11:11,8
12,data-manipulation,kernels,tirendazacademy/data-manipulation-with-pyspark,Data Manipulation with PySpark ,Tirendaz Academy,2022-08-26 14:23:30,13
14,data-manipulation,kernels,colinmorris/strings-and-dictionaries,Strings and Dictionaries,ColinMorris,2021-11-11 14:28:03,1347
16,data-manipulation,kernels,bbatista/bike-sharing-at-seattle-data-manipulation,Bike Sharing at Seattle ! Data Manipulation,Bruno Batista,2018-09-24 21:37:01,5
18,data-manipulation,kernels,himsim2726/data-manipulation,Data Manipulation,Simran_k,2021-04-18 14:02:56,2
20,data-manipulation,kernels,jessemostipak/dive-into-dplyr-tutorial-1,Dive into dplyr (tutorial #1),Jesse Mostipak,2020-10-14 15:40:50,1912
22,data-manipulation,kernels,ahmettkara/assignment-data-manipulation-with-pandas,Assignment - Data Manipulation with Pandas,ahmettkara,2020-04-25 08:05:48,4
24,data-manipulation,kernels,laowingkin/netflix-movie-recommendation,Netflix - Movie recommendation,DLao,2020-09-03 14:22:01,523
26,data-manipulation,kernels,grkemdoan/data-manipulation,Data Manipulation,Görkem Dogan,2021-06-13 10:43:57,10
28,data-manipulation,kernels,dansbecker/exercise-machine-learning-competitions,Exercise: Machine Learning Competitions,DanB,2021-11-09 00:00:21,70
30,data-manipulation,kernels,mrisdal/exploring-survival-on-the-titanic,Exploring Survival on the Titanic,Meg Risdal,2017-12-26 19:42:24,3742
32,data-manipulation,kernels,residentmario/welcome-to-data-visualization,Welcome to data visualization,Aleksey Bilogur,2018-01-23 20:24:14,450
34,data-manipulation,kernels,ekrembayar/holidays-events-data-manipulation-time-features,Holidays-Events  Data Manipulation & Time Features,Ekrem Bayar,2021-10-25 13:01:56,20
36,data-manipulation,kernels,dimarudov/data-analysis-using-sql,Data Analysis using SQL,Dima Rudov,2022-03-21 19:40:13,582
38,data-manipulation,kernels,opoliakova/data-analysis-and-manipulation-sklearn-modeling,"""Data analysis and manipulation"," sklearn modeling""",Olena Radchykova,2019-02-08 18:03:18
40,data-manipulation,kernels,rajmehra03/flower-recognition-cnn-keras,Flower Recognition CNN Keras,Raj Mehrotra,2018-11-01 08:11:14,449
