,topic,set,ref,title,author,lastRunTime,totalVotes
2,data-science,kernels,startupsci/titanic-data-science-solutions,Titanic Data Science Solutions,Manav Sehgal,2019-02-11 01:21:23,9263
4,data-science,kernels,ldfreeman3/a-data-science-framework-to-achieve-99-accuracy,A Data Science Framework: To Achieve 99% Accuracy,LD Freeman,2017-12-31 18:27:17,5221
6,data-science,kernels,helgejo/an-interactive-data-science-tutorial,An Interactive Data Science Tutorial,Helge Bjorland,2017-01-28 19:54:58,846
8,data-science,kernels,kanncaa1/data-sciencetutorial-for-beginners,Data ScienceTutorial for Beginners,DATAI,2020-05-19 00:29:44,6161
10,data-science,kernels,shivamb/data-science-glossary-on-kaggle,Data Science Glossary on Kaggle,Shivam Bansal,2018-12-10 09:47:14,2097
12,data-science,kernels,vbmokin/data-science-for-tabular-data-advanced-techniques,Data Science for tabular data: Advanced Techniques,Vitalii Mokin,2021-09-05 16:15:48,1119
14,data-science,kernels,rtatman/welcome-to-data-science-in-r,Welcome to Data Science in R,Rachael Tatman,2018-04-11 21:56:06,402
16,data-science,kernels,rtatman/welcome-to-data-science-in-r-workbook,Welcome to Data Science in R: Workbook,Rachael Tatman,2018-04-30 19:07:24,154
18,data-science,kernels,rounakbanik/data-science-faq,Data Science FAQ,Rounak Banik,2017-11-08 06:27:49,161
20,data-science,kernels,gzuidhof/full-preprocessing-tutorial,Full Preprocessing Tutorial,Guido Zuidhof,2017-02-24 06:16:38,2362
22,data-science,kernels,gpreda/2019-data-science-bowl-eda,2019 Data Science Bowl EDA,Gabriel Preda,2019-12-20 07:44:46,345
24,data-science,kernels,erikbruin/data-science-bowl-2019-eda-and-baseline,Data Science Bowl 2019 EDA and Baseline,Erik Bruin,2019-12-15 09:49:54,438
26,data-science,kernels,parulpandey/useful-python-libraries-for-data-science,Useful Python libraries for Data Science,Parul Pandey,2020-04-25 06:22:19,506
