,topic,set,ref,title,author,lastRunTime,totalVotes
2,predictive-analytics,kernels,benroshan/bank-marketing-campaign-predictive-analytics,Bank marketing campaign | Predictive analytics,Ben Roshan ,2020-07-21 06:20:58,34
4,predictive-analytics,kernels,evangeloskalampokis/predictive-business-analytics-with-instacart,Predictive Business Analytics with Instacart,Evangelos Kalampokis,2018-07-11 08:26:46,10
6,predictive-analytics,kernels,shtrausslearning/customer-transaction-predictive-analytics,Customer Transaction Predictive Analytics,Andrey Shtrauss,2022-12-18 18:01:24,42
8,predictive-analytics,kernels,ruthwikjavvadi/lung-cancer-eda-and-predictive-analytics,Lung Cancer EDA and Predictive Analytics,Ruthwik333,2022-08-12 03:15:50,35
10,predictive-analytics,kernels,minhtc4/airbnb-descriptive-and-predictive-analytics,Airbnb : Descriptive and Predictive Analytics,Ahihi,2019-03-29 10:04:46,7
12,predictive-analytics,kernels,buddhiniw/breast-cancer-prediction,Breast cancer prediction,Buddhini W,2016-12-05 07:11:54,323
14,predictive-analytics,kernels,giobbu/simple-predictive-analytics-intro,Simple Predictive Analytics - Intro,Nanni,2021-08-22 13:53:40,6
16,predictive-analytics,kernels,ash316/novice-to-grandmaster,Novice to Grandmaster,Ashwini Swain,2018-03-07 17:18:09,788
18,predictive-analytics,kernels,janiobachmann/credit-fraud-dealing-with-imbalanced-datasets,Credit Fraud  || Dealing with Imbalanced Datasets,Janio Martinez Bachmann,2019-07-03 23:04:48,4308
20,predictive-analytics,kernels,aremoto/retail-sales-forecast,Retail sales forecast,Alberto Remoto,2018-03-06 09:17:08,188
22,predictive-analytics,kernels,randylaosat/predicting-employee-kernelover,Predicting Employee Kernelover,randy lao,2018-01-05 03:42:27,510
24,predictive-analytics,kernels,pmarcelino/comprehensive-data-exploration-with-python,Comprehensive data exploration with Python,"""Pedro Marcelino"," PhD""",2022-04-30 19:20:37
26,predictive-analytics,kernels,dgomonov/data-exploration-on-nyc-airbnb,Data Exploration on NYC Airbnb,Dgomonov,2020-08-03 05:53:23,418
