,topic,set,ref,title,author,lastRunTime,totalVotes
2,statistical-mode,kernels,pmarcelino/comprehensive-data-exploration-with-python,Comprehensive data exploration with Python,"""Pedro Marcelino"," PhD""",2022-04-30 19:20:37
4,statistical-mode,kernels,masumrumi/a-statistical-analysis-ml-workflow-of-titanic,A Statistical Analysis & ML workflow of Titanic,Masum Rumi,2022-04-21 19:25:23,1416
6,statistical-mode,kernels,masumrumi/a-detailed-regression-guide-with-house-pricing,A Detailed Regression Guide with House-pricing,Masum Rumi,2021-11-15 21:46:57,781
8,statistical-mode,kernels,,[Private Notebook],,2010-04-01 00:00:00,0
10,statistical-mode,kernels,ihelon/rock-paper-scissors-agents-comparison,Rock Paper Scissors - Agents Comparison ,Yaroslav Isaienkov,2021-01-20 16:09:17,257
12,statistical-mode,kernels,kanncaa1/time-series-prediction-tutorial-with-eda,Time Series Prediction Tutorial with EDA,DATAI,2019-12-07 21:16:00,777
14,statistical-mode,kernels,ian650/youcubed-box-plots,YouCubed Box Plots,Ian C,2021-09-30 00:14:13,28
16,statistical-mode,kernels,ryanholbrook/feature-engineering-for-house-prices,Feature Engineering for House Prices,Ryan Holbrook,2022-05-05 12:49:09,319
18,statistical-mode,kernels,arthurtok/interactive-porto-insights-a-plot-ly-tutorial,Interactive Porto Insights - A Plot.ly Tutorial,Anisotropic,2017-12-13 17:01:57,518
20,statistical-mode,kernels,poonaml/titanic-survival-prediction-end-to-end-ml-pipeline,Titanic Survival Prediction End to End ML Pipeline,Poonam Ligade,2017-05-02 17:16:38,410
22,statistical-mode,kernels,prashant111/random-forest-classifier-feature-importance,Random Forest Classifier + Feature Importance,Prashant Banerjee,2019-12-23 07:48:48,222
24,statistical-mode,kernels,prashant111/extensive-analysis-eda-fe-modelling,Extensive Analysis - EDA + FE + Modelling,Prashant Banerjee,2020-04-18 15:31:29,338
26,statistical-mode,kernels,pavansanagapati/knowledge-graph-nlp-tutorial-bert-spacy-nltk,"""Knowledge Graph & NLP Tutorial-(BERT",spaCy,"NLTK)""",Pavan Sanagapati
