,topic,set,ref,title,author,lastRunTime,totalVotes
2,,kernels,anokas/data-analysis-xgboost-starter-0-35460-lb,Data Analysis & XGBoost Starter (0.35460 LB),anokas,2017-04-12 14:22:20,1414
4,,kernels,dimarudov/data-analysis-using-sql,Data Analysis using SQL,Dima Rudov,2022-03-21 19:40:13,582
6,,kernels,peterchang77/exploratory-data-analysis,Exploratory Data Analysis,Peter,2018-08-27 14:52:22,304
8,,kernels,kashnitsky/topic-1-exploratory-data-analysis-with-pandas,Topic 1. Exploratory Data Analysis with Pandas,Yury Kashnitsky,2021-05-07 08:35:46,873
10,,kernels,anokas/data-exploration-analysis,Data Exploration & Analysis,anokas,2017-04-21 18:30:17,405
12,,kernels,anokas/exploratory-data-analysis-4,Exploratory Data Analysis,anokas,2017-04-07 17:22:48,303
14,,kernels,rounakbanik/ted-data-analysis,TED Data Analysis,Rounak Banik,2017-10-19 13:46:29,212
16,,kernels,ekami66/detailed-exploratory-data-analysis-with-python,Detailed exploratory data analysis with python,Tuatini GODARD,2017-01-20 02:06:37,646
18,,kernels,ruslankl/eeg-data-analysis,EEG Data Analysis ,def me(x),2019-01-08 18:10:20,163
20,,kernels,ihelon/hubmap-exploratory-data-analysis,HuBMAP - Exploratory Data Analysis,Yaroslav Isaienkov,2020-11-30 22:55:15,311
22,,kernels,mmetter/pokemon-data-analysis-tutorial,Pokemon Data Analysis Tutorial,Michael Metter,2018-07-18 16:05:11,139
24,,kernels,jonathanbouchet/f1-data-analysis,F1 Data analysis,Jonathan Bouchet,2017-12-09 03:36:26,188
26,,kernels,pmarcelino/data-analysis-and-feature-extraction-with-python,Data analysis and feature extraction with Python,"""Pedro Marcelino PhD""",2022-04-30 19:20:15,619
28,,kernels,loaiabdalslam/sales-data-analysis-report,Sales Data Analysis Report !,Loai abdalslam,2019-02-09 12:47:15,176
30,,kernels,notaapple/detailed-exploratory-data-analysis-using-r,Detailed Exploratory Data Analysis using R ,AiO,2017-01-07 22:25:15,330
32,,kernels,chirag9073/netflix-data-analysis,Netflix Data Analysis,Chirag Samal,2020-06-03 05:54:25,86
34,,kernels,tannercarbonati/detailed-data-analysis-ensemble-modeling,Detailed Data Analysis & Ensemble Modeling,a ghost,2017-07-15 19:36:06,365
36,,kernels,amirrezaeian/time-series-data-analysis-using-lstm-tutorial,Time-series data analysis using LSTM (Tutorial),Amir Rezaeian,2018-02-06 17:08:41,279
38,,kernels,ihelon/cassava-leaf-disease-exploratory-data-analysis,Cassava Leaf Disease - Exploratory Data Analysis,Yaroslav Isaienkov,2020-11-28 21:48:41,391
40,,kernels,randylaosat/simple-exploratory-data-analysis-passnyc,Simple Exploratory Data Analysis - PASSNYC,randy lao,2018-07-14 13:50:08,231
2,'charmap' codec can't encode characters in position 56-57: character maps to <undefined>,kernels,carolzhangdc/predict-imdb-score-with-data-mining-algorithms,Predict IMDB score with data mining algorithms,Yueming,2018-01-12 05:28:17,84
4,'charmap' codec can't encode characters in position 56-57: character maps to <undefined>,kernels,ekrembayar/f-r-i-e-n-d-s-text-mining-data-visualization,F.R.I.E.N.D.S Text Mining & Data Visualization,Ekrem Bayar,2021-12-06 10:21:40,110
6,'charmap' codec can't encode characters in position 56-57: character maps to <undefined>,kernels,josipdomazet/mining-nyc-airbnb-data-using-r,Mining NYC Airbnb data using R,Josip Domazet,2019-09-03 10:33:49,46
8,'charmap' codec can't encode characters in position 56-57: character maps to <undefined>,kernels,diegocalvo/data-mining-of-mental-health,Data mining of mental health,Diego Calvo,2017-02-11 21:54:46,32
10,'charmap' codec can't encode characters in position 56-57: character maps to <undefined>,kernels,emmaren/cold-calls-data-mining-and-model-selection,Cold Calls: Data Mining and Model Selection,Emma Ren,2017-07-20 06:49:41,40
2,'charmap' codec can't encode character '\U0001fa7a' in position 107: character maps to <undefined>,kernels,dansbecker/your-first-machine-learning-model,Your First Machine Learning Model,DanB,2021-11-09 00:01:04,2915
