,topic,set,ref,title,size,lastUpdated,downloadCount,voteCount,usabilityRating
2,Bokeh,datasets,kingabzpro/cosmetics-datasets,Cosmetics datasets,263KB,2020-12-16 10:47:37,3586,58,1.0
4,Bokeh,datasets,ritesh2000/fifa20-players-dataset-with-stats-and-images,FIFA20 Players Dataset with Stats | Images,2MB,2020-07-01 08:45:10,159,19,0.7941176
6,Bokeh,datasets,nagarajbhat/australian-bush-fire-satellite-data-nasa,Australian Bush fire satellite data (NASA),19MB,2020-01-31 11:17:30,1610,56,1.0
8,Bokeh,datasets,ritesh2000/pokemon-dataset-with-stats,Pokemon Dataset with Stats,2KB,2020-06-30 15:43:21,179,21,0.85294116
10,Bokeh,datasets,smart1004/pandas-bokeh,pandas_bokeh,123KB,2020-06-29 09:19:17,13,2,0.1764706
12,Bokeh,datasets,shivasai7898/basic-bokeh,basic_bokeh,991B,2019-07-13 04:12:23,3,2,0.0625
14,Bokeh,datasets,succinctlyai/midjourney-texttoimage,Midjourney User Prompts & Generated Images (250k),52MB,2022-07-21 00:21:01,1580,45,0.9375
16,Bokeh,datasets,zlatanbres/plotutilities,plotutilities,12KB,2022-05-06 20:35:18,4,0,0.0625
18,Bokeh,datasets,deceive/txtimg,txtimg,744KB,2022-08-26 18:17:15,0,0,0.125
20,Bokeh,datasets,isaacflath/library-datashader,library-datashader,155MB,2022-08-10 17:22:46,82,0,0.25
22,Bokeh,datasets,isaacflath/library-holoviews,library-holoviews,72MB,2022-10-05 00:14:11,76,0,0.25
24,Bokeh,datasets,kaerunantoka/pytorch-tpu-happyset,pytorch_tpu_happyset,125MB,2021-05-28 17:05:50,0,0,0.4375
