,topic,set,ref,title,size,lastUpdated,downloadCount,voteCount,usabilityRating
2,Categorical-variables,datasets,nicapotato/womens-ecommerce-clothing-reviews,Women's E-Commerce Clothing Reviews,3MB,2018-02-03 19:59:19,53705,959,0.88235295
4,Categorical-variables,datasets,iamhungundji/covid19-symptoms-checker,COVID-19 Symptoms Checker ,912KB,2020-03-21 06:05:59,17408,220,1.0
6,Categorical-variables,datasets,volodymyrgavrysh/bank-marketing-campaigns-dataset,Bank marketing campaigns dataset | Opening Deposit,391KB,2020-01-12 10:35:36,9693,154,1.0
8,Categorical-variables,datasets,sajidsaifi/prostate-cancer,Prostate Cancer,2KB,2018-10-19 15:47:48,5422,64,0.7647059
10,Categorical-variables,datasets,harrywang/housing,California Housing Data (1990),400KB,2018-05-10 15:56:31,11768,138,1.0
12,Categorical-variables,datasets,blacktile/starbucks-app-customer-reward-program-data,Starbucks app customer rewards program data,7MB,2020-06-03 09:12:13,1616,36,1.0
14,Categorical-variables,datasets,teertha/personal-loan-modeling,Personal Loan Modeling ,61KB,2020-03-10 13:20:35,4350,41,0.9411765
16,Categorical-variables,datasets,ruthgn/bank-marketing-data-set,Bank Marketing Data Set,282KB,2021-10-20 00:33:20,2777,55,1.0
18,Categorical-variables,datasets,miroslavsabo/young-people-survey,Young People Survey,84KB,2016-12-06 03:10:30,39188,702,0.85294116
20,Categorical-variables,datasets,pranavuikey/black-friday-sales-eda,Black Friday Sales EDA,5MB,2022-09-05 10:22:37,1835,39,1.0
22,Categorical-variables,datasets,arjunbhasin2013/ccdata,Credit Card Dataset for Clustering,340KB,2018-03-02 08:35:03,39504,419,0.5882353
24,Categorical-variables,datasets,alexkataev/bank-marketing-data-set,Bank Marketing Data Set,393KB,2021-12-16 09:57:16,1503,27,1.0
26,Categorical-variables,datasets,chancev/carsforsale,CarsForSale,791KB,2022-07-21 03:08:41,1368,36,0.9411765
28,Categorical-variables,datasets,rsizem2/house-prices-ames-cleaned-dataset,House Prices - Processed Data,377KB,2022-09-25 00:48:08,886,29,0.8235294
30,Categorical-variables,datasets,kaggle/college-scorecard,US Dept of Education: College Scorecard,562MB,2017-11-09 18:03:11,14947,219,0.7647059
32,Categorical-variables,datasets,dev523/ml-marathon-dataset-by-azure-developer-community,ML Marathon Dataset by Azure Developer Community,153KB,2022-10-13 07:22:09,371,31,0.8235294
34,Categorical-variables,datasets,podsyp/regression-with-categorical-data,Regression with categorical data,15MB,2020-04-05 19:44:32,542,10,0.9411765
36,Categorical-variables,datasets,atillacolak/top-50-spotify-tracks-2020,Top 50 Spotify Tracks- 2020,4KB,2021-01-31 07:15:21,1724,28,0.9411765
38,Categorical-variables,datasets,aakashverma8900/portuguese-bank-marketing,Portuguese Bank Marketing,480KB,2021-05-27 05:31:09,819,23,1.0
40,Categorical-variables,datasets,ranja7/vehicle-insurance-customer-data,Insurance,346KB,2019-05-31 09:31:07,2003,34,0.64705884
