,topic,set,ref,title,size,lastUpdated,downloadCount,voteCount,usabilityRating
2,Data-management,datasets,xiaowenlimarketing/international-student-time-management,Student Time Management Performance Dataset,3KB,2019-03-05 11:37:41,3517,67,0.8235294
4,Data-management,datasets,headsortails/us-natural-disaster-declarations,US Natural Disaster Declarations,4MB,2022-12-16 17:33:23,2546,101,1.0
6,Data-management,datasets,techsash/waste-classification-data,Waste Classification data,427MB,2019-06-16 03:24:52,15630,320,0.875
8,Data-management,datasets,anikannal/solar-power-generation-data,Solar Power Generation Data,2MB,2020-08-18 15:52:03,28598,806,1.0
10,Data-management,datasets,surajjha101/bigbasket-entire-product-list-28k-datapoints,BigBasket Entire Product List (~28K datapoints) ,6MB,2022-06-22 12:51:18,5340,184,1.0
12,Data-management,datasets,nehaprabhavalkar/av-healthcare-analytics-ii,AV : Healthcare Analytics II,7MB,2020-08-29 03:40:10,9580,249,1.0
14,Data-management,datasets,nitishaadhikari/hrdata,Data Management Dataset,111KB,2016-12-01 06:29:33,337,6,0.47058824
16,Data-management,datasets,vishnusraghavan/the-interview-attendance-problem,The Interview Attendance Problem,124KB,2017-12-14 10:35:07,5107,117,0.7941176
18,Data-management,datasets,hellbuoy/car-price-prediction,Car Price Prediction Multiple Linear Regression,18KB,2019-10-15 16:45:27,38939,420,0.7058824
20,Data-management,datasets,mohamedharris/ticket-management-dataset-cybersecurity,Ticket Management Dataset - Cybersecurity,63KB,2022-05-19 05:57:06,230,5,0.85294116
22,Data-management,datasets,parisrohan/credit-score-classification,Credit score classification,10MB,2022-06-22 14:30:55,6897,106,0.9411765
24,Data-management,datasets,fedesoriano/the-boston-houseprice-data,Boston House Prices-Advanced Regression Techniques,12KB,2021-06-01 10:39:10,6845,116,1.0
26,Data-management,datasets,gti-upm/leaphandgestuav,LeapMotion Hand Gesture Dataset for UAV Management,26GB,2018-07-30 09:29:20,490,25,0.6875
28,Data-management,datasets,lucabasa/dutch-energy,Energy consumption of the Netherlands,139MB,2020-06-21 18:51:28,108318,324,0.9411765
30,Data-management,datasets,ananta/credit-card-data,Credit Card Data,1MB,2018-08-24 02:22:36,3564,31,0.64705884
32,Data-management,datasets,iamsouravbanerjee/analytics-industry-salaries-2022-india,Data Professionals Salary - 2022,119KB,2022-07-17 11:28:56,9169,216,1.0
34,Data-management,datasets,rtatman/188-million-us-wildfires,1.88 Million US Wildfires,168MB,2020-05-12 21:03:49,23351,1089,0.8235294
36,Data-management,datasets,andrewmvd/ocular-disease-recognition-odir5k,Ocular Disease Recognition,2GB,2020-09-24 16:26:29,14719,265,0.8235294
38,Data-management,datasets,mirbektoktogaraev/should-this-loan-be-approved-or-denied,Should This Loan be Approved or Denied?,46MB,2020-03-17 23:36:35,6397,128,1.0
40,Data-management,datasets,sohier/calcofi,CalCOFI,50MB,2017-08-23 19:24:53,22425,281,0.85294116
