,topic,set,ref,title,size,lastUpdated,downloadCount,voteCount,usabilityRating
2,Data-scientist,datasets,nikhilbhathi/data-scientist-salary-us-glassdoor,Data scientist salary,1023KB,2021-12-29 15:28:13,10598,174,1.0
4,Data-scientist,datasets,andrewmvd/data-scientist-jobs,Data Scientist Jobs,4MB,2020-07-16 04:04:58,3220,92,1.0
6,Data-scientist,datasets,arashnic/hr-analytics-job-change-of-data-scientists,HR Analytics: Job Change of Data Scientists,295KB,2020-12-07 00:25:10,43039,1220,1.0
8,Data-scientist,datasets,sl6149/data-scientist-job-market-in-the-us,Data Scientist Job Market in the U.S.,16MB,2018-08-31 17:34:49,12298,326,0.7941176
10,Data-scientist,datasets,omkargowda/data-scientist-salary,Data Scientist Salary,88KB,2022-07-09 11:25:59,1221,47,1.0
12,Data-scientist,datasets,jaiganeshnagidi/data-scientist-salary,Data Scientist salary,2MB,2020-07-22 11:29:29,1207,28,0.7647059
14,Data-scientist,datasets,ankitkalauni/predict-the-data-scientists-salary-in-india,Predict The Data Scientists Salary In India,2MB,2021-10-06 07:45:52,900,35,1.0
16,Data-scientist,datasets,refaee/data-scientist-employment,Data Scientist Employment ,963KB,2018-10-06 17:55:08,690,21,0.6875
18,Data-scientist,datasets,milan400/glassdoordata-scientist,GlassDoor(Data Scientist),1016KB,2020-08-01 06:17:16,184,10,0.9117647
20,Data-scientist,datasets,andrewmvd/data-analyst-jobs,Data Analyst Jobs,2MB,2020-07-14 08:37:57,15542,516,1.0
22,Data-scientist,datasets,onurserbetci/data-science-job-market-in-uk,Data Scientist Job Market in London(UK),13MB,2020-11-22 21:43:03,308,13,1.0
24,Data-scientist,datasets,jobspikr/data-scientist-job-postings-from-the-usa,10000 Data Scientist Job Postings from the USA,12MB,2019-12-13 07:06:32,653,25,0.7647059
26,Data-scientist,datasets,folaraz/world-countries-and-continents-details,World Countries and Continents Details,24KB,2017-10-05 08:32:23,1354,13,0.8235294
28,Data-scientist,datasets,madhurpant/data-science-jobs-in-india,Data Science Jobs in India,25KB,2022-06-24 02:28:42,945,46,1.0
30,Data-scientist,datasets,uniabhi/hr-analytics-job-change-of-data-scientists,HR Analytics: Job Change of Data Scientists,295KB,2021-09-11 15:16:56,762,23,0.7647059
32,Data-scientist,datasets,nomilk/data-science-job-listings-australia-20192020,Data Science Job Listings - Australia - 2019-2021,10MB,2022-01-27 16:38:44,756,22,0.9117647
34,Data-scientist,datasets,phuchuynguyen/datarelated-developers-survey-by-stack-overflow,How much does data scientists earn in 2017-2020,10MB,2021-03-25 21:12:11,930,25,0.9117647
36,Data-scientist,datasets,podsyp/time-series-starter-dataset,Time Series starter dataset,2KB,2020-05-02 01:07:25,4297,42,1.0
38,Data-scientist,datasets,vikasbhadoria/data-scientist-role-in2020,Data Scientist Role in-2020,44KB,2020-07-29 17:51:42,170,5,0.7352941
40,Data-scientist,datasets,parisrohan/credit-score-classification,Credit score classification,10MB,2022-06-22 14:30:55,6897,106,0.9411765
