,topic,set,ref,title,size,lastUpdated,downloadCount,voteCount,usabilityRating
2,Decision-Trees-classification,datasets,kashnitsky/mlcourse,mlcourse.ai,51MB,2018-12-09 16:45:09,35690,1518,0.88235295
4,Decision-Trees-classification,datasets,moneystore/agencyperformance,Insurance Data,5MB,2016-12-02 12:13:42,8124,120,0.7058824
6,Decision-Trees-classification,datasets,ayanzadeh93/color-classification,color classification,161MB,2018-04-20 00:13:09,2376,56,0.875
8,Decision-Trees-classification,datasets,mariosfish/default-of-credit-card-clients,Default of credit card clients,1005KB,2019-09-19 11:04:27,2558,40,0.7941176
10,Decision-Trees-classification,datasets,aleespinosa/apple-watch-and-fitbit-data,Apple Watch and Fitbit data ,700KB,2022-03-02 18:40:39,1736,38,0.88235295
12,Decision-Trees-classification,datasets,krantiswalke/bankfullcsv,bank-full.csv (Ensemble Techniques),481KB,2020-04-23 08:21:57,3867,31,0.64705884
14,Decision-Trees-classification,datasets,akshayksingh/kidney-disease-dataset,Kidney Disease Dataset,10KB,2019-08-04 17:07:05,3301,31,0.5882353
16,Decision-Trees-classification,datasets,abhinand05/magic-gamma-telescope-dataset,MAGIC Gamma Telescope Dataset,706KB,2019-11-08 04:10:28,1236,38,1.0
18,Decision-Trees-classification,datasets,aslanahmedov/predict-term-deposit,Predict Term Deposit,575KB,2021-11-29 11:36:06,962,25,1.0
20,Decision-Trees-classification,datasets,prashant111/ionosphere,Ionosphere,34KB,2020-03-15 09:36:02,1240,45,0.5294118
22,Decision-Trees-classification,datasets,smartpunchteam/boxpunch-dataset,Boxpunch dataset,37MB,2019-05-27 13:54:12,173,7,0.8125
24,Decision-Trees-classification,datasets,echo9k/uci-credit-approval,UCI Credit Approval,9KB,2019-07-22 22:15:25,273,2,0.9411765
26,Decision-Trees-classification,datasets,impapan/forest-covertype-dataset,Forest CoverType dataset,11MB,2021-04-27 14:17:09,579,26,0.7941176
28,Decision-Trees-classification,datasets,prashant111/glass-identification-dataset,Glass Identification Dataset,9KB,2020-03-16 05:56:26,908,21,0.5294118
30,Decision-Trees-classification,datasets,aungpyaeap/tictactoe-endgame-dataset-uci,Tic-Tac-Toe End game Dataset UCI,3KB,2019-05-28 12:13:39,2083,22,0.88235295
32,Decision-Trees-classification,datasets,erikbiswas/higgs-uci-dataset,HIGGS UCI DATASET,3GB,2021-08-30 04:37:00,34,4,0.8235294
34,Decision-Trees-classification,datasets,cathetorres/geospatial-environmental-and-socioeconomic-data,Geospatial environmental and socioeconomic data,2GB,2020-11-04 12:12:28,1044,61,0.875
36,Decision-Trees-classification,datasets,kyanichester/color-balls-decision-trees,Color Balls Decision Tree,1KB,2022-07-16 07:59:11,90,6,0.5294118
38,Decision-Trees-classification,datasets,rashikrahmanpritom/177k-english-song-data-from-20082017,17.7K English song data from 2008-2017,599KB,2021-03-21 06:50:13,490,30,0.9705882
40,Decision-Trees-classification,datasets,tathagatbanerjee/obesity-dataset-uci-ml,Obesity DataSet UCI ML,115KB,2022-02-23 06:25:25,152,3,0.29411766
