,topic,set,ref,title,size,lastUpdated,downloadCount,voteCount,usabilityRating
2,,datasets,jackdaoud/marketing-data,Marketing Analytics,643KB,2022-03-06 23:34:23,24703,412,0.9411765
4,,datasets,vsridevi/cardio-good-fitness,Exploratory data analysis/Data visualization,2KB,2022-11-03 16:22:55,946,34,0.7058824
6,,datasets,sheenabatra/facebook-data,Facebook Data,2MB,2018-07-15 05:45:52,11696,119,0.7058824
8,,datasets,jackdaoud/animal-shelter-analytics,Animal Shelter Analytics,8MB,2021-03-04 04:18:26,1562,47,1.0
10,,datasets,darpan25bajaj/credit-card-exploratory-data-analysis,Credit Card Exploratory Data Analysis,36KB,2019-11-14 09:45:34,1236,11,0.5294118
12,,datasets,psycon/wind-turbine-energy-kw-generation-data,Wind Turbine Power (kW) Generation Data,50MB,2022-09-20 10:51:34,997,92,0.9705882
14,,datasets,anandhuh/latest-covid19-india-statewise-data,Latest Covid-19 India Statewise Data,1KB,2022-11-27 19:21:36,23106,733,1.0
16,,datasets,mlomuscio/pokemon,Pokemon,14KB,2019-09-03 01:14:49,1416,22,0.8235294
18,,datasets,shivamb/real-or-fake-fake-jobposting-prediction,Real / Fake Job Posting Prediction,16MB,2020-02-29 08:23:34,19627,570,1.0
20,,datasets,xvivancos/michael-jordan-kobe-bryant-and-lebron-james-stats,"""Michael JordanKobe Bryant and Lebron James stats""",187KB,2019-06-30 14:36:30,4192,108,1.0
22,,datasets,carlolepelaars/toy-dataset,Toy Dataset,1MB,2018-12-10 21:15:44,11470,158,1.0
24,,datasets,jessemostipak/hotel-booking-demand,Hotel booking demand,1MB,2020-02-13 01:27:20,91330,1995,1.0
26,,datasets,harrimansaragih/dummy-advertising-and-sales-data,Dummy Marketing and Sales Data,93KB,2021-03-12 00:09:03,5980,87,1.0
28,,datasets,kashnitsky/mlcourse,mlcourse.ai,51MB,2018-12-09 16:45:09,35654,1518,0.88235295
30,,datasets,amanarora/obesity-among-adults-by-country-19752016,"""Obesity among adults by country1975-2016""",362KB,2020-05-08 07:40:50,7505,121,0.85294116
32,,datasets,ankitkalauni/the-food-delivery-time-for-different-cuisines,Food Delivery Time Exploratory Data Analysis,448KB,2021-09-15 16:28:02,1147,36,0.5294118
34,,datasets,mohamedharris/supermart-grocery-sales-retail-analytics-dataset,Supermart Grocery Sales - Retail Analytics Dataset,191KB,2022-06-12 16:14:44,4260,91,0.88235295
36,,datasets,heeraldedhia/bike-buyers,Bike Buyers 1000,22KB,2020-09-22 06:06:25,5340,63,1.0
38,,datasets,sohommajumder21/fifa-2018-world-cup-players,FIFA 2018 World Cup Players ,29KB,2021-05-31 16:54:17,934,31,0.7352941
40,,datasets,rohitsahoo/bicycle-store-dataset,bicycle store dataset,667KB,2020-09-11 15:12:21,1436,32,0.9705882
