,topic,set,ref,title,size,lastUpdated,downloadCount,voteCount,usabilityRating
2,Factor-analysis,datasets,tunguz/big-five-personality-test,Big Five Personality Test,159MB,2020-02-17 15:59:37,19768,751,1.0
4,Factor-analysis,datasets,brsdincer/alzheimer-features,Alzheimer Features,4KB,2021-03-30 19:38:20,2137,40,1.0
6,Factor-analysis,datasets,nancyalaswad90/diamonds-prices,Diamonds Prices ,711KB,2022-07-09 14:59:21,5309,151,1.0
8,Factor-analysis,datasets,gyejr95/league-of-legends-challenger-ranked-games2020,League Of Legends High elo Ranked Games(2020),13MB,2020-04-20 14:49:35,2597,83,1.0
10,Factor-analysis,datasets,ipravin/hair-customer-survey-data-for-100-customers,Product customer survey data for 100 customers,2KB,2019-03-13 17:11:54,931,10,0.5294118
12,Factor-analysis,datasets,csafrit2/maternal-health-risk-data,Maternal Health Risk Data,4KB,2021-12-21 23:53:22,2772,51,1.0
14,Factor-analysis,datasets,kumarajarshi/life-expectancy-who,Life Expectancy (WHO),119KB,2018-02-10 16:55:10,80713,913,0.8235294
16,Factor-analysis,datasets,outofskills/driving-behavior,Driving Behavior,196KB,2022-06-05 09:40:48,2186,70,1.0
18,Factor-analysis,datasets,tunguz/cattells-16-personality-factors,Cattell's 16 Personality Factors,4MB,2020-02-03 16:13:02,805,26,0.9705882
20,Factor-analysis,datasets,spittman1248/cdc-data-nutrition-physical-activity-obesity,"""CDC Data: Nutrition Physical Activity & Obesity""",1MB,2018-03-23 18:45:37,19281,175,0.64705884
22,Factor-analysis,datasets,goldenoakresearch/us-acs-mortgage-equity-loans-rent-statistics,Insightful & Vast USA Statistics,10MB,2018-05-19 19:35:52,7716,299,0.85294116
24,Factor-analysis,datasets,ramamet4/nse-stocks-database,NSE India stocks (Indices),8MB,2017-05-11 18:21:22,4735,89,0.8235294
26,Factor-analysis,datasets,flyingwombat/us-news-and-world-reports-college-data,U.S. News and World Report’s College Data,32KB,2017-08-10 18:17:52,5569,32,0.8235294
28,Factor-analysis,datasets,mysarahmadbhat/nyc-traffic-accidents,NYC Traffic Accidents,3MB,2021-09-10 07:15:42,2138,35,1.0
30,Factor-analysis,datasets,dipayanbiswas/parkinsons-disease-speech-signal-features,Parkinson's Disease (PD) classification,2MB,2019-05-29 17:10:07,6279,74,0.7352941
32,Factor-analysis,datasets,arioboo/clumps-in-vela-galaxy-images,Clumps in VELA galaxy images,8MB,2020-11-23 13:42:09,452,59,0.7647059
34,Factor-analysis,datasets,shishir349/can-pizza-be-healthy,Can Pizza be healthy?,5KB,2020-05-26 07:33:11,917,24,1.0
36,Factor-analysis,datasets,aminizahra/tips-dataset,Waiter's Tips Dataset,8KB,2021-08-26 13:49:30,522,41,0.5882353
38,Factor-analysis,datasets,ravichaubey1506/healthcare-cost,Healthcare cost,3KB,2020-06-03 10:36:53,2903,65,0.8235294
40,Factor-analysis,datasets,abbas12/factor-analysis,Factor Analysis,1KB,2018-02-06 05:54:04,207,1,0.4375
