,topic,set,ref,title,size,lastUpdated,downloadCount,voteCount,usabilityRating
2,,datasets,rtatman/english-word-frequency,English Word Frequency,2MB,2017-09-06 18:21:27,13169,313,0.8235294
4,,datasets,rtatman/japanese-lemma-frequency,Japanese lemma frequency,130KB,2017-07-24 20:14:06,575,35,0.8235294
6,,datasets,tavoglc/vih-fragments-frequency,VIH Fragments Frequency,31MB,2022-06-21 02:15:23,26,7,0.9411765
8,,datasets,tavoglc/dengue-fragments-frequency,Dengue Fragments Frequency,11MB,2022-06-21 02:09:25,35,6,0.9411765
10,,datasets,tavoglc/rotavirus-fragments-frequency,Rotavirus Fragments Frequency,58MB,2022-06-21 02:15:17,7,6,0.9411765
12,,datasets,rtatman/stopword-lists-for-19-languages,Stopword Lists for 19 Languages,22KB,2017-07-27 22:08:45,3106,89,0.875
14,,datasets,wentinglu/highfrequency-futures-data-china,High-Frequency Futures Data (China),467MB,2022-05-15 22:46:54,78,17,1.0
16,,datasets,primaryobjects/voicegender,Gender Recognition by Voice,405KB,2016-08-26 14:29:23,33135,757,0.7058824
18,,datasets,muratkokludataset/acoustic-extinguisher-fire-dataset,Acoustic Extinguisher Fire Dataset,621KB,2022-04-02 22:59:36,2534,1646,0.9375
20,,datasets,averkij/lingtrain-hungarian-word-frequency,Lingtrain Hungarian Word Frequency,6MB,2020-01-23 11:35:39,60,4,1.0
22,,datasets,wheelercode/english-word-frequency-list,English Word Frequency List,52MB,2021-11-16 19:05:04,180,7,0.8235294
24,,datasets,rtatman/stopword-lists-for-african-languages,Stopword Lists for African Languages,82KB,2017-07-27 23:10:42,946,11,0.8235294
26,,datasets,wentinglu/chinese-yield-curves-3-different-kinds,Chinese Yield Curves (3 different kinds),244KB,2022-05-15 17:11:37,91,32,1.0
28,,datasets,martinsn/high-frequency-crypto-limit-order-book-data,High Frequency Crypto Limit Order Book Data,993MB,2021-09-02 15:56:55,309,11,0.9705882
30,,datasets,huseyinkilic/users-mobile-banking-transaction-frequency,Users mobile banking transaction frequency,28KB,2017-11-03 11:58:20,1877,30,0.5882353
32,,datasets,lukevanhaezebrouck/subtlex-word-frequency,English Subtitle Word Frequency,2MB,2020-08-13 22:21:54,77,4,0.9117647
34,,datasets,wheelercode/dictionary-word-frequency,Dictionary Word Frequency,2MB,2021-11-16 19:52:49,104,5,0.7647059
36,,datasets,tunguz/drug-use-by-age,Drug Use By Age,1KB,2021-04-23 19:39:54,3608,70,1.0
38,,datasets,tavoglc/sars-cov2-fragments-frequency-small,SARS Cov2 fragments frequency small ,538MB,2022-10-11 17:29:52,63,9,0.88235295
40,,datasets,tavoglc/influenza-fragments-frequency,Influenza Fragments Frequency,781MB,2022-06-21 02:00:37,5,2,0.9411765
