,topic,set,ref,title,size,lastUpdated,downloadCount,voteCount,usabilityRating
2,Neural-network-classification,datasets,muratkokludataset/rice-image-dataset,Rice Image Dataset,219MB,2022-04-03 02:12:00,6144,1642,0.875
4,Neural-network-classification,datasets,puneet6060/intel-image-classification,Intel Image Classification,346MB,2019-01-30 09:22:58,69495,1256,0.75
6,Neural-network-classification,datasets,muratkokludataset/date-fruit-datasets,Date Fruit Datasets,408KB,2022-04-03 09:25:39,15953,1941,0.9375
8,Neural-network-classification,datasets,weinoose/migraine-classification,Data for Migraine Classification,3KB,2022-05-26 17:31:33,1845,55,1.0
10,Neural-network-classification,datasets,muratkokludataset/pistachio-dataset,Pistachio Dataset,2MB,2022-04-03 08:38:21,1453,1470,0.9375
12,Neural-network-classification,datasets,shayanfazeli/heartbeat,ECG Heartbeat Categorization Dataset,99MB,2018-05-31 18:47:34,48548,670,0.5882353
14,Neural-network-classification,datasets,muratkokludataset/pistachio-image-dataset,Pistachio Image Dataset,27MB,2022-03-28 18:01:27,2059,1537,0.9375
16,Neural-network-classification,datasets,ayuraj/asl-dataset,American Sign Language Dataset ,57MB,2019-04-28 08:25:27,3665,72,0.75
18,Neural-network-classification,datasets,sartajbhuvaji/brain-tumor-classification-mri,Brain Tumor Classification (MRI),87MB,2020-05-24 16:24:55,20922,374,0.875
20,Neural-network-classification,datasets,arunrk7/surface-crack-detection,Surface Crack Detection,233MB,2019-11-13 17:18:47,9762,188,0.9375
22,Neural-network-classification,datasets,nicapotato/womens-ecommerce-clothing-reviews,Women's E-Commerce Clothing Reviews,3MB,2018-02-03 19:59:19,53705,959,0.88235295
24,Neural-network-classification,datasets,ahmedhamada0/brain-tumor-detection,Br35H :: Brain Tumor Detection 2020,84MB,2021-11-14 04:39:25,8110,178,0.875
26,Neural-network-classification,datasets,smaranjitghose/corn-or-maize-leaf-disease-dataset,Corn or Maize Leaf Disease Dataset,161MB,2020-11-11 13:39:07,4395,110,0.875
28,Neural-network-classification,datasets,alexattia/the-simpsons-characters-dataset,The Simpsons Characters Data,1GB,2018-04-13 22:55:01,18665,493,0.7941176
30,Neural-network-classification,datasets,vinesmsuic/star-categorization-giants-and-dwarfs,Star Dataset for Stellar Classification,2MB,2020-08-21 14:10:42,2614,56,1.0
32,Neural-network-classification,datasets,mloey1/ahcd1,Arabic Handwritten Characters Dataset,24MB,2019-07-26 19:21:51,9486,270,0.7647059
34,Neural-network-classification,datasets,ishadss/productivity-prediction-of-garment-employees,Productivity Prediction of Garment Employees ,16KB,2021-04-06 22:42:06,4053,68,0.9705882
36,Neural-network-classification,datasets,masoudnickparvar/brain-tumor-mri-dataset,Brain Tumor MRI Dataset,149MB,2021-09-24 12:43:45,6875,136,0.875
38,Neural-network-classification,datasets,mloey1/ahdd1,Arabic Handwritten Digits Dataset,51MB,2017-06-23 12:15:44,4228,126,0.7647059
40,Neural-network-classification,datasets,luisblanche/covidct,COVID-19 Lung CT Scans,86MB,2020-04-09 12:08:48,5279,91,0.88235295
