,topic,set,ref,title,size,lastUpdated,downloadCount,voteCount,usabilityRating
2,Neural-network-regression,datasets,muratkokludataset/date-fruit-datasets,Date Fruit Datasets,408KB,2022-04-03 09:25:39,15953,1941,0.9375
4,Neural-network-regression,datasets,ishadss/productivity-prediction-of-garment-employees,Productivity Prediction of Garment Employees ,16KB,2021-04-06 22:42:06,4053,68,0.9705882
6,Neural-network-regression,datasets,mariosfish/default-of-credit-card-clients,Default of credit card clients,1005KB,2019-09-19 11:04:27,2558,40,0.7941176
8,Neural-network-regression,datasets,yashpaloswal/ann-car-sales-price-prediction,ANN - Car Sales Price Prediction,29KB,2022-09-30 16:48:41,1654,29,0.88235295
10,Neural-network-regression,datasets,sandy1811/data-science-interview-questions,Data Science Interview Questions,1005KB,2022-12-22 05:31:46,806,45,0.88235295
12,Neural-network-regression,datasets,ayanzadeh93/color-classification,color classification,161MB,2018-04-20 00:13:09,2376,56,0.875
14,Neural-network-regression,datasets,whenamancodes/date-fruit-datasets,Date Fruit Datasets,223KB,2022-10-27 09:44:38,981,40,1.0
16,Neural-network-regression,datasets,shivamm0di/credit-card-clients,credit card clients,1MB,2021-09-03 07:05:18,273,15,0.7647059
18,Neural-network-regression,datasets,jainshukal/netflix-stock-price,Netflix Stock Price ,20KB,2020-01-10 07:20:26,1688,14,0.64705884
20,Neural-network-regression,datasets,srikaranelakurthy/online-news-popularity,Online News Popularity,7MB,2020-01-04 23:26:56,710,12,0.8235294
22,Neural-network-regression,datasets,prashdash112/neural-net-regression-data,neural net regression data,26KB,2020-07-05 18:58:16,201,3,0.7647059
24,Neural-network-regression,datasets,prashant111/ionosphere,Ionosphere,34KB,2020-03-15 09:36:02,1240,45,0.5294118
26,Neural-network-regression,datasets,tunguz/default-of-credit-card-clients-data-set,Default of Credit Card Clients Data Set ,1005KB,2021-04-14 23:29:48,264,11,1.0
28,Neural-network-regression,datasets,arindam235/credit-card-default,Credit Card Default,1MB,2020-02-17 17:00:45,451,5,0.7647059
30,Neural-network-regression,datasets,wrandrall/imdb-new-dataset,IMDB New Dataset,49MB,2021-01-05 16:45:25,364,8,0.88235295
32,Neural-network-regression,datasets,kowshirbitto/bangladesh-life-expectancy,Bangladesh Life Expectancy,9KB,2021-09-03 04:55:03,102,6,0.5294118
34,Neural-network-regression,datasets,shanecandoit/dataset-of-bmode-fatty-liver-ultrasound-images,Dataset of B-mode fatty liver ultrasound images,52MB,2020-01-16 03:37:50,878,17,0.375
36,Neural-network-regression,datasets,aslanahmedov/self-driving-carbehavioural-cloning,Self Driving Car,18MB,2022-12-22 03:31:41,531,27,1.0
38,Neural-network-regression,datasets,yoctoman/graffiti-st-sophia-cathedral-kyiv,Glyphs of Graffiti of St. Sophia Cathedral of Kyiv,562MB,2021-12-21 11:36:43,91,7,0.64705884
40,Neural-network-regression,datasets,inancigdem/carbon-nanotubes,Carbon Nanotubes,202KB,2018-04-10 09:48:25,533,10,0.7058824
