,topic,set,ref,title,size,lastUpdated,downloadCount,voteCount,usabilityRating
2,Null-values,datasets,matheusfreitag/gas-prices-in-brazil,Gas Prices in Brazil,3MB,2022-03-11 18:03:57,15139,374,1.0
4,Null-values,datasets,mayureshkoli/best-universities-in-the-united-kingdom,Best Universities in the United Kingdom,9KB,2022-08-05 05:32:37,1940,41,1.0
6,Null-values,datasets,ariyoomotade/netflix-data-cleaning-analysis-and-visualization,"""Netflix Data: Cleaning Analysis and Visualization""",270KB,2022-08-26 09:25:43,9896,191,1.0
8,Null-values,datasets,huntermcgushion/rrv-weather-data,Weather Data for Recruit Restaurant Competition,11MB,2018-01-04 23:09:56,4557,81,0.7058824
10,Null-values,datasets,devsubhash/flipkart-mobiles-dataset,Flipkart Mobiles Dataset,54KB,2022-03-20 10:46:28,2451,52,1.0
12,Null-values,datasets,sankha1998/tmdb-top-10000-popular-movies-dataset,Popular Movies of IMDb,1MB,2022-12-22 06:31:31,2969,106,1.0
14,Null-values,datasets,epa/epa-historical-air-quality,Historical Air Quality,0B,2019-02-12 00:35:35,0,283,0.7058824
16,Null-values,datasets,adnananam/spotify-artist-stats,Spotify Artist Stats,28KB,2022-09-22 03:22:44,2159,44,1.0
18,Null-values,datasets,arashnic/book-recommendation-dataset,Book Recommendation Dataset,24MB,2020-11-29 01:29:41,19740,139,1.0
20,Null-values,datasets,ashirwadsangwan/imdb-dataset,IMDb Dataset,1GB,2022-12-22 04:31:29,13626,231,0.8235294
22,Null-values,datasets,akashram/indian-summer-over-the-years,Indian Summer - Over the Years,794KB,2022-05-04 13:46:05,836,26,1.0
24,Null-values,datasets,hugomathien/soccer,European Soccer Database,33MB,2016-10-23 22:31:38,173170,4066,0.7058824
26,Null-values,datasets,paresh2047/uci-semcom,UCI SECOM Dataset,2MB,2018-05-28 15:04:08,5240,76,0.7058824
28,Null-values,datasets,snehaanbhawal/anime-list-for-recommendation-system-june-2021,Anime List for Recommendation System (June 2021),4MB,2021-06-11 22:23:16,344,15,1.0
30,Null-values,datasets,crailtap/taxi-trajectory,Taxi Trajectory Data,515MB,2018-04-12 11:41:23,5581,115,0.5882353
32,Null-values,datasets,aliibrahim10/anime-ratings,Anime Ratings ,489KB,2022-05-12 21:00:13,736,32,1.0
34,Null-values,datasets,axeltorbenson/top-4000-movies,Top 4000 Movies!,93KB,2021-12-09 02:15:36,1007,31,1.0
36,Null-values,datasets,samuelcortinhas/time-series-practice-dataset,Time Series Practice Dataset,910KB,2022-02-19 13:49:55,511,21,1.0
38,Null-values,datasets,dileep070/logisticregression-telecomcustomer-churmprediction,Logisticregression telecomCustomer churmprediction,263KB,2019-06-07 09:37:06,2021,20,0.5882353
40,Null-values,datasets,claytonmiller/ashrae-global-thermal-comfort-database-ii,ASHRAE Global Thermal Comfort Database II,3MB,2020-07-21 02:47:43,1113,43,1.0
