,topic,set,ref,title,size,lastUpdated,downloadCount,voteCount,usabilityRating
2,Python-data-visualization,datasets,kalilurrahman/python-data-visualization-essentials-guide,Python Data Visualization Essentials Guide,2MB,2022-12-17 12:21:32,364,41,1.0
4,Python-data-visualization,datasets,rhuebner/human-resources-data-set,Human Resources Data Set,17KB,2020-10-19 13:50:53,60160,832,0.8235294
6,Python-data-visualization,datasets,lakshyaag/india-trade-data,India - Trade Data,3MB,2022-11-02 07:31:00,22132,432,0.9705882
8,Python-data-visualization,datasets,kaushiksuresh147/data-visualization-cheat-cheats-and-resources,Data Visualization Cheat sheets and Resources,127MB,2022-05-31 11:31:11,2189,191,0.875
10,Python-data-visualization,datasets,piterfm/2022-ukraine-russian-war,2022 Russia Ukraine War,10KB,2022-12-20 13:39:28,19997,869,1.0
12,Python-data-visualization,datasets,gemartin/world-bank-data-1960-to-2016,World Bank Data (1960 to 2016),187KB,2018-07-12 06:11:24,5709,103,0.7058824
14,Python-data-visualization,datasets,kashnitsky/mlcourse,mlcourse.ai,51MB,2018-12-09 16:45:09,35690,1518,0.88235295
16,Python-data-visualization,datasets,chapagain/country-state-geo-location,Country State GeoJSON,433KB,2020-05-08 00:10:15,891,7,0.8125
18,Python-data-visualization,datasets,rgupta09/world-cup-2018-tweets,FIFA World Cup 2018 Tweets,44MB,2018-08-15 05:30:46,4620,97,0.64705884
20,Python-data-visualization,datasets,sagunsh/fifa-20-complete-player-dataset,FIFA 20 Complete Player Dataset,2MB,2019-10-05 16:33:26,1161,26,0.9117647
22,Python-data-visualization,datasets,subota/python-folio-country-boundaries,Python Folium Country Boundaries,100KB,2017-09-30 21:49:52,271,9,0.8125
24,Python-data-visualization,datasets,katerpillar/meteonet,MeteoNet North-West France,14GB,2021-04-06 13:56:40,1686,98,0.875
26,Python-data-visualization,datasets,ashishjangra27/ted-talks,TED Talks,298KB,2022-02-23 15:16:08,6511,251,1.0
28,Python-data-visualization,datasets,arianazmoudeh/airbnbopendata,Airbnb Open Data,10MB,2022-08-01 15:58:10,12953,172,1.0
30,Python-data-visualization,datasets,josephassaker/covid19-global-dataset,Covid-19 Global Dataset,2MB,2022-05-15 16:23:17,9020,109,1.0
32,Python-data-visualization,datasets,bikram1505/shopping-data,Shopping_Data,4KB,2019-03-15 14:47:48,2978,14,0.5882353
34,Python-data-visualization,datasets,nabanitaroy/earthday2022tweets,#EarthDay 2022 Tweets,9MB,2022-08-31 22:32:22,374,14,1.0
36,Python-data-visualization,datasets,die9origephit/fifa-world-cup-2022-complete-dataset,Fifa World Cup 2022: Complete Dataset,7KB,2022-12-18 22:51:11,1970,83,0.9411765
38,Python-data-visualization,datasets,google/google-landmarks-dataset,Google-Landmarks Dataset,1KB,2022-07-15 16:45:11,7971,620,0.7647059
40,Python-data-visualization,datasets,dheerajmukati/india-gdp-19602022,India GDP 1960-2022,1KB,2022-11-11 12:08:46,2196,60,1.0
