,topic,set,ref,title,size,lastUpdated,downloadCount,voteCount,usabilityRating
2,Seaborn,datasets,ranjeetjain3/seaborn-tips-dataset,seaborn_tips_dataset,2KB,2018-04-02 11:34:35,8225,37,0.3529412
4,Seaborn,datasets,mielek/python-seaborn-datas,Python Seaborn Datas,27KB,2020-02-13 15:35:58,169,24,0.47058824
6,Seaborn,datasets,gaganmaahi224/mathplotlib-tutorial,Seaborn Tutorial,7MB,2021-10-27 11:48:52,182,14,0.23529412
8,Seaborn,datasets,jsphyg/tipping,A Waiter's Tips,2KB,2019-03-12 09:31:16,10690,71,1.0
10,Seaborn,datasets,tklimonova/gapminder-datacamp-2007,Gapminder World,35KB,2019-10-23 14:36:21,3341,30,0.9411765
12,Seaborn,datasets,kandij/diabetes-dataset,Diabetics prediction using logistic regression,9KB,2019-05-07 05:18:45,14889,162,0.5294118
14,Seaborn,datasets,litsufu/seaborn-practice,seaborn practice,1MB,2020-11-28 14:40:40,124,2,0.1764706
16,Seaborn,datasets,ferhat00/uk-flight-stats-2018,UK_Flight_Data Statistics_2018,101KB,2019-01-29 12:55:26,1550,15,0.8235294
18,Seaborn,datasets,rajsengo/indian-premier-league-ipl-all-seasons,Indian Premier League (IPL) - All seasons,24MB,2022-06-02 18:46:01,2210,44,0.8235294
20,Seaborn,datasets,sootersaalu/nigerian-songs-spotify,Nigerian Songs Spotify,24KB,2020-10-25 19:10:23,633,33,1.0
22,Seaborn,datasets,emirhanai/human-action-detection-artificial-intelligence,Human Action Detection - Artificial Intelligence,147MB,2022-04-22 21:07:24,913,34,1.0
24,Seaborn,datasets,akshaysehgal/titanic-data-for-data-preprocessing,Titanic data for Data Preprocessing,7KB,2021-10-28 20:20:46,340,4,0.85294116
26,Seaborn,datasets,mmuhammetcavus/whatsapp-chat,Whatsapp Chat,133KB,2020-08-14 20:24:06,1442,16,0.7647059
28,Seaborn,datasets,shariful07/personality-classification-type-dataset,Personality classification Type Dataset,1KB,2022-11-23 15:54:12,763,39,0.8235294
30,Seaborn,datasets,subratac2020/cancer-data-set,Cancer Data Set,48KB,2020-02-25 09:59:05,247,5,0.3529412
32,Seaborn,datasets,nata009/pokemonstats,Pokemon Visual Stats using SEABORN!,3KB,2017-11-06 16:23:48,94,4,0.5882353
34,Seaborn,datasets,aryanmahabhoi/startup-india-eda,Startup_India_EDA,95KB,2022-04-30 07:36:48,124,22,0.7058824
36,Seaborn,datasets,xodeum/advance-store-sales-by-time-series,Advance Store Sales by Time Series,77KB,2022-07-07 14:22:51,172,22,0.9411765
38,Seaborn,datasets,aaronschlegel/austin-animal-center-shelter-outcomes-and,Austin Animal Center Shelter Outcomes,3MB,2018-02-16 17:39:55,6488,138,0.85294116
40,Seaborn,datasets,raxnamosa/defense-of-the-ancients,Defense of the Ancients,2KB,2018-12-18 22:04:37,312,9,0.8235294
