,topic,set,ref,title,size,lastUpdated,downloadCount,voteCount,usabilityRating
2,,datasets,karthickveerakumar/salary-data-simple-linear-regression,Salary data - Simple linear regression,378B,2018-01-22 17:09:38,39858,230,0.3529412
4,,datasets,mayurdalvi/simple-linear-regression-placement-data,Simple Linear Regression - Placement data,4KB,2021-11-15 15:02:18,1418,24,1.0
6,,datasets,tmcketterick/heights-and-weights,Heights and weights,262B,2018-01-06 21:42:20,6810,69,0.7058824
8,,datasets,andonians/random-linear-regression,Linear Regression,8KB,2017-05-11 20:15:52,44898,466,0.8235294
10,,datasets,arejet/simple-linear-regression,Simple Linear Regression,780KB,2018-01-17 19:38:13,1364,25,0.29411766
12,,datasets,himanshunakrani/student-study-hours,Student Study Hours,276B,2022-07-20 13:17:29,7039,151,1.0
14,,datasets,luddarell/101-simple-linear-regressioncsv,1.01. Simple linear regression.csv,529B,2019-03-17 07:04:14,7220,67,0.1764706
16,,datasets,kalcal/simple-linear-regression,simple linear regression,1MB,2018-07-02 15:13:50,884,14,0.1764706
18,,datasets,akhileshthite/indias-population-simple-linear-regression,India's Population: Simple Linear Regression ,1KB,2020-11-01 08:25:20,875,8,0.8235294
20,,datasets,bulentsiyah/linearregressiondataset3,linear-regression-dataset3(for simple exercises) ,279B,2018-08-05 20:14:09,647,40,0.29411766
22,,datasets,shrutipandit707/salesdata,SalesData,2KB,2022-09-03 08:41:40,963,62,0.88235295
24,,datasets,rsadiq/salary,Salary,392B,2018-11-20 14:45:44,13174,101,0.5882353
26,,datasets,harrimansaragih/dummy-advertising-and-sales-data,Dummy Marketing and Sales Data,93KB,2021-03-12 00:09:03,5980,87,1.0
28,,datasets,bulentsiyah/multiplelinearregressiondataset,multiple-linear-regression(for simple exercises),319B,2018-08-05 19:45:21,662,46,0.29411766
30,,datasets,shsrivas/salary-data,Salary Data (Simple Linear Regression),378B,2021-08-13 18:13:19,362,6,0.7058824
32,,datasets,uciml/red-wine-quality-cortez-et-al-2009,Red Wine Quality,26KB,2017-11-27 23:41:08,161744,2294,0.88235295
34,,datasets,teertha/ushealthinsurancedataset,US Health Insurance Dataset,16KB,2020-02-16 04:43:53,7614,79,0.9411765
36,,datasets,parvmodi/cgpa-vs-package-in-lpa,CGPA v/s Package (in LPA),1005B,2022-10-02 06:46:08,168,6,1.0
38,,datasets,faezehghaffari/the-rocket-propellant-data,The Rocket propellant Data,424B,2022-01-26 16:21:04,64,8,0.5294118
40,,datasets,sivaram1987/salary-data,Salary Data,378B,2019-05-22 12:23:11,329,6,0.3529412
