,topic,set,ref,title,size,lastUpdated,downloadCount,voteCount,usabilityRating
2,,datasets,inIT-OWL/high-storage-system-data-for-energy-optimization,High Storage System Data for Energy Optimization,1MB,2018-07-19 11:32:16,1348,53,0.88235295
4,,datasets,asdasdasasdas/garbage-classification,Garbage Classification,82MB,2018-11-24 05:09:23,20611,371,0.8125
6,,datasets,Cornell-University/arxiv,arXiv Dataset,1GB,2022-12-18 00:51:05,20241,987,0.875
8,,datasets,davydev/shopee-code-league-20,Shopee Code League 2020 Data Science,17GB,2020-08-03 08:38:48,2281,84,0.88235295
10,,datasets,deepu1109/star-dataset,Star dataset to predict star types,3KB,2019-10-21 19:47:09,7941,199,1.0
12,,datasets,gpreda/covid19-tweets,COVID19 Tweets,28MB,2020-08-30 09:38:38,17172,506,1.0
14,,datasets,jerzydziewierz/bee-vs-wasp,Bee or wasp?,559MB,2020-08-23 18:07:47,3305,154,0.9411765
16,,datasets,andrewmvd/face-mask-detection,Face Mask Detection,398MB,2020-05-22 07:18:42,54887,1513,0.875
18,,datasets,unanimad/us-election-2020,US Election 2020,429KB,2020-12-28 21:12:35,19977,542,1.0
20,,datasets,ramjidoolla/ipl-data-set,IPL _Data_Set,1MB,2020-09-14 10:57:42,23453,326,0.9705882
22,,datasets,jorijnsmit/binance-full-history,Binance Full History,26GB,2022-11-17 23:44:24,10722,299,0.875
24,,datasets,htagholdings/property-sales,House Property Sales Time Series,162KB,2019-08-12 10:07:10,9708,98,1.0
26,,datasets,nehaprabhavalkar/indian-food-101,Indian Food 101,7KB,2020-09-30 06:23:43,19364,502,1.0
28,,datasets,valentynsichkar/yolo-coco-data,yolo-coco-data,220MB,2019-07-20 21:41:38,5814,51,1.0
30,,datasets,ravirajsinh45/crop-and-weed-detection-data-with-bounding-boxes,crop and weed detection data with bounding boxes,79MB,2020-04-06 10:06:46,4083,69,0.9375
32,,datasets,gpreda/chinese-mnist,Chinese MNIST,16MB,2021-03-28 09:44:55,5131,191,0.9411765
34,,datasets,andrewmvd/udemy-courses,Udemy Courses,200KB,2020-05-17 00:01:42,12109,282,1.0
36,,datasets,prasoonkottarathil/face-mask-lite-dataset,Face Mask Lite Dataset,23GB,2020-07-12 05:14:16,7386,133,0.875
38,,datasets,ardisragen/indonesia-coronavirus-cases,Indonesia-Coronavirus,10KB,2020-04-15 11:15:41,10502,170,0.9411765
40,,datasets,prasoonkottarathil/polycystic-ovary-syndrome-pcos,Polycystic ovary syndrome (PCOS),120KB,2020-07-11 07:22:05,5076,170,0.9705882
