,topic,set,ref,title,size,lastUpdated,downloadCount,voteCount,usabilityRating
2,,datasets,saurabhshahane/us-electric-power-generators,U.S. Electric Power Generators,2MB,2021-07-07 16:58:18,142,12,0.8235294
4,,datasets,vinven7/comprehensive-database-of-minerals,Comprehensive database of Minerals,145KB,2021-01-12 17:32:41,797,24,1.0
6,,datasets,brsdincer/pulsar-classification-for-class-prediction,Pulsar Classification For Class Prediction,771KB,2021-04-04 12:42:47,184,17,1.0
8,,datasets,johnkenny/dispersion-dataset,dispersion dataset,999B,2021-10-09 11:44:47,3,1,0.11764706
10,,datasets,jvwilliams23/filtered-direct-numerical-simulation-dataset,Filtered direct numerical simulation dataset,2GB,2022-07-28 19:56:29,8,1,0.9117647
12,,datasets,psterk/income-inequality,GapMinder - Income Inequality,148KB,2020-04-11 19:14:17,1641,45,0.9705882
14,,datasets,charitarth/pulsar-dataset-htru2,Pulsar Dataset HTRU2,768KB,2021-01-10 19:09:20,298,5,1.0
16,,datasets,nils86/betfaircom-market-analysis,Betfair.com Market  Analysis,14KB,2016-12-19 20:25:17,235,8,0.64705884
18,,datasets,vavricka/ethereum-network-measurement,Ethereum network measurement,3GB,2020-03-22 15:45:52,91,3,0.5588235
20,,datasets,kirschil/state-recessions,State Recessions,1MB,2018-12-16 19:13:54,159,5,0.64705884
22,,datasets,rohitzaman/gender-age-and-emotion-detection-from-voice,"""GenderAgeand Emotion Detection from Voice """,945KB,2021-05-29 18:23:07,304,5,0.5294118
24,,datasets,rgbarnes/dna-combines-history-admixture-and-genealogy,"""DNA  combines HistoryAdmixtureand Genealogy""",1MB,2018-04-10 23:42:55,229,10,0.625
26,,datasets,macmotx/barcelona-data-airbnb-listings-10-years,Barcelona's Change & Displacement  Indicators,3MB,2022-10-21 13:36:27,27,0,1.0
28,,datasets,jarden103/tashish-dataset,TAshish Dataset,2MB,2022-02-18 04:42:30,2,1,0.29411766
30,,datasets,sudosharma/top-freq-english-words,top_freq_english_words,53KB,2018-09-17 00:13:08,250,0,0.1764706
