,topic,set,ref,title,size,lastUpdated,downloadCount,voteCount,usabilityRating
2,,datasets,iamsouravbanerjee/analytics-industry-salaries-2022-india,Data Professionals Salary - 2022,119KB,2022-07-17 11:28:56,9164,216,1.0
4,,datasets,aungpyaeap/supermarket-sales,Supermarket sales,36KB,2019-05-27 07:08:04,135626,1432,0.88235295
6,,datasets,pankajjsh06/ibm-watson-marketing-customer-value-data,IBM Watson Marketing Customer Value Data,345KB,2019-05-08 16:55:41,8185,91,0.5882353
8,,datasets,kmldas/hr-case-study,HR Case Study ,19KB,2020-12-19 07:59:33,866,22,1.0
10,,datasets,rhuebner/human-resources-data-set,Human Resources Data Set,17KB,2020-10-19 13:50:53,60107,832,0.8235294
12,,datasets,hanifalirsyad/coffee-scrap-coffeereview,Coffee_Data_CoffeeReview,2MB,2022-12-01 19:23:12,926,31,1.0
14,,datasets,teertha/ushealthinsurancedataset,US Health Insurance Dataset,16KB,2020-02-16 04:43:53,7614,79,0.9411765
16,,datasets,anupammajhi/hr-analytics-predictive-analysis,HR Analytics - Predictive Analysis,10MB,2018-11-30 04:55:02,652,17,0.1764706
18,,datasets,secareanualin/football-events,Football Events,21MB,2017-01-25 01:19:19,24295,611,0.7647059
20,,datasets,tylerx/flights-and-airports-data,Flights and Airports Data,27MB,2019-05-30 03:48:29,4208,28,0.5294118
22,,datasets,rodsaldanha/arketing-campaign,Marketing Campaign,352KB,2020-05-08 13:14:32,16426,204,0.9117647
24,,datasets,blessondensil294/topic-modeling-for-research-articles,Topic Modeling for Research Articles,11MB,2020-08-18 08:53:26,1264,43,1.0
26,,datasets,boyangs444/process-data-for-predictive-maintenance,E-coating ultrafiltration maintenance dataset,2MB,2020-09-23 11:21:33,907,37,1.0
28,,datasets,yeanzc/telco-customer-churn-ibm-dataset,Telco customer churn: IBM dataset,1MB,2020-12-07 09:22:41,5773,56,0.7647059
30,,datasets,sukanthen/dream11-ipl2020-live,DREAM11_IPL2020_CRICKET_LIVE,20KB,2020-11-11 06:09:16,1097,32,0.8235294
32,,datasets,jpallard/google-store-ecommerce-data-fake-retail-data,Google Store Ecommerce Data + Fake Retail Data,1MB,2019-04-05 01:36:50,1828,25,0.64705884
34,,datasets,bhrt97/hr-analytics-classification,HR Analytics Classification,938KB,2020-05-15 09:39:39,1245,20,0.64705884
36,,datasets,darpan25bajaj/retail-case-study-data,Retail Case Study Data,551KB,2019-11-13 19:38:36,5271,48,0.47058824
38,,datasets,skihikingkevin/csgo-matchmaking-damage,CS:GO Competitive Matchmaking Data,602MB,2018-09-17 19:58:49,5488,216,0.7941176
