,topic,set,ref,title,size,lastUpdated,downloadCount,voteCount,usabilityRating
2,,datasets,iabhishekofficial/mobile-price-classification,Mobile Price Classification,71KB,2018-01-28 08:44:24,113178,1435,0.7058824
4,,datasets,joshmcadams/oranges-vs-grapefruit,Oranges vs. Grapefruit,61KB,2020-01-08 23:28:02,8486,76,1.0
6,,datasets,thomaskonstantin/highly-rated-children-books-and-stories,Highly Rated Children Books And Stories,1MB,2021-05-14 06:51:05,2372,81,1.0
8,,datasets,nasa/asteroid-impacts,Possible Asteroid Impacts with Earth,650KB,2017-02-10 20:14:33,2923,92,0.8235294
10,,datasets,nitishabharathi/scene-classification,Scene Classification,361MB,2018-12-09 18:31:18,2933,58,0.9411765
12,,datasets,gti-upm/hrrfaced,High Resolution Range based Face Database,128MB,2018-10-29 16:03:12,446,22,0.75
14,,datasets,mahirahmzh/starbucks-customer-retention-malaysia-survey,Starbucks Customer Survey ,5KB,2020-05-16 15:44:54,11531,143,0.9117647
16,,datasets,blastchar/telco-customer-churn,Telco Customer Churn,172KB,2018-02-23 18:20:00,154391,2263,0.88235295
18,,datasets,mkhurana000/internet-prices-datasets-for-analysis,Internet Prices Datasets for Analysis,13KB,2022-08-06 22:44:48,491,22,0.9705882
20,,datasets,primaryobjects/voicegender,Gender Recognition by Voice,405KB,2016-08-26 14:29:23,33135,757,0.7058824
22,,datasets,raykleptzo/classification-data-apples-oranges,Classification Data -Apples & Oranges,384B,2020-05-02 21:48:14,2669,15,0.8235294
24,,datasets,amanneo/diabetic-retinopathy-resized-arranged,Diabetic Retinopathy Arranged,1GB,2021-01-11 13:24:36,1338,40,0.6875
26,,datasets,karetnikovn/power-rangers-dataset,Power Rangers: Seasons and episodes data,89KB,2021-10-02 18:15:31,230,18,0.9411765
28,,datasets,brsdincer/log4shell-attack-ip-informations,LOG4SHELL ATTACK IP INFORMATIONS,16KB,2021-12-17 13:04:50,89,16,1.0
30,,datasets,crawford/1000-cameras-dataset,1000 Cameras Dataset,15KB,2017-10-24 18:29:25,5589,89,0.8235294
32,,datasets,blurredmachine/are-your-employees-burning-out,Are Your Employees Burning Out?,425KB,2020-11-01 06:11:37,4190,88,1.0
34,,datasets,san-francisco/sf-salary-ranges-by-job-classification,SF Salary Ranges by Job Classification,17KB,2018-10-02 19:11:23,558,14,0.7647059
36,,datasets,uciml/zoo-animal-classification,Zoo Animal Classification,2KB,2016-12-24 18:05:10,32614,369,0.8235294
38,,datasets,therohk/india-headlines-news-dataset,India News Headlines Dataset,87MB,2022-04-03 11:52:15,6982,195,1.0
40,,datasets,balraj98/apple2orange-dataset,Apple2orange Dataset,75MB,2020-10-17 16:44:09,1142,17,0.9411765
