,topic,set,ref,title,size,lastUpdated,downloadCount,voteCount,usabilityRating
2,,datasets,zaheenhamidani/ultimate-spotify-tracks-db,Spotify Tracks DB,15MB,2019-07-23 04:26:23,19326,262,0.5882353
4,,datasets,rohitzaman/gender-age-and-emotion-detection-from-voice,"""GenderAgeand Emotion Detection from Voice """,945KB,2021-05-29 18:23:07,304,5,0.5294118
6,,datasets,shekpaul/global-superstore,Global Superstore,6MB,2020-07-16 09:40:29,10082,54,0.3529412
8,,datasets,arashnic/car-racing-dataset,Indy500 Car Racing Dataset,1MB,2022-07-01 09:43:25,87,14,0.85294116
10,,datasets,thedevastator/revealing-insights-from-youtube-video-and-channe,YouTube Videos and Channels Metadata,82MB,2022-12-14 02:48:24,87,6,0.9411765
12,,datasets,fcpercival/160k-spotify-songs-sorted,160k Spotify songs from 1921 to 2020 (Sorted),14MB,2022-09-17 16:21:39,54,1,0.5294118
14,,datasets,jeanrada/virtual-mode,Virtual mode - UPEA(Classification),3KB,2020-12-30 18:52:19,140,4,0.4117647
16,,datasets,sujaradha/online-education-system-review,Online Education System - Review,15KB,2021-12-30 04:44:53,835,15,0.4117647
18,,datasets,zhoumeixing/furniture-superstore-2017-2018,Furniture Superstore 2017 - 2018,2MB,2021-10-03 12:54:02,188,1,0.29411766
20,,datasets,shamshaded/rmipr,"""MANUU CSIT DataSets- Central Tendendency","Variation""",8KB,2022-12-15 18:38:37,1,0
22,,datasets,robdevman/economies-worldwide-stock-flow-and-cpi-19702019,"""Economies: Worldwide StockFlow and CPI 1970-2019""",2MB,2020-11-01 00:54:21,63,1,0.5294118
24,,datasets,avizyt/fifa22-detail-dataset-male-and-female-updated,FIFA22 Detail Dataset male and female updated,109MB,2022-12-17 09:16:41,5,0,0.4117647
