,topic,set,ref,title,size,lastUpdated,downloadCount,voteCount,usabilityRating
2,,datasets,jakeshbohaju/brain-tumor,Brain Tumor,14MB,2020-07-26 01:52:35,8344,212,0.9411765
4,,datasets,fanbyprinciple/iot-device-identification,IOT device identification,511KB,2021-05-22 09:18:29,1023,22,0.9411765
6,,datasets,andradaolteanu/gtzan-dataset-music-genre-classification,GTZAN Dataset - Music Genre Classification,1GB,2020-03-24 14:05:33,32049,528,0.88235295
8,,datasets,martinellis/nhl-game-data,NHL Game Data,240MB,2020-12-11 08:45:20,21801,482,0.7941176
10,,datasets,akshat0007/fetalhr,Fetal cardiotocography data,61KB,2020-04-11 05:46:32,1395,44,0.8235294
12,,datasets,arunrk7/surface-crack-detection,Surface Crack Detection,233MB,2019-11-13 17:18:47,9755,188,0.9375
14,,datasets,hananxx/gamestop-historical-stock-prices,GameStop Historical Stock Prices ,121KB,2021-02-02 12:55:55,2547,56,1.0
16,,datasets,laa283/zurich-public-transport,Public Transport in Zurich,64MB,2017-03-19 22:15:38,781,21,0.85294116
18,,datasets,hugomathien/soccer,European Soccer Database,33MB,2016-10-23 22:31:38,173034,4064,0.7058824
20,,datasets,metavision/accurate-drone-shapessegmentation,Accurate drone shapes/segmentation,670MB,2022-01-04 16:39:47,108,12,0.875
22,,datasets,mirosval/personal-cars-classifieds,Classified Ads for Cars,88MB,2017-03-16 21:33:43,12510,135,0.7058824
24,,datasets,shantanuss/banknote-authentication-uci,BankNote Authentication UCI,19KB,2020-01-26 07:05:40,754,11,1.0
26,,datasets,arnavr10880/concrete-crack-images-for-classification,Concrete Crack Images for Classification,233MB,2022-04-28 11:23:33,277,21,0.8125
28,,datasets,rsizem2/house-prices-ames-cleaned-dataset,House Prices - Processed Data,377KB,2022-09-25 00:48:08,885,29,0.8235294
30,,datasets,sandy1811/data-science-interview-questions,Data Science Interview Questions,1005KB,2022-12-21 05:30:07,798,45,0.88235295
32,,datasets,atulanandjha/temperature-readings-iot-devices,Temperature Readings : IOT Devices,1MB,2019-12-01 18:48:54,9718,210,1.0
34,,datasets,nishan192/letterrecognition-using-svm,Letter-Recognition ,214KB,2019-04-13 05:42:06,2468,25,0.64705884
36,,datasets,shyambhu/bbc-television-advertisementcsv,BBC_television_advertisement.csv,6MB,2020-12-10 16:18:21,126,8,0.8235294
38,,datasets,ezgitural/low-variance-dataset,Low Variance Dataset,413KB,2021-06-17 07:59:05,19,2,0.4117647
40,,datasets,ritesaluja/bank-note-authentication-uci-data,Bank Note Authentication UCI data,19KB,2018-11-30 13:38:38,8269,73,0.7058824
