,topic,set,ref,title,author,lastRunTime,totalVotes
2,Big-data-concepts,kernels,kanncaa1/deep-learning-tutorial-for-beginners,Deep Learning Tutorial for Beginners,DATAI,2019-05-25 14:42:24,2312
4,Big-data-concepts,kernels,jiashenliu/introduction-to-financial-concepts-and-data,Introduction to financial concepts and data,Jiashen Liu,2021-07-01 09:52:48,936
6,Big-data-concepts,kernels,rtatman/welcome-to-data-science-in-r,Welcome to Data Science in R,Rachael Tatman,2018-04-11 21:56:06,406
8,Big-data-concepts,kernels,shivamb/data-science-glossary-on-kaggle,Data Science Glossary on Kaggle,Shivam Bansal,2018-12-10 09:47:14,2141
10,Big-data-concepts,kernels,arthurtok/interactive-intro-to-dimensionality-reduction,Interactive Intro to Dimensionality Reduction,Anisotropic,2018-09-24 22:53:26,814
12,Big-data-concepts,kernels,rtatman/data-cleaning-challenge-parsing-dates,Data Cleaning Challenge: Parsing Dates,Rachael Tatman,2018-03-30 21:17:59,252
14,Big-data-concepts,kernels,ldfreeman3/a-data-science-framework-to-achieve-99-accuracy,A Data Science Framework: To Achieve 99% Accuracy,LD Freeman,2017-12-31 18:27:17,5295
16,Big-data-concepts,kernels,pavansanagapati/a-simple-cnn-model-beginner-guide,A Simple CNN Model Beginner Guide !!!!!!,Pavan Sanagapati,2020-06-08 15:08:17,299
18,Big-data-concepts,kernels,pierremegret/gensim-word2vec-tutorial,Gensim Word2Vec Tutorial,Pierre Megret,2018-10-21 01:14:06,523
20,Big-data-concepts,kernels,ash316/novice-to-grandmaster,Novice to Grandmaster,Ashwini Swain,2018-03-07 17:18:09,788
22,Big-data-concepts,kernels,arjanso/reinforcement-learning-chess-1-policy-iteration,Reinforcement Learning Chess 1: Policy Iteration,ArjanGroen,2020-01-04 09:54:07,70
24,Big-data-concepts,kernels,hiteshp/head-start-for-data-scientist,Head Start for Data Scientist,Hitesh palamada,2018-09-02 18:36:19,1091
26,Big-data-concepts,kernels,tanulsingh077/end-to-end-object-detection-with-transformers-detr,End to End Object Detection with Transformers:DETR,Mr_KnowNothing,2020-07-05 08:37:33,422
28,Big-data-concepts,kernels,niklasdonges/end-to-end-project-with-python,End to End Project with Python,Niklas Donges,2019-02-17 12:06:23,397
30,Big-data-concepts,kernels,janiobachmann/patient-charges-clustering-and-regression,Patient Charges || Clustering and Regression,Janio Martinez Bachmann,2019-01-19 12:59:29,312
