,topic,set,ref,title,author,lastRunTime,totalVotes
2,Categorical-EDA,kernels,subinium/tps-may-categorical-eda,[TPS-May] Categorical EDA,Subin An,2021-05-24 07:21:40,182
4,Categorical-EDA,kernels,subinium/categorical-data-eda-visualization,Categorical Data EDA & Visualization,Subin An,2020-11-01 23:23:32,75
6,Categorical-EDA,kernels,anshumoudgil/iiot-digital-twins-categorical-data-eda,"""IIoT -Digital Twins -Categorical data EDA """,Solve for Fun,2020-08-04 15:23:01,44
8,Categorical-EDA,kernels,willkoehrsen/start-here-a-gentle-introduction,Start Here: A Gentle Introduction,Will Koehrsen,2018-08-25 02:00:07,3388
10,Categorical-EDA,kernels,nextbigwhat/eda-for-categorical-variables-a-beginner-s-way,EDA for Categorical Variables - A Beginner's Way,Samarth Agrawal,2018-12-26 03:34:10,63
12,Categorical-EDA,kernels,ash316/eda-to-prediction-dietanic,EDA To Prediction(DieTanic),Ashwini Swain,2018-03-08 17:55:32,2555
14,Categorical-EDA,kernels,ekami66/detailed-exploratory-data-analysis-with-python,Detailed exploratory data analysis with python,Tuatini GODARD,2017-01-20 02:06:37,646
16,Categorical-EDA,kernels,kanncaa1/data-sciencetutorial-for-beginners,Data ScienceTutorial for Beginners,DATAI,2020-05-19 00:29:44,6250
18,Categorical-EDA,kernels,dejavu23/house-prices-eda-to-ml-beginner,House Prices: EDA to ML (Beginner),deja vu,2019-06-15 14:34:23,331
20,Categorical-EDA,kernels,subinium/eda-visualization-categorical-data,EDA + Visualization : Categorical Data,Subin An,2019-09-26 15:34:17,18
