,topic,set,ref,title,author,lastRunTime,totalVotes
2,Categorical-variables,kernels,alexisbcook/categorical-variables,Categorical Variables,Alexis Cook,2021-11-09 00:07:00,702
4,Categorical-variables,kernels,alexisbcook/exercise-categorical-variables,Exercise: Categorical Variables,Alexis Cook,2021-11-09 00:06:35,15
6,Categorical-variables,kernels,pmarcelino/comprehensive-data-exploration-with-python,Comprehensive data exploration with Python,"""Pedro Marcelino PhD""",2022-04-30 19:20:37,12863
8,Categorical-variables,kernels,startupsci/titanic-data-science-solutions,Titanic Data Science Solutions,Manav Sehgal,2019-02-11 01:21:23,9434
10,Categorical-variables,kernels,willkoehrsen/start-here-a-gentle-introduction,Start Here: A Gentle Introduction,Will Koehrsen,2018-08-25 02:00:07,3388
12,Categorical-variables,kernels,serigne/stacked-regressions-top-4-on-leaderboard,Stacked Regressions : Top 4% on LeaderBoard,Serigne ,2017-12-16 11:57:12,6777
14,Categorical-variables,kernels,residentmario/univariate-plotting-with-pandas,Univariate plotting with pandas,Aleksey Bilogur,2018-09-19 21:30:13,624
16,Categorical-variables,kernels,helgejo/an-interactive-data-science-tutorial,An Interactive Data Science Tutorial,Helge Bjorland,2017-01-28 19:54:58,853
18,Categorical-variables,kernels,nextbigwhat/eda-for-categorical-variables-a-beginner-s-way,EDA for Categorical Variables - A Beginner's Way,Samarth Agrawal,2018-12-26 03:34:10,63
20,Categorical-variables,kernels,paulrohan2020/tutorial-encoding-categorical-variables,Tutorial-Encoding-Categorical-Variables,Data Storm,2022-04-19 12:23:37,35
22,Categorical-variables,kernels,dansbecker/using-categorical-data-with-one-hot-encoding,Using Categorical Data with One Hot Encoding,DanB,2018-01-22 00:36:58,900
24,Categorical-variables,kernels,ldfreeman3/a-data-science-framework-to-achieve-99-accuracy,A Data Science Framework: To Achieve 99% Accuracy,LD Freeman,2017-12-31 18:27:17,5295
26,Categorical-variables,kernels,apapiu/regularized-linear-models,Regularized Linear Models,Alexandru Papiu,2017-04-21 05:50:08,1726
28,Categorical-variables,kernels,erikbruin/house-prices-lasso-xgboost-and-a-detailed-eda,"""House prices: Lasso XGBoost and a detailed EDA""",Erik Bruin,2018-05-10 06:33:09,1477
30,Categorical-variables,kernels,kanncaa1/data-sciencetutorial-for-beginners,Data ScienceTutorial for Beginners,DATAI,2020-05-19 00:29:44,6250
32,Categorical-variables,kernels,willkoehrsen/introduction-to-manual-feature-engineering,Introduction to Manual Feature Engineering,Will Koehrsen,2018-07-31 23:50:27,793
34,Categorical-variables,kernels,residentmario/bivariate-plotting-with-pandas,Bivariate plotting with pandas,Aleksey Bilogur,2018-09-19 21:04:48,326
36,Categorical-variables,kernels,prashant111/naive-bayes-classifier-in-python,Naive Bayes Classifier in Python,Prashant Banerjee,2020-08-28 01:52:00,379
38,Categorical-variables,kernels,dansbecker/handling-missing-values,Handling Missing Values,DanB,2019-02-26 02:31:25,1330
40,Categorical-variables,kernels,arthurtok/introduction-to-ensembling-stacking-in-python,Introduction to Ensembling/Stacking in Python,Anisotropic,2018-06-16 14:41:15,5663
