,topic,set,ref,title,author,lastRunTime,totalVotes
2,Data-mining-concepts,kernels,xvivancos/market-basket-analysis,Market Basket Analysis ,Xavier,2022-12-04 12:55:54,612
4,Data-mining-concepts,kernels,jiashenliu/introduction-to-financial-concepts-and-data,Introduction to financial concepts and data,Jiashen Liu,2021-07-01 09:52:48,936
6,Data-mining-concepts,kernels,shivamb/data-science-glossary-on-kaggle,Data Science Glossary on Kaggle,Shivam Bansal,2018-12-10 09:47:14,2141
8,Data-mining-concepts,kernels,mgmarques/customer-segmentation-and-market-basket-analysis,Customer Segmentation and Market Basket Analysis,Marcelo Marques,2018-11-27 23:07:03,117
10,Data-mining-concepts,kernels,pierremegret/gensim-word2vec-tutorial,Gensim Word2Vec Tutorial,Pierre Megret,2018-10-21 01:14:06,523
12,Data-mining-concepts,kernels,hiteshp/head-start-for-data-scientist,Head Start for Data Scientist,Hitesh palamada,2018-09-02 18:36:19,1091
14,Data-mining-concepts,kernels,evrenermis/association-rule-based-learning-explained,Association Rule Based Learning Explained,Evren Ermis,2020-06-28 20:11:16,35
16,Data-mining-concepts,kernels,prashant111/bagging-vs-boosting,Bagging vs Boosting,Prashant Banerjee,2020-06-30 13:14:30,222
18,Data-mining-concepts,kernels,arunkumarramanan/awesome-ds-for-beginners-with-titanic-exploration,Awesome DS for Beginners with Titanic Exploration,Arunkumar Venkataramanan,2019-02-21 13:30:18,46
20,Data-mining-concepts,kernels,headsortails/personalised-medicine-eda-with-tidy-r,Personalised Medicine - EDA with tidy R,Heads or Tails,2019-01-07 17:06:03,314
22,Data-mining-concepts,kernels,edumagalhaes/exploratory-analyses-of-industrial-labor-accidents,Exploratory Analyses of Industrial Labor Accidents,EduardoMagalhãesOliveira,2018-04-12 16:54:36,18
24,Data-mining-concepts,kernels,arunkumarramanan/data-science-python-fuel-efficiency-prediction,Data Science - Python: Fuel Efficiency Prediction,Arunkumar Venkataramanan,2019-02-23 21:35:07,85
26,Data-mining-concepts,kernels,gpreda/explore-king-james-bible-books,Explore King James Bible Books,Gabriel Preda,2019-02-10 00:29:05,60
28,Data-mining-concepts,kernels,arunkumarramanan/awesome-ml-frameworks-and-mnist-classification,Awesome ML Frameworks and MNIST Classification,Arunkumar Venkataramanan,2019-02-21 13:25:10,63
30,Data-mining-concepts,kernels,arunkumarramanan/awesome-deep-learning-with-cnn-mnist-classifier,Awesome Deep Learning with CNN MNIST Classifier,Arunkumar Venkataramanan,2019-02-23 17:49:58,179
