,topic,set,ref,title,author,lastRunTime,totalVotes
2,Data-quality,kernels,madhurisivalenka/basic-machine-learning-with-red-wine-quality-data,Basic Machine Learning with Red Wine Quality data,Madhuri Sivalenka,2018-03-04 04:29:29,131
4,Data-quality,kernels,taha07/wine-quality-prediction-data-analysis,Wine Quality Prediction & Data Analysis ,Taha07,2020-06-28 05:26:57,36
6,Data-quality,kernels,kanncaa1/water-quality-explanatory-data-analysis,Water Quality Explanatory Data Analysis,DATAI,2021-07-15 09:43:45,32
8,Data-quality,kernels,vbmokin/datasets-for-river-water-quality-prediction,Datasets for river water quality prediction,Vitalii Mokin,2021-01-27 22:39:02,73
10,Data-quality,kernels,dansbecker/model-validation,Model Validation,DanB,2021-11-09 00:00:51,2656
12,Data-quality,kernels,georgyzubkov/wine-quality-exploratory-data-analysis-ml,Wine quality. Exploratory data analysis+ML.,Georgy Zubkov,2022-08-16 11:05:12,96
14,Data-quality,kernels,digvijaysingh16/k-mean-clustering-for-wine-quality-data,K-Mean clustering for Wine Quality Data,Mr D,2018-07-04 04:13:39,31
16,Data-quality,kernels,nikunjmalpani/wine-quality-prediction-imbalanced-data,Wine Quality Prediction | Imbalanced Data,Nikunj Malpani,2022-03-02 23:43:25,38
18,Data-quality,kernels,devisangeetha/data-analysis-on-water-quality,Data Analysis on water Quality,DSangeetha,2017-06-28 03:04:46,17
20,Data-quality,kernels,vishalyo990/prediction-of-quality-of-wine,Prediction of quality of Wine,Vishal Kumar,2018-01-19 14:35:37,856
22,Data-quality,kernels,erikbruin/house-prices-lasso-xgboost-and-a-detailed-eda,"""House prices: Lasso XGBoost and a detailed EDA""",Erik Bruin,2018-05-10 06:33:09,1477
24,Data-quality,kernels,ishanvardhan/india-air-quality-data-cleaning-and-analysis,India Air quality: Data cleaning and Analysis,Ishan Vardhan Mahajan,2018-10-02 07:05:02,20
26,Data-quality,kernels,dansbecker/handling-missing-values,Handling Missing Values,DanB,2019-02-26 02:31:25,1330
28,Data-quality,kernels,mahnoorshahidshakir/data-quality-assessment-for-an-organization,Data Quality Assessment for an Organization,Mahnoor Shahid,2020-08-30 11:59:59,21
30,Data-quality,kernels,inmine/novelai-with-webui-stable-diffusion-version,NovelAI with webUI(Stable Diffusion version),inmine,2022-12-22 12:49:36,1445
32,Data-quality,kernels,ashwathbalaji/data-cleaning-india-air-quality,Data Cleaning India Air Quality,Ashwath Balaji,2019-10-11 01:16:53,19
34,Data-quality,kernels,harshjain123/red-wine-quality-exploratory-data-analysis,Red Wine Quality - Exploratory Data Analysis,Harsh Jain,2021-05-06 12:52:53,41
36,Data-quality,kernels,dansbecker/your-first-machine-learning-model,Your First Machine Learning Model,DanB,2021-11-09 00:01:04,2915
38,Data-quality,kernels,georgyzubkov/water-quality-exploratory-data-analysis-ml-rf,Water quality.Exploratory data analysis + ML(RF),Georgy Zubkov,2022-09-09 03:59:33,98
40,Data-quality,kernels,alexisbcook/cross-validation,Cross-Validation,Alexis Cook,2021-11-09 00:06:31,405
