,topic,set,ref,title,author,lastRunTime,totalVotes
2,Data-types,kernels,residentmario/data-types-and-missing-values,Data Types and Missing Values,Aleksey Bilogur,2022-02-08 16:48:25,540
4,Data-types,kernels,residentmario/exercise-data-types-and-missing-values,Exercise: Data Types and Missing Values,Aleksey Bilogur,2022-02-08 16:41:43,45
6,Data-types,kernels,raddar/amex-data-int-types-train,AMEX data int types - train,raddar,2022-06-03 10:34:45,148
8,Data-types,kernels,raddar/amex-data-int-types-test,AMEX data int types - test,raddar,2022-06-03 10:34:16,48
10,Data-types,kernels,dansbecker/data-types-and-missing-data-reference-daily,Data types and missing data reference Daily,DanB,2019-05-14 00:06:12,24
12,Data-types,kernels,alexisbcook/exercise-data-types,Exercise: Data Types,Alexis Cook,2022-06-06 19:02:24,1
14,Data-types,kernels,rtatman/getting-started-in-r-first-steps,Getting staRted in R: First Steps,Rachael Tatman,2017-12-01 21:49:24,2288
16,Data-types,kernels,zohrab/rus-python-part-1-data-types,Rus Python. Part 1. Data types,Zöhrab Ahundov,2020-02-13 17:31:33,59
18,Data-types,kernels,kanncaa1/data-sciencetutorial-for-beginners,Data ScienceTutorial for Beginners,DATAI,2020-05-19 00:29:44,6250
20,Data-types,kernels,alexisbcook/data-types,Data Types,Alexis Cook,2022-06-06 19:02:15,6
22,Data-types,kernels,jessemostipak/dive-into-dplyr-tutorial-1,Dive into dplyr (tutorial #1),Jesse Mostipak,2020-10-14 15:40:50,1915
24,Data-types,kernels,kanncaa1/seaborn-tutorial-for-beginners,Seaborn Tutorial for Beginners,DATAI,2020-01-28 17:54:17,1074
26,Data-types,kernels,codename007/home-credit-complete-eda-feature-importance,Home Credit : Complete EDA + Feature Importance ??,Lathwal,2018-06-08 11:56:26,901
28,Data-types,kernels,colinmorris/working-with-external-libraries,Working with External Libraries,ColinMorris,2021-11-11 14:28:12,1354
30,Data-types,kernels,startupsci/titanic-data-science-solutions,Titanic Data Science Solutions,Manav Sehgal,2019-02-11 01:21:23,9434
32,Data-types,kernels,dansbecker/your-first-machine-learning-model,Your First Machine Learning Model,DanB,2021-11-09 00:01:04,2915
34,Data-types,kernels,colinmorris/hello-python,"""Hello Python""",ColinMorris,2022-06-09 20:56:48,5953
36,Data-types,kernels,dansbecker/model-validation,Model Validation,DanB,2021-11-09 00:00:51,2656
38,Data-types,kernels,residentmario/bivariate-plotting-with-pandas,Bivariate plotting with pandas,Aleksey Bilogur,2018-09-19 21:04:48,326
40,Data-types,kernels,kashnitsky/topic-1-exploratory-data-analysis-with-pandas,Topic 1. Exploratory Data Analysis with Pandas,Yury Kashnitsky,2021-05-07 08:35:46,873
