,topic,set,ref,title,author,lastRunTime,totalVotes
2,Github,kernels,mrisdal/safely-analyzing-github-projects-popular-licenses,Safely Analyzing GitHub Projects: Popular Licenses,Meg Risdal,2018-02-06 19:31:43,100
4,Github,kernels,poonaml/analyzing-3-million-github-repos-using-bigquery,Analyzing 3 Million Github Repos using BigQuery ,Poonam Ligade,2018-02-28 05:33:35,74
6,Github,kernels,mrisdal/github-commit-messages,GitHub commit messages,Meg Risdal,2018-02-02 06:57:41,24
8,Github,kernels,shivamb/github-acquired-exploring-the-past-acquisitions,Github Acquired! Exploring the Past Acquisitions !,Shivam Bansal,2018-06-18 19:32:10,64
10,Github,kernels,tsalitzion/github-repo-analysis,GitHub Repo Analysis,VarunBhatia,2017-07-08 05:58:02,18
12,Github,kernels,padhmam/analysing-popular-repositories-on-github,Analysing popular repositories on GitHub,Padhma Muniraj,2022-02-02 19:57:41,41
14,Github,kernels,jaimevalero/github-reccomendation-engine,Github reccomendation engine,Jaime Valero,2020-07-12 06:42:34,13
16,Github,kernels,ashishpatel26/useful-deep-learning-resources-from-github,Useful Deep Learning Resources from Github,NowYSM,2018-10-04 11:05:55,26
18,Github,kernels,indrajitdsc/github-bugs-prediction-using-bert-model,GitHub Bugs Prediction using BERT Model,IndrajitSingh,2021-02-17 04:19:11,20
20,Github,kernels,ravishah1/understanding-the-indoor-loc-github-data-eda,Understanding the Indoor Loc GitHub & Data + EDA,Ravi Shah,2021-04-10 03:36:46,38
22,Github,kernels,ultralytics/yolov5,YOLOv5,Glenn Jocher,2022-11-22 19:40:14,278
24,Github,kernels,vatsalparsaniya/github-analysis-2020-eda,GitHub analysis 2020 EDA,Vatsal Parsaniya,2020-05-07 09:04:24,13
26,Github,kernels,ashishpatel26/useful-data-science-notebooks-from-github,Useful Data Science Notebooks From Github,NowYSM,2018-10-04 05:46:29,19
28,Github,kernels,dhruvildave/starter-github-commit-messages,Starter: GitHub Commit Messages,Dhruvil Dave,2022-04-28 20:00:14,25
