,topic,set,ref,title,author,lastRunTime,totalVotes
2,Google-colab,kernels,naim99/skin-cancer-segmentation-google-colab,skin cancer segmentation : google colab,Naim Mhedhbi,2020-09-26 09:02:02,30
4,Google-colab,kernels,gopidurgaprasad/stater-pytorch-tpu-google-colab,Stater Pytorch TPU Google Colab,Gopi Durgaprasad,2020-03-27 14:47:55,26
6,Google-colab,kernels,kool777/ultimate-google-colab-training-batch-size-64,Ultimate Google Colab Training [batch size 64],Kuldeep Singh Chouhan,2020-10-26 09:50:34,43
8,Google-colab,kernels,ultralytics/yolov5,YOLOv5,Glenn Jocher,2022-11-22 19:40:14,278
10,Google-colab,kernels,code1110/how-to-submit-from-google-colab,How to submit from Google Colab,katsu1110,2019-06-21 22:36:16,33
12,Google-colab,kernels,motono0223/guie-clip-tensorflow-train-example,guie_CLIP_TensorFlow_train_example,motono0223,2022-08-25 01:35:57,167
14,Google-colab,kernels,jhoward/jupyter-notebook-101,Jupyter Notebook 101,Jeremy Howard,2022-04-24 20:36:56,940
16,Google-colab,kernels,columbia2131/ubiquant-inference-google-colaboratory-training,[Ubiquant] Inference: Google Colaboratory Training,colum2131,2022-01-21 11:00:04,30
18,Google-colab,kernels,slavikonnikov/lightgbm-gpu-baseline-model-for-google-colab,LightGBM GPU baseline model for Google Colab,Slava Konnikov,2020-06-26 19:57:23,17
20,Google-colab,kernels,nhkhang/download-dataset-to-google-colab,Download dataset to Google Colab,Khang Nguyen,2020-08-08 11:49:28,8
22,Google-colab,kernels,reubenschmidt/how-to-use-google-colab-for-extra-tpu-gpu,How to Use Google Colab for Extra TPU/GPU,Reuben Schmidt,2021-01-13 11:05:23,30
24,Google-colab,kernels,faisalalsrheed/kaggle-code-snippets-for-google-colab,Kaggle Code Snippets for Google Colab ,Faisal Alsrheed,2021-12-22 03:18:28,8
26,Google-colab,kernels,sergeykalutsky/introducing-bert-with-tensorflow,Introducing BERT with Tensorflow,Sergey Kalutsky,2018-11-13 14:57:10,117
28,Google-colab,kernels,shonenkov/tpu-training-super-fast-xlmroberta,[TPU-Training] Super Fast XLMRoberta,Alex Shonenkov,2020-05-04 19:54:32,217
30,Google-colab,kernels,xhlulu/intro-to-tf-hub-for-object-detection,Intro to TF Hub for Object Detection,xhlulu,2019-07-30 20:57:19,237
32,Google-colab,kernels,robikscube/a-tale-of-4-kaggler-types-by-ide-use-2018-survey,A Tale of 4 Kaggler Types by IDE use [2018 Survey],Rob Mulla,2018-12-03 23:58:54,216
34,Google-colab,kernels,paultimothymooney/how-to-get-started-with-the-earth-engine-data,How to get started with the Earth Engine data,Paul Mooney,2020-07-14 15:14:53,114
