,topic,set,ref,title,author,lastRunTime,totalVotes
2,Jupyter-notebook,kernels,jhoward/jupyter-notebook-101,Jupyter Notebook 101,Jeremy Howard,2022-04-24 20:36:56,940
4,Jupyter-notebook,kernels,marcovasquez/useful-html-for-jupyter-notebook,Useful HTML for Jupyter Notebook,Marco Vasquez E,2020-05-15 17:53:44,110
6,Jupyter-notebook,kernels,stonet2000/lux-ai-season-1-jupyter-notebook-tutorial,Lux AI Season 1 Jupyter Notebook Tutorial,Stone Tao,2021-09-05 22:32:47,141
8,Jupyter-notebook,kernels,tientd95/jupyter-notebook-tricks,Jupyter Notebook Tricks,Hng,2020-08-25 05:15:27,120
10,Jupyter-notebook,kernels,sirivellamadhu/keyboard-shortcuts-for-jupyter-notebook,Keyboard Shortcuts for jupyter notebook,sirivella madhu,2018-04-07 10:33:30,109
12,Jupyter-notebook,kernels,stonet2000/lux-ai-season-1-jupyter-notebook-quickstart,Lux AI Season 1 Jupyter Notebook Quickstart,Stone Tao,2021-09-05 22:33:17,55
14,Jupyter-notebook,kernels,cjansen/jupyter-notebook,Jupyter Notebook,Charles Jansen,2018-08-01 21:20:18,14
16,Jupyter-notebook,kernels,stonet2000/lux-ai-season-2-jupyter-notebook-tutorial,Lux AI Season 2 Jupyter Notebook Tutorial,Stone Tao,2022-12-09 19:14:00,45
18,Jupyter-notebook,kernels,benhamner/python-data-visualizations,Python Data Visualizations,Ben Hamner,2017-08-29 15:54:22,1383
20,Jupyter-notebook,kernels,benhamner/exploring-jupyter-notebook-survey-data,Exploring Jupyter Notebook Survey Data,Ben Hamner,2016-01-22 19:31:27,10
22,Jupyter-notebook,kernels,serg1974/jupyter-notebook,jupyter notebook,SergCha,2017-11-28 09:01:34,3
24,Jupyter-notebook,kernels,parulpandey/10-simple-hacks-to-speed-up-your-data-analysis,10 Simple hacks to speed up your Data Analysis ,Parul Pandey,2020-02-11 04:32:49,932
26,Jupyter-notebook,kernels,alexisbcook/hello-seaborn,"""Hello Seaborn""",Alexis Cook,2022-06-09 00:35:16,734
28,Jupyter-notebook,kernels,startupsci/titanic-data-science-solutions,Titanic Data Science Solutions,Manav Sehgal,2019-02-11 01:21:23,9434
30,Jupyter-notebook,kernels,kashnitsky/topic-1-exploratory-data-analysis-with-pandas,Topic 1. Exploratory Data Analysis with Pandas,Yury Kashnitsky,2021-05-07 08:35:46,873
32,Jupyter-notebook,kernels,robikscube/a-tale-of-4-kaggler-types-by-ide-use-2018-survey,A Tale of 4 Kaggler Types by IDE use [2018 Survey],Rob Mulla,2018-12-03 23:58:54,216
34,Jupyter-notebook,kernels,rtatman/active-learning-with-notebooks-jupytercon,Active learning with notebooks @Jupytercon,Rachael Tatman,2018-08-20 22:14:08,12
36,Jupyter-notebook,kernels,vishnu1183/reporting-using-markdown-in-jupyter-notebook,Reporting Using Markdown in Jupyter Notebook,Vishnu Prakash Singh,2020-12-11 02:16:23,8
38,Jupyter-notebook,kernels,stefanjaro/libpostal-windows-and-jupyter-notebook,"""Libpostal Windows and Jupyter Notebook""",Stefan Jaro,2019-04-14 14:56:34,3
