,topic,set,ref,title,author,lastRunTime,totalVotes
2,Kaggle-Notebook,kernels,mpwolke/kaggle-notebook,Kaggle Notebook,Marília Prata,2020-02-07 16:04:35,24
4,Kaggle-Notebook,kernels,howoojang/first-kaggle-notebook-following-ts-tutorial,First kaggle notebook. Following TS tutorial,Howoo Jang,2021-10-13 03:14:22,94
6,Kaggle-Notebook,kernels,ahmedshahriarsakib/streamlit-app-on-kaggle-notebook,Streamlit App On Kaggle Notebook,Ahmed Shahriar Sakib,2022-09-10 00:16:28,64
8,Kaggle-Notebook,kernels,its7171/how-to-use-arnie-on-kaggle-notebook,How to Use ARNIE on Kaggle Notebook,tito,2020-09-19 12:06:38,105
10,Kaggle-Notebook,kernels,coldfir4/tacotron-2-training-kaggle-notebook,Tacotron 2 Training (Kaggle Notebook),Michael Williams,2021-09-26 20:22:18,7
12,Kaggle-Notebook,kernels,jhoward/using-nbdev-export-in-a-kaggle-notebook,Using nbdev export in a Kaggle notebook,Jeremy Howard,2022-08-01 05:26:02,58
14,Kaggle-Notebook,kernels,bhargavs1/first-kaggle-notebook,First Kaggle notebook,Bhargav S,2021-12-06 07:38:13,19
16,Kaggle-Notebook,kernels,spidermandance/how-to-use-selenium-with-kaggle-notebook,How to use selenium with kaggle notebook,Takayoshi Makabe,2022-01-19 05:31:33,20
18,Kaggle-Notebook,kernels,frsanchez/download-kaggle-files-from-notebook,Download kaggle files from notebook,F.J. Sanchez,2020-01-16 00:13:53,14
20,Kaggle-Notebook,kernels,carlmcbrideellis/a-selection-of-my-kaggle-notebooks,A selection of my kaggle notebooks,Carl McBride Ellis,2022-12-15 05:37:05,88
22,Kaggle-Notebook,kernels,gauravduttakiit/how-to-integrate-tableau-with-kaggle-notebook,How to integrate Tableau with Kaggle Notebook   ,Gaurav Dutta,2020-09-27 15:14:28,26
24,Kaggle-Notebook,kernels,kihei171/my-first-kaggle-notebook,My First Kaggle Notebook,kihei,2022-07-18 04:19:08,19
26,Kaggle-Notebook,kernels,paultimothymooney/starter-notebook-for-end-als-kaggle-challenge,Starter Notebook for END ALS (Kaggle Challenge),Paul Mooney,2021-03-17 21:13:29,17
28,Kaggle-Notebook,kernels,alexisbcook/titanic-tutorial,Titanic Tutorial,Alexis Cook,2022-06-24 00:25:16,8267
30,Kaggle-Notebook,kernels,awesomehidingspot/my-first-kaggle-nlp-notebook,My first Kaggle NLP Notebook,Manfred Michael,2020-09-10 05:30:41,11
32,Kaggle-Notebook,kernels,ksamant/tps-december-first-notebook-on-kaggle-95-307,TPS December -first notebook on kaggle(95.307%) ,NOOB,2021-12-31 09:39:05,3
34,Kaggle-Notebook,kernels,ahmedshahriarsakib/fastapi-on-kaggle-notebook-ngrok-postman,FastAPI On Kaggle Notebook (Ngrok+Postman),Ahmed Shahriar Sakib,2022-08-11 17:06:34,33
36,Kaggle-Notebook,kernels,javiersastre/grapenlp-grammar-engine-in-a-kaggle-notebook,GrapeNLP grammar engine in a Kaggle notebook,Javier Sastre,2020-11-08 10:26:32,6
38,Kaggle-Notebook,kernels,startupsci/titanic-data-science-solutions,Titanic Data Science Solutions,Manav Sehgal,2019-02-11 01:21:23,9434
40,Kaggle-Notebook,kernels,arthurtok/introduction-to-ensembling-stacking-in-python,Introduction to Ensembling/Stacking in Python,Anisotropic,2018-06-16 14:41:15,5663
