,topic,set,ref,title,author,lastRunTime,totalVotes
2,Linear-regression,kernels,sudhirnl7/linear-regression-tutorial,Linear Regression Tutorial,Sudhir Kumar,2020-04-04 14:56:45,357
4,Linear-regression,kernels,goyalshalini93/car-price-prediction-linear-regression-rfe,Car Price Prediction (Linear Regression - RFE),Shalini Goyal,2019-04-26 09:01:04,602
6,Linear-regression,kernels,divan0/multiple-linear-regression,Multiple Linear Regression,Diva Dugar,2018-08-01 14:19:36,145
8,Linear-regression,kernels,vivinbarath/simple-linear-regression-for-salary-data,Simple Linear Regression for Salary Data,Barath ,2020-02-19 17:22:58,181
10,Linear-regression,kernels,foxtreme/linear-regression-project,Linear Regression Project,Chris Charry,2019-02-24 02:53:30,64
12,Linear-regression,kernels,ashydv/sales-prediction-simple-linear-regression,Sales Prediction (Simple Linear Regression),Ashish,2019-03-07 06:21:44,103
14,Linear-regression,kernels,aminizahra/linear-regression,Linear Regression,Zahra Amini,2022-02-21 21:06:09,114
16,Linear-regression,kernels,anthonypino/price-analysis-and-linear-regression,Price analysis and Linear Regression,Tony Pino,2017-08-16 05:54:08,139
18,Linear-regression,kernels,aakashns/pytorch-basics-linear-regression-from-scratch,PyTorch basics - Linear Regression from scratch,Aakash N S,2019-01-22 19:34:30,181
20,Linear-regression,kernels,nitindatta/fifa-in-depth-analysis-with-linear-regression,FIFA in depth analysis with Linear Regression,Nitin Datta,2020-10-16 06:19:46,350
22,Linear-regression,kernels,mariapushkareva/medical-insurance-cost-with-linear-regression,Medical Insurance Cost with Linear Regression,Marie,2020-07-14 07:11:04,158
24,Linear-regression,kernels,suicaokhoailang/blending-with-linear-regression-0-688-lb,Blending with Linear Regression [0.688 LB],Khoi Nguyen,2018-11-18 09:58:07,138
26,Linear-regression,kernels,rbyron/simple-linear-regression-models,Simple linear regression models,Rocío Ventura,2018-03-30 10:28:21,70
28,Linear-regression,kernels,jnikhilsai/cross-validation-with-linear-regression,Cross-Validation with Linear Regression,Nikhil Sai,2019-08-20 07:42:37,75
30,Linear-regression,kernels,gauravduttakiit/bike-sharing-multiple-linear-regression,Bike Sharing : Multiple Linear Regression,Gaurav Dutta,2022-01-22 13:15:59,56
32,Linear-regression,kernels,mayanksrivastava/predict-housing-prices-simple-linear-regression,Predict Housing Prices - Simple Linear Regression,Mayank Srivastava,2017-06-09 22:06:27,75
34,Linear-regression,kernels,niteshyadav3103/linear-regression-regularization-lasso-ridge,Linear Regression & Regularization(Lasso & Ridge),Nitesh Yadav,2021-11-22 13:27:35,125
36,Linear-regression,kernels,shrutimechlearn/step-by-step-assumptions-linear-regression,Step by Step Assumptions - Linear Regression,Shruti_Iyyer,2020-06-15 13:40:29,112
38,Linear-regression,kernels,ryanholbrook/exercise-linear-regression-with-time-series,Exercise: Linear Regression With Time Series,Ryan Holbrook,2021-11-18 13:09:29,11
40,Linear-regression,kernels,tunguz/simple-linear-regression-benchmark,Simple Linear Regression Benchmark,Bojan Tunguz,2019-12-01 13:42:13,90
