,topic,set,ref,title,author,lastRunTime,totalVotes
2,,kernels,cdeotte/ensemble-folds-with-median-0-153,Ensemble Folds with MEDIAN - [0.153],Chris Deotte,2021-10-03 10:08:33,307
4,,kernels,ambrosm/vent-011-median-wins,VENT-011 Median wins!,AmbrosM,2021-10-23 04:05:04,43
6,,kernels,swaralipibose/median-ensemble-of-published-notebooks,Median Ensemble of Published Notebooks,Sayantan Mazumdar,2021-10-28 14:55:27,34
8,,kernels,mrutyunjaybiswal/vpp-dual-head-regression-median-postprocessing,[VPP] Dual Head Regression | Median PostProcessing,Ultron,2021-10-31 23:31:25,62
10,,kernels,tunguz/forecast-example-w-prophet-median,Forecast example w/ Prophet - median ,Bojan Tunguz,2017-07-19 16:21:17,40
12,,kernels,nigelcarpenter/page-median,Page median,Nigel Carpenter,2017-07-14 00:59:29,31
14,,kernels,ulrich07/baseline-model-player-mean-or-median,BaseLine Model: Player Mean or Median ?,Ulrich G.,2021-06-26 21:24:39,46
16,,kernels,chechir/weekend-flag-median-with-wiggle,weekend flag median with wiggle,Matias Thayer,2017-09-12 11:25:18,24
18,,kernels,katsuomi/median-wins-round,Median wins! + round,k.n.,2021-10-24 10:42:06,13
20,,kernels,safavieh/median-estimation-by-fibonacci-et-al-lb-44-9,Median Estimation by Fibonacci et al. [LB 44.9],Ehsan,2017-09-01 07:22:07,43
22,,kernels,areeves87/aggregate-20-kernel-csvs-by-median-rank-lb-285,Aggregate 20 kernel csvs by median rank - LB .285,areeves87,2017-11-06 16:57:56,62
24,,kernels,kanncaa1/data-sciencetutorial-for-beginners,Data ScienceTutorial for Beginners,DATAI,2020-05-19 00:29:44,6245
26,,kernels,clustifier/python-median-long-weekend,Python Median - long weekend :),clustifier,2017-07-18 14:01:20,19
28,,kernels,mrisdal/exploring-survival-on-the-titanic,Exploring Survival on the Titanic,Meg Risdal,2017-12-26 19:42:24,3742
30,,kernels,paulorzp/one-line-median-lb-0-650,One Line Median (LB 0.650),Paulo Pinto,2017-10-22 14:53:26,35
32,,kernels,startupsci/titanic-data-science-solutions,Titanic Data Science Solutions,Manav Sehgal,2019-02-11 01:21:23,9431
34,,kernels,apapiu/mean-vs-medians-a-mathy-approach,Mean vs. Medians - A mathy approach,Alexandru Papiu,2016-08-16 07:49:13,77
36,,kernels,ogrellier/median-rental-prices-matter,Median rental prices matter,olivier,2017-03-15 07:37:09,25
38,,kernels,kashnitsky/nfl-median-baseline-0-01457,NFL median baseline (0.01457),Yury Kashnitsky,2019-10-12 22:39:13,24
40,,kernels,bluewizard/random-forest-with-performance-history,Random forest with performance history,Tyler B,2019-11-10 15:41:31,12
