,topic,set,ref,title,author,lastRunTime,totalVotes
2,,kernels,rtatman/data-cleaning-challenge-handling-missing-values,Data Cleaning Challenge: Handling missing values,Rachael Tatman,2018-03-30 21:18:56,1272
4,,kernels,residentmario/data-types-and-missing-values,Data Types and Missing Values,Aleksey Bilogur,2022-02-08 16:48:25,540
6,,kernels,residentmario/exercise-data-types-and-missing-values,Exercise: Data Types and Missing Values,Aleksey Bilogur,2022-02-08 16:41:43,45
8,,kernels,rtatman/data-cleaning-challenge-imputing-missing-values,Data Cleaning Challenge: Imputing missing values,Rachael Tatman,2019-01-14 20:55:18,65
10,,kernels,jpmiller/patterns-of-missing-data,Patterns of Missing Data,JohnM,2019-05-06 14:32:54,129
12,,kernels,shashankasubrahmanya/missing-data-imputation-using-regression,Missing Data Imputation using Regression ,Shashanka Subrahmanya,2018-06-07 04:26:32,85
14,,kernels,residentmario/simple-techniques-for-missing-data-imputation,Simple techniques for missing data imputation,Aleksey Bilogur,2018-04-28 16:20:31,98
16,,kernels,aitude/ashrae-missing-weather-data-handling,ASHRAE - Missing Weather Data Handling,Sandeep Kumar,2019-11-05 14:15:55,57
18,,kernels,ohseokkim/titanic-missing-and-small-data-are-disaster,Titanic ( Missing and Small Data are Disaster ),OH SEOK KIM,2021-11-30 14:04:23,122
20,,kernels,pmarcelino/comprehensive-data-exploration-with-python,Comprehensive data exploration with Python,"""Pedro Marcelino PhD""",2022-04-30 19:20:37,12859
22,,kernels,bisaria/handling-missing-data,Handling Missing Data,Bisaria,2016-09-25 12:20:06,32
24,,kernels,dansbecker/data-types-and-missing-data-reference-daily,Data types and missing data reference Daily,DanB,2019-05-14 00:06:12,24
26,,kernels,serigne/stacked-regressions-top-4-on-leaderboard,Stacked Regressions : Top 4% on LeaderBoard,Serigne ,2017-12-16 11:57:12,6776
28,,kernels,ganfear/missing-data-and-zeros-visualized,Missing data and zeros visualized,Ganfear,2019-10-17 15:07:41,43
30,,kernels,auroralht/restoring-the-missing-geo-data,Restoring the missing Geo data ,sauce,2017-08-13 15:55:31,34
32,,kernels,captcalculator/imputing-missing-data-with-the-mice-package-in-r,Imputing missing data with the mice package in R,Troy Walters,2016-10-21 20:33:18,60
34,,kernels,mrisdal/exploring-survival-on-the-titanic,Exploring Survival on the Titanic,Meg Risdal,2017-12-26 19:42:24,3742
36,,kernels,dansbecker/handling-missing-values,Handling Missing Values,DanB,2019-02-26 02:31:25,1330
38,,kernels,startupsci/titanic-data-science-solutions,Titanic Data Science Solutions,Manav Sehgal,2019-02-11 01:21:23,9431
40,,kernels,dansbecker/your-first-machine-learning-model,Your First Machine Learning Model,DanB,2021-11-09 00:01:04,2915
