,topic,set,ref,title,author,lastRunTime,totalVotes
2,Missing-values,kernels,dansbecker/handling-missing-values,Handling Missing Values,DanB,2019-02-26 02:31:25,1330
4,Missing-values,kernels,alexisbcook/missing-values,Missing Values,Alexis Cook,2021-11-09 00:06:21,873
6,Missing-values,kernels,rtatman/data-cleaning-challenge-handling-missing-values,Data Cleaning Challenge: Handling missing values,Rachael Tatman,2018-03-30 21:18:56,1273
8,Missing-values,kernels,residentmario/data-types-and-missing-values,Data Types and Missing Values,Aleksey Bilogur,2022-02-08 16:48:25,540
10,Missing-values,kernels,alexisbcook/handling-missing-values,Handling Missing Values,Alexis Cook,2021-12-14 18:23:30,254
12,Missing-values,kernels,alexisbcook/exercise-missing-values,Exercise: Missing Values,Alexis Cook,2021-11-09 00:06:37,16
14,Missing-values,kernels,residentmario/exercise-data-types-and-missing-values,Exercise: Data Types and Missing Values,Aleksey Bilogur,2022-02-08 16:41:43,45
16,Missing-values,kernels,parulpandey/a-guide-to-handling-missing-values-in-python,A Guide to Handling Missing values in Python ,Parul Pandey,2020-07-11 10:41:36,614
18,Missing-values,kernels,rtatman/data-cleaning-challenge-imputing-missing-values,Data Cleaning Challenge: Imputing missing values,Rachael Tatman,2019-01-14 20:55:18,65
20,Missing-values,kernels,viveksrinivasan/zillow-eda-on-missing-values-multicollinearity,Zillow EDA On Missing Values & Multicollinearity,Vivek Srinivasan,2017-06-19 12:02:42,150
22,Missing-values,kernels,pourchot/hunting-for-missing-values,Hunting for missing values,Laurent Pourchot,2022-08-17 16:14:59,80
24,Missing-values,kernels,meikegw/filling-up-missing-values,Filling up missing values,meikegw,2017-01-19 19:58:32,70
26,Missing-values,kernels,cgump3rt/investigate-missing-values,Investigate Missing Values,cgumpert,2017-01-10 22:33:01,54
28,Missing-values,kernels,juejuewang/handle-missing-values-in-time-series-for-beginners,Handle Missing Values in Time Series For Beginners,jingjuewang,2017-12-11 23:49:00,124
30,Missing-values,kernels,debarshichanda/handling-missing-values,Handling Missing Values,Debarshi Chanda,2021-05-23 16:33:10,44
32,Missing-values,kernels,nikunjm88/carefully-dealing-with-missing-values,Carefully dealing with missing values,Nikunj,2017-09-15 13:38:18,57
34,Missing-values,kernels,iamleonie/utility-function-and-patterns-in-missing-values,Utility Function and Patterns in Missing Values,Leonie,2020-12-11 19:58:17,192
36,Missing-values,kernels,viveksrinivasan/eda-focus-on-missing-values-and-simple-xgb,EDA Focus On Missing Values And Simple XGB,Vivek Srinivasan,2017-10-03 18:00:47,90
38,Missing-values,kernels,pmarcelino/comprehensive-data-exploration-with-python,Comprehensive data exploration with Python,"""Pedro Marcelino PhD""",2022-04-30 19:20:37,12863
40,Missing-values,kernels,serigne/stacked-regressions-top-4-on-leaderboard,Stacked Regressions : Top 4% on LeaderBoard,Serigne ,2017-12-16 11:57:12,6777
